Receive ID,Data Size,Phase Values (deg),Received Power (dBm),time of arrival (sec),doa_phi(),doa_theta(deg),dod_phi(deg),dod_theta(deg),rx_x,rx_y,rx_z
193,5,"[121.037, 156.066, -110.399, -86.0086, 35.7221]","[-99.4024, -108.694, -112.074, -137.114, -137.849]","[4.12259e-07, 4.20812e-07, 4.29166e-07, 4.37389e-07, 4.30656e-07]","[49.6048, 49.6048, 134.475, 134.475, 122.161]","[50.853, 130.556, 52.6673, 128.723, 41.9044]","[-130.395, -130.395, -134.475, -134.475, -135.648]","[129.147, 130.556, 127.333, 128.723, 126.021]",128.728,127.826,2
194,5,"[-92.6872, 143.057, 97.5426, -98.1295, 167.777]","[-98.8792, -106.952, -115.227, -125.254, -130.194]","[3.88181e-07, 3.97253e-07, 4.72954e-07, 4.80428e-07, 4.6194e-07]","[57.7207, 57.7207, 141.999, 141.999, 135.666]","[47.8966, 133.532, 56.6128, 124.716, 55.7076]","[-122.279, -122.279, -141.892, -141.892, -141.892]","[132.103, 133.532, 123.387, 124.716, 124.292]",144.728,127.826,2
195,5,"[162.081, -107.855, -166.261, -41.2764, 117.012]","[-125.151, -128.473, -132.12, -133.841, -134.773]","[5.21479e-07, 4.91094e-07, 4.97373e-07, 5.21481e-07, 4.91536e-07]","[76.9262, -72.879, 147.192, 77.1848, -69.6683]","[121.647, 57.9967, 58.4476, 121.647, 58.0289]","[-103.074, -103.16, -143.718, -103.16, -102.276]","[121.647, 122.003, 121.552, 121.647, 121.971]",160.728,127.826,2
196,5,"[5.57044, 47.6123, 35.0245, 101.405, -98.5447]","[-98.2118, -106.129, -108.204, -109.895, -116.269]","[3.59499e-07, 4.80575e-07, 3.69277e-07, 3.59507e-07, 4.87933e-07]","[79.0675, -83.7703, 79.0675, 81.2302, -83.7703]","[43.6173, 57.2096, 137.811, 43.6187, 124.108]","[-100.932, -96.7969, -100.932, -101.075, -96.7969]","[136.383, 122.79, 137.811, 136.381, 124.108]",176.728,127.826,2
197,5,"[-138.664, 82.3825, -25.5048, -99.8202, 121.668]","[-98.1381, -106.643, -113.036, -114.876, -124.846]","[3.56466e-07, 3.66324e-07, 6.74801e-07, 4.8065e-07, 4.88007e-07]","[91.4949, 91.4949, -25.4956, -90.5818, -90.5818]","[43.1032, 138.323, 67.3134, 57.2153, 124.102]","[-88.5051, -88.5051, -58.4788, -89.0198, -89.0198]","[136.897, 138.323, 112.687, 122.785, 124.102]",192.728,127.826,2
198,5,"[-106.039, -89.8486, 89.6957, -118.633, -120.374]","[-106.584, -112.27, -112.951, -117.944, -119.665]","[5.00986e-07, 6.31033e-07, 5.1459e-07, 5.08048e-07, 3.61458e-07]","[-98.0223, -27.7866, 98.433, -98.0223, 112.755]","[58.701, 65.6417, 59.6175, 122.585, 43.9422]","[-81.9777, -56.1878, -82.2787, -81.9777, -76.5341]","[121.299, 114.358, 120.382, 122.585, 136.058]",208.728,127.826,2
199,5,"[-47.852, -24.3371, 167.376, -114.809, 15.2659]","[-110.92, -118.363, -123.616, -127.991, -129.619]","[5.07452e-07, 4.93751e-07, 5.14425e-07, 5.07484e-07, 5.00915e-07]","[105.75, -106.433, 105.75, 104.378, -106.433]","[59.1439, 58.1892, 122.132, 59.146, 123.108]","[-74.9622, -74.555, -74.9622, -74.555, -74.555]","[120.856, 121.811, 122.132, 120.854, 123.108]",224.728,127.826,2
200,5,"[-4.985, -98.4596, -83.4584, -60.6725, -159.538]","[-98.9951, -106.91, -120.194, -123.429, -125.179]","[3.9339e-07, 5.06658e-07, 3.93479e-07, 3.93586e-07, 5.06691e-07]","[124.367, -109.448, 123.549, 128.218, -109.762]","[48.5785, 59.0902, 49.9518, 51.8596, 57.7908]","[-55.6333, -66.7333, -55.0799, -56.3166, -66.8082]","[131.422, 120.91, 132.316, 131.959, 120.594]",240.728,127.826,2
201,5,"[-82.6359, 65.3144, 84.0628, 156.189, -136.483]","[-99.5391, -104.574, -117.077, -118.909, -141.39]","[4.18791e-07, 4.48688e-07, 4.27213e-07, 4.5656e-07, 4.48865e-07]","[132.086, 41.7756, 132.071, 41.7756, 47.4888]","[51.5767, 54.5455, 129.841, 126.819, 54.5616]","[-47.9143, -41.7756, -47.904, -41.7756, -41.0953]","[128.423, 125.454, 129.815, 126.819, 125.438]",256.728,127.826,2
216,5,"[68.9141, 126.98, -95.7393, 112.352, -132.643]","[-98.7659, -105.145, -107.962, -114.16, -134.406]","[3.83156e-07, 4.01291e-07, 3.92344e-07, 4.10073e-07, 3.8543e-07]","[42.5373, 141.509, 42.5373, 141.509, 37.6852]","[47.2138, 49.5663, 134.217, 131.853, 54.2287]","[-137.463, -141.509, -137.463, -141.509, -133.922]","[132.786, 130.434, 134.217, 131.853, 136.967]",128.728,143.826,2
