Receive ID,Data Size,Phase Values (deg),Received Power (dBm),time of arrival (sec),doa_phi(),doa_theta(deg),dod_phi(deg),dod_theta(deg),rx_x,rx_y,rx_z
169,5,"[10.7513, -52.2955, -17.4551, -50.5078, 144.046]","[-99.8058, -107.293, -116.885, -122.529, -132.389]","[4.31832e-07, 4.51099e-07, 4.40005e-07, 4.58929e-07, 4.3361e-07]","[40.9018, -44.3052, 40.9018, -44.3052, 54.5821]","[52.9366, 54.7633, 128.45, 126.598, 53.1139]","[-139.098, -134.931, -139.098, -134.931, -142.173]","[127.063, 125.237, 128.45, 126.598, 126.886]",112.728,111.826,2
170,5,"[-35.8314, 24.7237, 35.7161, 125.063, 108.494]","[-99.181, -106.848, -138.876, -142.908, -144.768]","[4.01894e-07, 4.10664e-07, 4.26128e-07, 4.56506e-07, 4.27562e-07]","[47.4562, 47.4562, 107.258, 102.32, -101.924]","[49.6396, 131.779, 52.3551, 55.2412, 52.5032]","[-132.544, -132.544, -142.173, -154.566, -130.941]","[130.36, 131.779, 127.645, 124.759, 127.497]",128.728,111.826,2
171,5,"[-46.4971, -91.488, -57.0707, -139.287, -136.521]","[-98.6291, -104.073, -110.321, -113.673, -113.903]","[3.77174e-07, 4.52153e-07, 3.86504e-07, 4.11766e-07, 4.20328e-07]","[55.7406, 142.394, 55.7406, -61.3765, -61.2087]","[46.3669, 54.8576, 135.065, 51.1752, 130.613]","[-124.259, -142.394, -124.259, -118.809, -118.791]","[133.633, 125.142, 135.065, 129.243, 130.613]",144.728,111.826,2
172,5,"[-179.849, 80.1326, 74.3461, -145.781, 20.8911]","[-98.1936, -107.775, -112.565, -114.298, -117.944]","[3.5875e-07, 3.68547e-07, 5.01396e-07, 4.03878e-07, 3.94959e-07]","[66.0351, 66.0351, 148.009, -70.2701, -70.3964]","[43.4916, 137.937, 58.7295, 132.645, 49.1849]","[-113.965, -113.965, -148.359, -109.73, -109.743]","[136.508, 137.937, 121.271, 132.645, 131.264]",160.728,111.826,2
173,5,"[-92.7823, -28.8825, 139.495, -142.604, -8.18239]","[-97.9198, -104.258, -110.751, -113.244, -118.773]","[3.47625e-07, 3.57728e-07, 5.41348e-07, 3.82651e-07, 3.91851e-07]","[78.257, 78.257, 151.425, -80.8899, -80.8899]","[41.5229, 139.894, 61.2643, 47.1438, 134.287]","[-101.743, -101.743, -151.775, -99.6773, -99.6773]","[138.477, 139.894, 118.736, 132.856, 134.287]",176.728,111.826,2
174,5,"[-52.0789, 149.319, 112.519, 129.669, -82.7986]","[-97.8415, -104.019, -117.596, -120.966, -125.599]","[3.44508e-07, 3.54699e-07, 3.81888e-07, 3.91106e-07, 3.81889e-07]","[91.6467, 91.6467, -91.3299, -91.3299, -91.7368]","[40.9339, 140.479, 47.0375, 134.394, 47.0376]","[-88.3533, -88.3533, -88.6701, -88.6701, -88.7134]","[139.066, 140.479, 132.962, 134.394, 132.962]",192.728,111.826,2
175,5,"[-6.13187, 63.7419, 137.256, -106.602, 30.3041]","[-97.9693, -104.562, -113.419, -117.679, -134.232]","[3.49612e-07, 3.59658e-07, 3.87274e-07, 3.96367e-07, 3.87713e-07]","[104.862, 104.862, -101.885, -101.885, -103.659]","[41.8892, 139.531, 47.7752, 133.654, 40.2211]","[-75.138, -75.138, -77.9313, -77.9313, -78.1249]","[138.111, 139.531, 132.225, 133.654, 131.266]",208.728,111.826,2
176,5,"[133.756, -30.6865, -77.148, 25.0338, -116.802]","[-98.2862, -110.27, -137.008, -137.465, -139.466]","[3.6259e-07, 3.72287e-07, 5.18621e-07, 5.18293e-07, 4.00367e-07]","[116.656, 116.656, -15.6205, -14.5805, -129.572]","[44.1276, 137.303, 59.8783, 59.8572, 49.4535]","[-63.3438, -63.3438, -49.2345, -48.9105, -70.2864]","[135.872, 137.303, 120.122, 120.143, 130.546]",224.728,111.826,2
177,5,"[154.238, 87.5715, -89.0332, 76.5518, -157.154]","[-98.7542, -104.396, -108.109, -114.302, -115.074]","[3.82643e-07, 4.14568e-07, 3.91843e-07, 4.23075e-07, 4.8177e-07]","[126.45, -121.093, 126.45, -121.093, 34.6798]","[47.1427, 51.1123, 134.288, 130.295, 124.606]","[-53.55, -58.9066, -53.55, -58.9066, -34.6798]","[132.857, 128.888, 134.288, 130.295, 124.606]",240.728,111.826,2
178,5,"[-46.5693, -125.125, 124.476, -76.0751, 36.4007]","[-99.3277, -107.875, -118.622, -126.747, -129.053]","[4.08729e-07, 4.17355e-07, 4.98803e-07, 5.05895e-07, 4.41678e-07]","[134.282, 134.282, -148.519, -148.519, -121.223]","[50.4491, 130.964, 58.5484, 122.741, 53.8953]","[-45.7184, -45.7184, -52.4935, -52.4935, -51.2198]","[129.551, 130.964, 121.452, 122.741, 126.105]",256.728,111.826,2
