Receive ID,Data Size,Phase Values (deg),Received Power (dBm),time of arrival (sec),doa_phi(),doa_theta(deg),dod_phi(deg),dod_theta(deg),rx_x,rx_y,rx_z
193,5,"[-136.933, -55.7118, 172.299, 20.959, 163.654]","[-99.2401, -107.176, -108.755, -125.537, -138.018]","[4.04632e-07, 4.13343e-07, 4.21843e-07, 4.30206e-07, 4.23358e-07]","[48.0349, 48.0349, 136.059, 136.059, 123.607]","[49.9683, 131.448, 51.9049, 129.494, 40.7949]","[-131.965, -131.965, -136.059, -136.059, -137.23]","[130.032, 131.448, 128.095, 129.494, 126.743]",128.728,127.826,2
194,5,"[-123.794, -150.59, -42.9746, 49.9537, 173.319]","[-98.6957, -104.461, -108.991, -114.796, -115.255]","[3.80075e-07, 4.66327e-07, 3.89336e-07, 4.73906e-07, 4.66356e-07]","[56.2747, 143.2, 56.2747, 143.2, 141.999]","[46.7824, 56.0745, 134.649, 125.265, 56.0768]","[-123.725, -143.55, -123.725, -143.55, -144.032]","[133.218, 123.926, 134.649, 125.265, 123.923]",144.728,127.826,2
195,5,"[-161.209, -166.662, -55.3904, 137.772, -16.0456]","[-123.201, -123.32, -127.264, -132.561, -133.651]","[4.90929e-07, 5.10642e-07, 4.80309e-07, 5.17444e-07, 5.01163e-07]","[147.192, 76.5347, -72.879, 171.506, 74.2065]","[57.9847, 122.399, 57.1891, 59.8026, 58.7133]","[-145.963, -103.465, -103.692, -137.818, -102.777]","[122.015, 122.399, 122.811, 120.197, 121.287]",160.728,127.826,2
196,5,"[-101.842, 173.639, 155.281, -40.8466, -11.2118]","[-97.9973, -104.788, -105.999, -110.957, -116.584]","[3.50738e-07, 3.60753e-07, 4.69671e-07, 3.50751e-07, 4.77196e-07]","[78.4666, 78.4666, -83.5462, 81.2302, -83.5462]","[42.0939, 139.327, 56.3484, 42.0962, 124.986]","[-101.533, -101.533, -97.0211, -101.726, -97.0211]","[137.906, 139.327, 123.652, 137.904, 124.986]",176.728,127.826,2
197,5,"[-134.929, -69.8248, -124.305, 136.276, -30.1171]","[-97.9199, -104.259, -113.105, -114.915, -125.312]","[3.47632e-07, 3.57734e-07, 6.64538e-07, 4.69671e-07, 4.77196e-07]","[91.5861, 91.5861, -26.1406, -90.5818, -90.5818]","[41.5241, 139.893, 66.943, 56.3484, 124.986]","[-88.4139, -88.4139, -57.8338, -88.9739, -88.9739]","[138.476, 139.893, 113.057, 123.652, 124.986]",192.728,127.826,2
198,5,"[-111.545, 139.869, 108.052, -71.5625, -128.872]","[-106.238, -112.128, -112.179, -116.71, -118.354]","[4.89933e-07, 5.03418e-07, 6.2117e-07, 4.97152e-07, 3.52737e-07]","[-98.2785, 98.6707, -28.5307, -98.2785, 112.755]","[57.9118, 58.8692, 65.2291, 123.392, 42.452]","[-81.7215, -82.041, -55.4437, -81.7215, -75.7648]","[122.088, 121.131, 114.771, 123.392, 137.548]",208.728,127.826,2
199,5,"[-100.281, 113.938, -144.131, -147.788, 149.579]","[-111.017, -114.712, -122.715, -125.667, -129.886]","[4.96629e-07, 4.83066e-07, 5.03752e-07, 4.90386e-07, 5.27468e-07]","[106.214, -106.433, 106.214, -106.433, 129.482]","[58.3949, 57.3997, 122.898, 123.914, 60.4343]","[-74.4977, -73.9312, -74.4977, -73.9312, -85.1467]","[121.605, 122.6, 122.898, 123.914, 119.566]",224.728,127.826,2
200,5,"[-156.989, -124.595, 4.37031, 161.235, 133.471]","[-98.8169, -107.686, -119.269, -120.474, -123.313]","[3.85413e-07, 4.96386e-07, 4.96391e-07, 5.03512e-07, 3.85612e-07]","[125.864, -110.154, -110.279, -110.154, 129.758]","[47.5236, 58.3776, 57.8846, 122.916, 50.9093]","[-54.1356, -66.0274, -66.0583, -66.0274, -54.8288]","[132.476, 121.622, 121.499, 122.916, 133.03]",240.728,127.826,2
201,5,"[150.942, -128.286, 59.4586, -102.021, -25.2449]","[-99.3824, -104.257, -108.453, -120.994, -127.713]","[4.1131e-07, 4.41717e-07, 4.19883e-07, 4.49711e-07, 4.19919e-07]","[133.672, 40.2013, 133.672, 40.2013, 133.061]","[50.7453, 53.899, 130.665, 127.475, 129.919]","[-46.3282, -40.2013, -46.3282, -40.2013, -45.8754]","[129.255, 126.101, 130.665, 127.475, 131.206]",256.728,127.826,2
216,5,"[-157.66, 177.582, 133.68, 18.6024, -44.1539]","[-98.6205, -104.749, -110.519, -113.361, -134.367]","[3.76802e-07, 3.95227e-07, 3.86142e-07, 4.04141e-07, 3.79139e-07]","[40.5064, 143.485, 40.5064, 143.485, 35.7122]","[46.313, 48.813, 135.119, 132.611, 53.5664]","[-139.494, -143.485, -139.494, -143.485, -135.951]","[133.687, 131.187, 135.119, 132.611, 138.019]",128.728,143.826,2
