Receive ID,Data Size,Phase Values (deg),Received Power (dBm),time of arrival (sec),doa_phi(),doa_theta(deg),dod_phi(deg),dod_theta(deg),rx_x,rx_y,rx_z
147,5,"[-83.2949, 10.1786, -114.68, 37.1457, -42.8766]","[-99.6833, -105.303, -114.01, -120.437, -137.964]","[4.25791e-07, 4.29186e-07, 4.34077e-07, 4.37409e-07, 4.34472e-07]","[52.0928, 129.53, 52.0928, 129.53, 11.6391]","[52.3201, 52.6694, 129.074, 128.721, 53.1991]","[-127.907, -128.809, -127.907, -128.809, -122.959]","[127.68, 127.331, 129.074, 128.721, 126.801]",128.728,95.8262,2
153,5,"[98.5334, 19.413, 85.9995, 131.308, 10.455]","[-98.8959, -100.99, -106.858, -108.739, -129.434]","[3.88929e-07, 3.92194e-07, 3.97984e-07, 4.01176e-07, 3.92819e-07]","[113.077, 64.9915, 113.077, 64.9915, 78.172]","[47.9961, 48.4242, 133.432, 133.002, 48.505]","[-66.9226, -64.9915, -66.9226, -64.9915, -63.5823]","[132.004, 131.576, 133.432, 133.002, 131.495]",224.728,95.8262,2
169,5,"[34.9175, 167.812, -80.7231, 106.748, 113.719]","[-99.6693, -113.501, -113.661, -133.086, -134.335]","[4.25106e-07, 4.43624e-07, 4.33406e-07, 4.27338e-07, 4.4442e-07]","[39.213, -42.8292, 39.213, 54.5821, -34.3695]","[52.2488, 54.0784, 129.146, 52.4802, 45.8131]","[-140.787, -136.407, -140.787, -144.332, -135.615]","[127.751, 125.922, 129.146, 127.52, 125.007]",112.728,111.826,2
170,5,"[31.0273, 141.233, -63.9336, -107.22, -12.6962]","[-99.0231, -106.512, -139.149, -140.471, -145.107]","[3.94662e-07, 4.03588e-07, 4.1992e-07, 4.52096e-07, 4.58072e-07]","[45.7454, 45.7454, 107.258, 102.32, -48.473]","[48.7412, 132.683, 51.6989, 54.8525, 126.678]","[-134.255, -134.255, -144.332, -157.263, -122.959]","[131.259, 132.683, 128.301, 125.148, 126.678]",128.728,111.826,2
171,5,"[-108.557, -45.6471, 116.073, -1.28213, -73.3618]","[-98.4494, -112.198, -114.111, -117.491, -119.836]","[3.69461e-07, 4.11703e-07, 3.78982e-07, 4.45744e-07, 4.02975e-07]","[54.1302, -60.0351, 54.1302, 143.112, -60.7707]","[45.2155, 131.65, 136.217, 54.2756, 51.3386]","[-125.87, -119.965, -125.87, -144.332, -120.047]","[134.785, 131.65, 136.217, 125.724, 130.403]",144.728,111.826,2
172,5,"[-161.321, 95.5985, 91.5473, -20.0488, -164.045]","[-97.9948, -104.766, -114.203, -117.566, -122.952]","[3.50636e-07, 3.60654e-07, 3.94897e-07, 4.95631e-07, 5.02768e-07]","[64.7403, 64.7403, -69.383, 149.526, 149.526]","[42.0754, 139.346, 133.858, 58.3239, 122.971]","[-115.26, -115.26, -110.617, -149.876, -149.876]","[137.925, 139.346, 133.858, 121.676, 122.971]",160.728,111.826,2
173,5,"[-175.55, 100.15, 166.588, 105.133, 64.8664]","[-97.7077, -104.311, -109.153, -109.183, -116.97]","[3.39249e-07, 3.49594e-07, 3.73273e-07, 5.36019e-07, 6.50789e-07]","[77.5598, 77.5598, -80.4226, 152.838, -5.97997]","[39.899, 141.504, 45.7932, 60.9514, 66.4268]","[-102.44, -102.44, -100.145, -153.188, -47.3949]","[140.101, 141.504, 134.207, 119.049, 113.573]",176.728,111.826,2
174,5,"[-16.4157, -5.1644, 99.23, -91.9513, 77.2312]","[-97.6256, -105.032, -111.284, -118.892, -123.175]","[3.36058e-07, 3.46498e-07, 3.72393e-07, 3.72393e-07, 3.8184e-07]","[91.7549, 91.7549, -91.4007, -91.7368, -91.4007]","[39.2437, 142.153, 45.6614, 45.6615, 135.771]","[-88.2451, -88.2451, -88.5993, -88.6371, -88.5993]","[140.756, 142.153, 134.339, 134.339, 135.771]",192.728,111.826,2
175,5,"[-94.1273, -144.252, -177.592, -62.475, -68.986]","[-97.7599, -104.084, -109.147, -118.661, -131.869]","[3.41292e-07, 3.51576e-07, 3.77881e-07, 3.87195e-07, 5.55418e-07]","[105.742, 105.742, -102.464, -102.464, -9.87407]","[40.3074, 141.1, 46.4691, 134.963, 62.0571]","[-74.2581, -74.2581, -77.3523, -77.3523, -47.3949]","[139.693, 141.1, 133.531, 134.963, 117.943]",208.728,111.826,2
176,5,"[-152.117, 94.9446, -133.881, 49.9684, -142.143]","[-98.092, -105.889, -136.032, -136.4, -136.647]","[3.54579e-07, 3.64488e-07, 5.09874e-07, 5.10157e-07, 3.91094e-07]","[118.063, 118.063, -14.5805, -15.6205, -129.572]","[42.7765, 138.649, 59.3063, 59.3252, 48.2811]","[-61.9373, -61.9373, -47.3949, -47.7321, -69.2919]","[137.224, 138.649, 120.694, 120.675, 131.719]",224.728,111.826,2
