Receive ID,Data Size,Phase Values (deg),Received Power (dBm),time of arrival (sec),doa_phi(),doa_theta(deg),dod_phi(deg),dod_theta(deg),rx_x,rx_y,rx_z
100,5,"[-82.451, 108.723, -169.479, 30.5324, -145.593]","[-100.032, -115.607, -132.62, -139.224, -147.508]","[4.43235e-07, 4.51201e-07, 4.44936e-07, 4.47461e-07, 4.52873e-07]","[43.5121, 43.5121, 55.1885, 51.4463, 55.1885]","[54.042, 127.33, 54.2007, 69.0023, 127.169]","[-136.488, -136.488, -139.756, -138.687, -139.756]","[125.958, 127.33, 125.799, 129.28, 127.169]",112.728,63.8262,2
101,5,"[69.2892, -4.6547, 45.3099, 144.408, 64.5386]","[-99.4423, -109.223, -139.425, -140.103, -144.82]","[4.14156e-07, 4.22671e-07, 4.33904e-07, 4.1961e-07, 4.28289e-07]","[50.0636, 50.0636, 97.0961, 57.9097, 40.1576]","[51.0663, 130.341, 53.1431, 67.4179, 64.5349]","[-129.936, -129.936, -139.756, -132.684, -117.869]","[128.934, 130.341, 126.857, 133.287, 139.682]",128.728,63.8262,2
102,5,"[-167.682, 15.732, 68.6868, 158.821, 19.4399]","[-98.9253, -106.722, -130.989, -139.886, -143.391]","[3.90248e-07, 3.99273e-07, 4.5329e-07, 3.96163e-07, 4.57933e-07]","[58.1563, 58.1563, 133.359, 65.12, 129.651]","[48.1702, 133.257, 54.9587, 66.1454, 43.9401]","[-121.844, -121.844, -139.756, -124.426, -141.216]","[131.83, 133.257, 125.041, 136.668, 120.146]",144.728,63.8262,2
103,5,"[-113.491, 53.6246, 156.838, 65.1726, 40.2327]","[-105.037, -115.099, -125.173, -130.379, -130.822]","[4.87543e-07, 4.94796e-07, 3.72802e-07, 4.87817e-07, 3.73765e-07]","[143.684, 143.684, 71.5829, 142.521, 65.0621]","[57.7355, 123.572, 44.1977, 55.3728, 39.4858]","[-142.925, -142.925, -114.101, -143.556, -110.767]","[122.265, 123.572, 133.395, 120.925, 131.054]",160.728,63.8262,2
104,5,"[-50.9202, -18.1444, 86.8194, -8.48587, -44.0326]","[-130.475, -135.625, -137.338, -143.483, -143.83]","[3.63112e-07, 3.73107e-07, 3.74588e-07, 3.73943e-07, 5.25873e-07]","[77.7631, 57.5623, 54.9298, 77.0827, 148.641]","[37.471, 50.8155, 52.618, 145.883, 63.104]","[-100.024, -92.332, -91.9769, -99.7251, -146.148]","[132.561, 138.189, 138.403, 132.588, 121.724]",176.728,63.8262,2
105,5,"[-2.69022, -78.5767, 88.4615, 14.2654, -115.872]","[-98.197, -107.853, -108.065, -117.647, -118.873]","[3.58889e-07, 3.68683e-07, 3.58898e-07, 3.68691e-07, 3.59482e-07]","[91.5637, 91.5637, 90.6576, 90.6576, 97.588]","[43.5151, 137.913, 43.5165, 137.912, 43.8859]","[-88.4363, -88.4363, -88.0709, -88.0709, -92.2021]","[136.485, 137.913, 136.483, 137.912, 136.555]",192.728,63.8262,2
106,5,"[-136.587, 71.0795, 21.5055, -119.513, 137.781]","[-106.413, -117.153, -134.251, -134.291, -139.762]","[4.99488e-07, 5.06571e-07, 4.99988e-07, 5.00122e-07, 5.01022e-07]","[34.3711, 34.3711, 37.8504, 35.7788, 39.3583]","[58.5965, 122.692, 58.6315, 55.4918, 65.0189]","[-36.1339, -36.1339, -33.5448, -35.1335, -34.331]","[121.403, 122.692, 121.369, 119.054, 123.491]",208.728,63.8262,2
107,5,"[-69.9482, -175.099, 55.0274, 134.019, 45.4805]","[-104.122, -115.044, -138.98, -139.414, -142.499]","[4.63429e-07, 4.71054e-07, 3.80208e-07, 4.64811e-07, 3.88542e-07]","[38.8794, 38.8794, 102.787, 30.0627, 127.525]","[55.8331, 125.51, 41.6478, 55.9486, 28.3185]","[-40.6422, -40.6422, -57.6535, -43.8694, -69.3334]","[124.167, 125.51, 129.604, 124.051, 123.605]",224.728,63.8262,2
108,5,"[-179.634, 150.753, -75.3588, -163.974, -173.056]","[-108.761, -128.69, -135.616, -149.27, -150.727]","[3.95747e-07, 4.04745e-07, 4.32037e-07, 4.6429e-07, 4.46259e-07]","[123.843, 122.791, 55.1035, 102.44, 71.6525]","[48.7185, 133.469, 52.9572, 55.9052, 54.3231]","[-55.7774, -54.8044, -43.8694, -34.639, -33.5448]","[130.981, 131.662, 127.043, 124.095, 125.677]",240.728,63.8262,2
109,5,"[20.0697, 117.515, 8.51773, 102.135, 37.9647]","[-99.5859, -111.741, -134.786, -136.447, -138.561]","[4.21052e-07, 4.29431e-07, 4.23131e-07, 4.25228e-07, 4.25293e-07]","[131.727, 131.727, 135.418, 108.399, 124.642]","[51.8205, 129.58, 56.3877, 52.2616, 65.6734]","[-48.2733, -48.2733, -52.8261, -43.8694, -45.7611]","[128.18, 129.58, 132.979, 127.738, 132.058]",256.728,63.8262,2
124,5,"[95.2187, 167.197, -80.7452, -114.501, -98.0581]","[-98.801, -107.573, -109.587, -123.97, -126.162]","[3.84708e-07, 3.9386e-07, 4.44283e-07, 4.52231e-07, 3.93926e-07]","[43.1156, 43.1156, 31.9928, 31.9928, 41.5073]","[47.4273, 134.003, 54.14, 127.231, 132.122]","[-136.884, -136.884, -147.248, -147.248, -136.511]","[132.573, 134.003, 125.86, 127.231, 134.42]",128.728,79.8262,2
130,5,"[-161.327, -34.4906, 39.3198, -2.92182, 57.8549]","[-133.89, -135.365, -140.226, -140.279, -145.658]","[3.46185e-07, 4.38746e-07, 3.68053e-07, 3.56328e-07, 3.65178e-07]","[106.507, 24.3431, 138.347, 106.507, 86.3551]","[41.2529, 48.3083, 52.3765, 140.162, 64.1769]","[-51.695, -34.9765, -51.0849, -51.695, -43.4676]","[138.747, 125.591, 137.466, 140.162, 143.49]",224.728,79.8262,2
131,5,"[-100.129, -128.532, 152.356, 12.5213, -27.6745]","[-104.89, -114.064, -123.13, -127.452, -134.534]","[4.03603e-07, 4.11403e-07, 4.19974e-07, 4.03686e-07, 4.04168e-07]","[37.384, -3.09645, -3.09645, 36.226, 44.729]","[49.8455, 50.7559, 130.654, 53.6138, 58.609]","[-39.1468, -43.8905, -43.8905, -39.3613, -38.4677]","[130.155, 129.244, 130.654, 130.772, 130.849]",240.728,79.8262,2
147,5,"[-129.707, -154.353, 122.442, 56.5845, 33.0934]","[-98.2431, -106.485, -109.015, -122.526, -135.674]","[3.60798e-07, 3.6478e-07, 3.70541e-07, 3.7442e-07, 3.6396e-07]","[34.1428, 147.431, 34.1428, 147.431, 25.7358]","[43.8333, 44.481, 137.596, 136.95, 61.3271]","[-145.857, -146.71, -145.857, -146.71, -144.009]","[136.167, 135.519, 137.596, 136.95, 138.934]",128.728,95.8262,2
153,5,"[-148.789, -24.4822, -133.862, 160.424, 140.131]","[-97.1095, -102.105, -105.143, -113.465, -113.695]","[3.1669e-07, 3.20699e-07, 3.27747e-07, 3.16719e-07, 3.31622e-07]","[128.988, 48.4571, 128.988, 131.773, 48.4571]","[34.7319, 35.752, 146.598, 34.7396, 145.595]","[-51.0122, -48.4571, -51.0122, -51.695, -48.4571]","[145.268, 144.248, 146.598, 145.26, 145.595]",224.728,95.8262,2
169,5,"[-125.993, 179.208, 12.7112, -78.1822, 157.076]","[-98.6511, -109.267, -109.841, -113.328, -123.071]","[3.78131e-07, 3.96667e-07, 3.87438e-07, 3.9237e-07, 3.8772e-07]","[18.4598, -24.3909, 18.4598, -30.6774, -28.7188]","[46.505, 133.612, 134.927, 48.447, 50.33]","[-161.54, -154.845, -161.54, -153.05, -155.469]","[133.495, 133.612, 134.927, 131.553, 132.517]",112.728,111.826,2
170,5,"[169.037, -163.978, -8.59575, -113.931, -160.472]","[-97.8181, -104.004, -114.377, -131.815, -138.902]","[3.43585e-07, 3.53803e-07, 4.37441e-07, 4.45511e-07, 3.62601e-07]","[22.7819, 22.7819, 102.32, 102.32, -101.924]","[40.7561, 140.655, 53.4895, 127.89, 44.1293]","[-157.218, -157.218, 173.036, 173.036, -153.673]","[139.244, 140.655, 126.511, 127.89, 135.871]",128.728,111.826,2
171,5,"[-140.52, 75.2196, -125.789, 158.64, -72.3299]","[-97.0452, -103.866, -137.178, -137.593, -144.297]","[3.14355e-07, 3.25491e-07, 3.35373e-07, 4.54913e-07, 4.4909e-07]","[29.516, 29.516, -55.0882, 124.289, 119.852]","[34.1132, 147.205, 53.0646, 55.1019, 54.582]","[-150.484, -150.484, -139.765, 173.036, 171.167]","[145.887, 147.205, 143.185, 124.898, 125.418]",144.728,111.826,2
