Receive ID,Data Size,Phase Values (deg),Received Power (dBm),time of arrival (sec),doa_phi(),doa_theta(deg),dod_phi(deg),dod_theta(deg),rx_x,rx_y,rx_z
147,5,"[162.65, -25.7182, -2.22498, 29.4319, -44.5001]","[-99.0325, -106.51, -120.513, -128.95, -136.902]","[3.95086e-07, 4.04003e-07, 4.07573e-07, 3.98736e-07, 4.01196e-07]","[45.8773, 45.8773, 135.77, 135.77, 11.6391]","[48.7951, 132.629, 132.169, 49.2528, 49.5547]","[-134.123, -134.123, -135.049, -135.049, -129.141]","[131.205, 132.629, 132.169, 130.747, 130.445]",128.728,95.8262,2
153,5,"[-178.878, -117.185, 167.658, 138.341, 69.6336]","[-98.1057, -100.751, -106.097, -110.45, -127.483]","[3.55139e-07, 3.58714e-07, 3.65033e-07, 3.68513e-07, 3.55954e-07]","[117.985, 59.812, 117.985, 59.812, 131.773]","[42.874, 43.4856, 138.552, 137.943, 43.0152]","[-62.0152, -59.812, -62.0152, -59.812, -64.3571]","[137.126, 136.514, 138.552, 137.943, 136.985]",224.728,95.8262,2
169,5,"[55.3747, -11.5978, 43.8849, -131.43, 61.2545]","[-99.1699, -102.588, -106.799, -112.975, -126.562]","[4.0138e-07, 4.16527e-07, 4.10161e-07, 4.24994e-07, 4.16706e-07]","[31.5737, -36.1258, 31.5737, -36.1258, -31.7491]","[49.5772, 51.3293, 131.842, 130.076, 47.7939]","[-148.426, -143.11, -148.426, -143.11, -142.615]","[130.423, 128.671, 131.842, 130.076, 128.236]",112.728,111.826,2
170,5,"[11.5915, 163.927, 140.747, -24.1709, -164.962]","[-98.4385, -114.099, -138.474, -141.044, -144.209]","[3.68998e-07, 3.7853e-07, 4.3961e-07, 3.99078e-07, 4.35545e-07]","[37.7083, 37.7083, 102.32, 107.258, 97.6692]","[45.1441, 136.288, 53.6985, 49.2951, 53.3046]","[-142.292, -142.292, -169.075, -154.23, -170.23]","[134.856, 136.288, 126.301, 130.705, 126.695]",128.728,111.826,2
171,5,"[117.198, -171.489, -147.782, 162.226, 177.588]","[-97.7761, -104.044, -125.904, -126.321, -131.157]","[3.41926e-07, 3.52192e-07, 4.57127e-07, 3.79789e-07, 3.70658e-07]","[46.176, 46.176, 124.289, -54.3392, -58.3044]","[40.4325, 140.976, 55.2953, 136.09, 52.0443]","[-133.824, -133.824, -169.075, -125.661, -126.203]","[139.567, 140.976, 124.705, 136.09, 135.462]",144.728,111.826,2
172,5,"[-58.3908, -85.7203, 130.25, -20.3882, -104.55]","[-97.2408, -109.404, -114.765, -123.826, -131.618]","[3.21509e-07, 3.32406e-07, 3.61516e-07, 4.61709e-07, 4.69362e-07]","[57.9501, 57.9501, -64.9174, 155.195, 155.195]","[35.9521, 145.399, 139.187, 55.6881, 125.658]","[-122.05, -122.05, -115.083, -155.195, -155.195]","[144.048, 145.399, 139.187, 124.312, 125.658]",160.728,111.826,2
173,5,"[-79.3814, 10.3679, -54.8157, 42.9965, -76.6703]","[-96.8978, -102.391, -107.003, -115.595, -117.883]","[3.09068e-07, 3.20388e-07, 3.38262e-07, 3.48635e-07, 5.02985e-07]","[73.7016, 73.7016, -77.9948, -77.9948, 158.504]","[32.6381, 148.649, 39.6984, 141.703, 58.8394]","[-106.298, -106.298, -102.573, -102.573, -157.922]","[147.362, 148.649, 140.302, 141.703, 121.161]",176.728,111.826,2
174,5,"[-148.768, -156.913, 31.6169, -144.23, 167.993]","[-96.7991, -102.25, -113.212, -121.95, -125.218]","[3.05579e-07, 3.17023e-07, 3.36858e-07, 3.47273e-07, 3.81687e-07]","[92.365, 92.365, -91.7368, -91.7368, -36.0733]","[31.6019, 149.662, 39.41, 141.988, 47.0094]","[-87.635, -87.635, -88.2245, -88.2245, -69.2611]","[148.398, 149.662, 140.59, 141.988, 132.991]",192.728,111.826,2
175,5,"[-57.8376, -164.358, -109.369, 64.1769, 136.283]","[-96.9615, -102.821, -106.418, -113.389, -114.159]","[3.11342e-07, 3.22583e-07, 3.4277e-07, 3.4277e-07, 3.53011e-07]","[110.556, 110.556, -105.443, -105.488, -105.443]","[33.2859, 148.015, 40.5977, 40.4574, 140.812]","[-69.4444, -69.4444, -74.3735, -74.3802, -74.3735]","[146.714, 148.015, 139.402, 139.382, 140.812]",208.728,111.826,2
176,5,"[132.597, -93.9238, 162.213, -136.11, -86.3354]","[-97.3579, -111.561, -122.971, -127.794, -133.427]","[3.25868e-07, 3.36624e-07, 4.78942e-07, 4.79017e-07, 3.56148e-07]","[125.325, 125.325, -14.5805, -15.6205, -131.37]","[36.9959, 144.371, 57.0836, 57.0894, 43.0485]","[-54.6755, -54.6755, -40.3522, -40.7466, -64.3571]","[143.004, 144.371, 122.916, 122.911, 136.951]",224.728,111.826,2
177,5,"[-39.5213, 105.087, -154.749, 14.696, 179.835]","[-97.9307, -104.315, -106.699, -107.794, -116.023]","[3.48062e-07, 3.58151e-07, 4.36889e-07, 3.73978e-07, 3.73978e-07]","[136.189, 136.189, -40.7859, -125.018, -124.552]","[41.6039, 139.814, 53.4359, 45.8982, 45.8983]","[-43.8115, -43.8115, -43.1885, -51.1637, -51.1038]","[138.396, 139.814, 126.564, 134.102, 134.102]",240.728,111.826,2
178,5,"[-85.765, 169.098, -52.5188, -25.1605, 154.825]","[-98.6151, -110.646, -130.925, -131.081, -132.962]","[3.76569e-07, 3.85914e-07, 4.99271e-07, 4.57107e-07, 4.03886e-07]","[143.994, 143.994, 45.6221, -144.967, -121.223]","[46.2791, 135.153, 58.5813, 55.2936, 49.8793]","[-36.0063, -36.0063, -40.3522, -45.6298, -42.6559]","[133.721, 135.153, 121.419, 124.706, 130.121]",256.728,111.826,2
193,5,"[-88.1281, -97.453, 35.8725, -165.647, 32.5409]","[-97.9586, -104.486, -104.738, -120.949, -126.244]","[3.4918e-07, 3.59239e-07, 3.68967e-07, 3.785e-07, 3.99515e-07]","[27.2546, 27.2546, 155.945, 155.945, 112.149]","[41.8102, 139.609, 45.1393, 136.293, 49.349]","[-152.745, -152.745, -155.945, -155.945, -169.075]","[138.19, 139.609, 134.861, 136.293, 130.651]",128.728,127.826,2
194,5,"[38.7118, 145.949, -117.2, 92.9879, -138.695]","[-97.2118, -108.293, -125.096, -125.17, -126.844]","[3.20438e-07, 3.3137e-07, 4.9557e-07, 4.27619e-07, 4.19204e-07]","[34.7698, 34.7698, 16.2891, 160.81, 160.81]","[35.6873, 145.659, 58.3196, 129.78, 51.6216]","[-145.23, -145.23, -165.706, -161.16, -161.16]","[144.313, 145.659, 121.68, 129.78, 128.378]",144.728,127.826,2
195,5,"[78.7855, 56.7456, -165.042, -10.1476, 178.621]","[-107.471, -114.717, -117.617, -120.649, -125.888]","[4.60132e-07, 2.98596e-07, 3.84045e-07, 4.67811e-07, 3.93212e-07]","[163.46, 43.6565, -68.9442, 163.46, -68.9442]","[55.554, 27.6241, 47.3364, 125.794, 134.094]","[-163.811, -132.705, -110.655, -163.811, -110.655]","[124.446, 150.356, 132.664, 125.794, 134.094]",160.728,127.826,2
196,5,"[-19.7922, -71.8679, 112.014, 108.915, 48.3486]","[-96.1965, -102.825, -109.324, -111.528, -117.462]","[2.85114e-07, 2.97348e-07, 3.73947e-07, 4.39528e-07, 5.03405e-07]","[66.3072, 66.3072, -80.365, -39.4806, 166.263]","[24.0989, 156.951, 45.8937, 53.6906, 58.8683]","[-113.693, -113.693, -100.202, -69.9908, -165.706]","[155.901, 156.951, 134.106, 126.309, 121.132]",176.728,127.826,2
197,5,"[34.9848, 27.9576, -122.678, -14.4187, -44.8775]","[-96.0803, -101.207, -123.869, -130.824, -135.17]","[2.81328e-07, 2.93719e-07, 3.73033e-07, 4.1044e-07, 3.82465e-07]","[93.5469, 93.5469, -90.5818, -55.7362, -90.5818]","[22.3124, 158.676, 45.7575, 50.646, 135.675]","[-86.4531, -86.4531, -88.2245, -70.925, -88.2245]","[157.688, 158.676, 134.242, 129.354, 135.675]",192.728,127.826,2
198,5,"[-146.284, 98.5757, -172.667, 142.887, -111.799]","[-96.2713, -104.92, -112.274, -117.184, -118.677]","[2.87578e-07, 2.99711e-07, 2.87605e-07, 3.9205e-07, 4.01035e-07]","[119.37, 119.37, 112.755, -101.807, -101.807]","[25.1739, 155.911, 25.1851, 48.4055, 133.021]","[-60.6297, -60.6297, -60.1272, -78.1926, -78.1926]","[154.826, 155.911, 154.815, 131.594, 133.021]",208.728,127.826,2
199,5,"[-117.764, -20.6134, 71.3883, 13.8997, -150.74]","[-105.745, -107.03, -112.209, -113.135, -115.538]","[3.8982e-07, 4.99416e-07, 5.09101e-07, 3.98855e-07, 4.01399e-07]","[-112.998, -41.5317, 43.8689, -112.998, 112.47]","[48.1139, 58.5915, 59.2547, 133.314, 49.5795]","[-67.0024, -42.4427, -40.8173, -67.0024, -68.2416]","[131.886, 121.409, 120.745, 133.314, 130.42]",224.728,127.826,2
200,5,"[147.696, 141.714, -157.249, -159.507, 91.5329]","[-97.3874, -110.858, -125.699, -126.259, -131.154]","[3.26977e-07, 3.37698e-07, 4.30724e-07, 3.37823e-07, 3.28285e-07]","[147.412, 147.412, 17.9281, 150.104, 155.015]","[37.253, 144.118, 53.5163, 140.72, 50.248]","[-32.5877, -32.5877, -18.1517, -33.092, -33.9336]","[142.747, 144.118, 127.397, 144.692, 144.429]",240.728,127.826,2
201,5,"[-29.0762, 144.031, -44.1958, -145.915, -157.723]","[-98.1553, -106.778, -106.966, -113.516, -134.977]","[3.57171e-07, 3.91833e-07, 3.67011e-07, 4.00823e-07, 4.93145e-07]","[154.163, 21.3428, 154.163, 21.3428, -41.7767]","[43.224, 48.3774, 138.203, 133.049, 58.1455]","[-25.8369, -21.3428, -25.8369, -21.3428, -39.7306]","[136.776, 131.623, 138.203, 133.049, 121.855]",256.728,127.826,2
216,5,"[-121.596, 24.1607, -163.207, -156.17, -34.0758]","[-97.6432, -104.834, -106.027, -114.981, -143.106]","[3.36741e-07, 3.4716e-07, 3.57217e-07, 3.67056e-07, 3.58998e-07]","[14.4214, 14.4214, 167.438, 167.438, 160.825]","[39.3858, 142.012, 43.2319, 138.195, 26.8274]","[-165.579, -165.579, -167.438, -167.438, -167.927]","[140.614, 142.012, 136.768, 138.195, 134.871]",128.728,143.826,2
217,5,"[-18.5059, -89.8235, 80.3216, 96.0696, -60.6476]","[-96.8348, -102.228, -111.367, -126.56, -129.76]","[3.06836e-07, 3.18236e-07, 4.72155e-07, 6.02224e-07, 4.72199e-07]","[19.1143, 19.1143, 7.76351, 108.458, 8.84636]","[31.9816, 149.291, 56.5488, 64.3945, 56.5524]","[-160.886, -160.886, -172.236, 141.884, -173.05]","[148.018, 149.291, 123.451, 115.605, 123.448]",144.728,143.826,2
220,5,"[-57.8069, 127.862, 83.6851, -157.841, 111.576]","[-95.5845, -107.39, -125.066, -128.078, -136.226]","[2.65731e-07, 2.78816e-07, 4.12962e-07, 6.0165e-07, 4.47809e-07]","[97.0781, 97.0781, -90.3494, -38.1909, -66.8323]","[11.6423, 168.911, 50.9323, 64.3684, 54.4654]","[-82.9219, -82.9219, -88.2245, -45.6298, -70.925]","[168.358, 168.911, 129.068, 115.632, 125.535]",192.728,143.826,2
223,5,"[52.164, -64.1179, -130.538, -169.59, 83.1597]","[-97.0259, -117.492, -123.323, -128.243, -131.532]","[3.13659e-07, 3.24838e-07, 3.1393e-07, 4.72217e-07, 3.17731e-07]","[162.302, 161.588, 164.653, 6.43136, 145.863]","[33.925, 148.706, 39.5565, 124.926, 39.2392]","[-17.6977, -17.5538, -18.1615, -8.53979, -4.23434]","[146.075, 147.111, 147.018, 125.597, 148.182]",240.728,143.826,2
