Receive ID,Data Size,Phase Values (deg),Received Power (dBm),time of arrival (sec),doa_phi(),doa_theta(deg),dod_phi(deg),dod_theta(deg),rx_x,rx_y,rx_z
147,5,"[56.7394, -50.4851, 141.202, 87.2691, -174.773]","[-99.0998, -106.577, -118.704, -119.794, -136.885]","[3.98158e-07, 4.07008e-07, 4.10553e-07, 4.01781e-07, 4.04549e-07]","[46.6206, 46.6206, 135.026, 135.026, 11.6391]","[49.1811, 132.241, 131.793, 49.6258, 49.9584]","[-133.379, -133.379, -134.305, -134.305, -128.386]","[130.819, 132.241, 131.793, 130.374, 130.042]",128.728,95.8262,2
153,5,"[76.6651, -1.09623, -59.1222, 111.185, 162.858]","[-98.1886, -100.743, -107.663, -112.505, -127.905]","[3.58544e-07, 3.62085e-07, 3.68347e-07, 3.71795e-07, 3.5944e-07]","[117.369, 60.4579, 117.369, 60.4579, 131.773]","[43.4569, 44.0452, 137.971, 137.385, 43.6074]","[-62.6307, -60.4579, -62.6307, -60.4579, -65.0165]","[136.543, 135.955, 137.971, 137.385, 136.393]",224.728,95.8262,2
169,5,"[27.3262, -54.4116, -25.7113, 171.424, 65.8092]","[-99.2192, -103.024, -107.048, -114.245, -127.757]","[4.03662e-07, 4.19199e-07, 4.12394e-07, 4.27614e-07, 4.19428e-07]","[32.4627, -36.9092, 32.4627, -36.9092, -32.0178]","[49.8525, 51.621, 131.565, 129.781, 47.582]","[-147.537, -142.327, -147.537, -142.327, -141.784]","[130.147, 128.379, 131.565, 129.781, 127.887]",112.728,111.826,2
170,5,"[143.809, -37.425, -60.4083, -116.235, -131.216]","[-98.4968, -113.578, -139.201, -140.776, -144.453]","[3.71478e-07, 3.80948e-07, 4.4053e-07, 4.00981e-07, 4.36373e-07]","[38.669, 38.669, 102.32, 107.258, 97.6692]","[45.5234, 135.909, 53.7864, 49.5286, 53.3856]","[-141.331, -141.331, -167.743, -153.071, -168.835]","[134.477, 135.909, 126.214, 130.471, 126.614]",128.728,111.826,2
171,5,"[77.2265, -64.1993, -93.6064, -106.434, -169.41]","[-97.8438, -104.022, -122.324, -123.71, -130.406]","[3.44599e-07, 3.54788e-07, 3.82991e-07, 4.58065e-07, 3.73878e-07]","[47.1623, 47.1623, -55.0386, 124.289, -58.5687]","[40.9514, 140.461, 135.595, 55.3765, 51.9656]","[-132.838, -132.838, -124.961, -167.743, -125.434]","[139.049, 140.461, 135.595, 124.624, 134.89]",144.728,111.826,2
172,5,"[-97.8048, 93.7723, -50.4285, -168.209, 53.7256]","[-97.3173, -111.685, -114.853, -128.38, -132.166]","[3.24348e-07, 3.35153e-07, 3.64877e-07, 4.71317e-07, 4.63696e-07]","[58.8312, 58.8312, -65.4812, 154.434, 154.434]","[36.638, 144.724, 138.579, 125.487, 55.8555]","[-121.169, -121.169, -114.519, -154.434, -154.434]","[143.362, 144.724, 138.579, 125.487, 124.144]",160.728,111.826,2
173,5,"[-121.024, -73.216, 125.02, 57.9511, 4.12514]","[-96.9804, -103.005, -106.478, -106.487, -106.686]","[3.12019e-07, 3.23236e-07, 5.19257e-07, 3.41799e-07, 5.19253e-07]","[74.2239, 74.2239, 158.484, -78.3088, 158.176]","[33.4746, 147.83, 59.919, 40.4074, 59.9187]","[-105.776, -105.776, -158.281, -102.258, -158.527]","[146.525, 147.83, 120.081, 139.593, 120.081]",176.728,111.826,2
174,5,"[-34.9794, -62.9486, 113.97, -65.7409, -81.5437]","[-96.8835, -102.332, -106.738, -112.904, -114.288]","[3.08561e-07, 3.19899e-07, 3.40455e-07, 3.40455e-07, 3.50764e-07]","[92.2812, 92.2812, -91.7225, -91.7368, -91.7225]","[32.4908, 148.793, 40.1411, 40.1411, 141.265]","[-87.7188, -87.7188, -88.2775, -88.2795, -88.2775]","[147.509, 148.793, 139.859, 139.859, 141.265]",192.728,111.826,2
175,5,"[61.8268, -101.899, -90.4553, 104.471, 34.7383]","[-97.0428, -103.827, -106.02, -113.418, -117.756]","[3.14268e-07, 3.25408e-07, 3.46321e-07, 3.5646e-07, 3.46327e-07]","[109.91, 109.91, -105.06, -105.06, -105.326]","[34.0899, 147.227, 41.2785, 140.137, 40.4352]","[-70.0901, -70.0901, -74.756, -74.756, -74.7939]","[145.91, 147.227, 138.721, 140.137, 138.599]",208.728,111.826,2
176,5,"[21.0558, -7.11231, -11.3272, -103.924, -11.3827]","[-97.4321, -109.407, -126.005, -129.707, -133.415]","[3.28663e-07, 3.39331e-07, 4.82024e-07, 4.82123e-07, 3.59635e-07]","[124.393, 124.393, -14.5805, -15.6205, -131.37]","[37.6378, 143.739, 57.3204, 57.328, 43.6401]","[-55.6065, -55.6065, -41.1886, -41.5767, -65.0165]","[142.362, 143.739, 122.68, 122.672, 136.36]",224.728,111.826,2
