Receive ID,Data Size,Phase Values (deg),Received Power (dBm),time of arrival (sec),doa_phi(),doa_theta(deg),dod_phi(deg),dod_theta(deg),rx_x,rx_y,rx_z
169,5,"[58.8186, -75.5061, 161.006, 46.3132, 118.488]","[-99.7664, -108.338, -116.073, -125.061, -132.592]","[4.2988e-07, 4.48937e-07, 4.38089e-07, 4.56804e-07, 4.3178e-07]","[40.4278, -43.8911, 40.4278, -43.8911, 54.5821]","[52.7399, 54.5681, 128.65, 126.796, 52.9315]","[-139.572, -135.345, -139.572, -135.345, -142.777]","[127.26, 125.432, 128.65, 126.796, 127.069]",112.728,111.826,2
170,5,"[-126.841, -1.31379, -110.742, -33.087, 78.5474]","[-99.1355, -106.671, -138.945, -142.209, -145.056]","[3.99797e-07, 4.08612e-07, 4.24317e-07, 4.55197e-07, 4.64446e-07]","[46.9784, 46.9784, 107.258, 102.32, -48.473]","[49.3837, 132.037, 52.1663, 55.1268, 126.094]","[-133.022, -133.022, -142.777, -155.325, -122.033]","[130.616, 132.037, 127.834, 124.873, 126.094]",128.728,111.826,2
171,5,"[31.8772, 107.393, 31.7434, -90.5209, 147.494]","[-98.5774, -104.087, -111.588, -112.404, -113.243]","[3.7494e-07, 4.50289e-07, 3.84324e-07, 4.5029e-07, 4.1784e-07]","[55.2936, 142.857, 55.2936, 143.112, -60.882]","[46.0405, 54.6904, 135.392, 54.6905, 130.906]","[-124.706, -142.857, -124.706, -142.777, -119.118]","[133.959, 125.31, 135.392, 125.309, 130.906]",144.728,111.826,2
172,5,"[-79.8839, 129.788, 128.404, 72.9447, -126.108]","[-98.1365, -106.614, -113.681, -114.022, -119.947]","[3.56401e-07, 3.66261e-07, 4.9972e-07, 4.01288e-07, 3.92314e-07]","[65.6781, 65.6781, 148.438, -70.0243, -70.2673]","[43.0921, 138.334, 58.6127, 132.987, 49.2077]","[-114.322, -114.322, -148.788, -109.976, -110.002]","[136.908, 138.334, 121.387, 132.987, 131.643]",160.728,111.826,2
173,5,"[130.655, 102.608, 100.153, 92.4934, 170.07]","[-97.859, -104.048, -110.233, -111.757, -119.06]","[3.45202e-07, 3.55373e-07, 5.39798e-07, 3.79949e-07, 3.89213e-07]","[78.0658, 78.0658, 151.825, -80.7609, -80.7609]","[41.0665, 140.347, 61.174, 46.7646, 134.667]","[-101.934, -101.934, -152.175, -99.8064, -99.8064]","[138.933, 140.347, 118.826, 133.235, 134.667]",176.728,111.826,2
174,5,"[-52.5535, 45.0016, -159.743, 154.754, 6.3384]","[-97.7796, -104.037, -115.171, -121.075, -123.048]","[3.42064e-07, 3.52325e-07, 3.79153e-07, 3.88436e-07, 3.79154e-07]","[91.6763, 91.6763, -91.3495, -91.3495, -91.7368]","[40.4595, 140.949, 46.6514, 134.78, 46.6514]","[-88.3237, -88.3237, -88.6505, -88.6505, -88.6924]","[139.54, 140.949, 133.349, 134.78, 133.349]",192.728,111.826,2
175,5,"[113.618, 99.4878, 37.5383, 104.416, -160.989]","[-97.9093, -104.209, -111.86, -117.518, -133.783]","[3.47205e-07, 3.57319e-07, 3.84568e-07, 3.93724e-07, 3.84965e-07]","[105.104, 105.104, -102.045, -102.045, -103.759]","[41.4444, 139.972, 47.4083, 134.022, 40.2332]","[-74.8965, -74.8965, -77.7712, -77.7712, -77.961]","[138.556, 139.972, 132.592, 134.022, 131.674]",208.728,111.826,2
176,5,"[44.8046, -153.13, -85.1709, -63.0968, -79.184]","[-98.2304, -108.675, -136.862, -137.076, -138.531]","[3.60271e-07, 3.70028e-07, 5.16178e-07, 5.15862e-07, 3.97694e-07]","[117.045, 117.045, -15.6205, -14.5805, -129.572]","[43.746, 137.683, 59.7208, 59.7003, 49.1234]","[-62.9553, -62.9553, -48.8142, -48.4866, -70.0117]","[136.254, 137.683, 120.279, 120.3, 130.877]",224.728,111.826,2
177,5,"[-13.4045, 10.3667, 124.98, 30.2141, -43.7744]","[-98.7042, -104.258, -108.847, -113.605, -115.231]","[3.80447e-07, 4.12081e-07, 3.89699e-07, 4.20638e-07, 4.8003e-07]","[126.911, -121.442, 126.911, -121.442, 34.2312]","[46.835, 50.8328, 134.596, 130.577, 124.749]","[-53.0887, -58.5581, -53.0887, -58.5581, -34.2312]","[133.165, 129.167, 134.596, 130.577, 124.749]",240.728,111.826,2
178,5,"[-53.2252, -51.2951, -56.9194, -130.596, 135.038]","[-99.2838, -107.493, -117.074, -125.601, -129.329]","[4.06675e-07, 4.15343e-07, 4.96276e-07, 5.03404e-07, 4.3933e-07]","[134.763, 134.763, -148.209, -148.209, -121.223]","[50.2096, 131.205, 58.3698, 122.924, 53.6717]","[-45.2373, -45.2373, -52.1831, -52.1831, -50.8005]","[129.79, 131.205, 121.63, 122.924, 126.328]",256.728,111.826,2
193,5,"[61.8878, -39.3968, 90.6896, -33.0025, -4.79856]","[-98.5282, -104.59, -112.868, -113.3, -138.997]","[3.72824e-07, 3.91426e-07, 3.82261e-07, 4.00425e-07, 4.14243e-07]","[39.1359, 144.81, 39.1359, 144.81, 112.149]","[45.7261, 48.3244, 135.706, 133.102, 51.0761]","[-140.864, -144.81, -140.864, -144.81, -155.325]","[134.274, 131.676, 135.706, 133.102, 128.924]",128.728,127.826,2
194,5,"[141.846, -90.4238, 155.783, -34.3761, 33.6847]","[-97.8799, -104.101, -107.641, -115.236, -121.645]","[3.46034e-07, 3.56181e-07, 4.39053e-07, 4.98574e-07, 4.41794e-07]","[47.6333, 47.6333, 151.282, 23.3411, 165.927]","[41.2243, 140.191, 53.6451, 58.5323, 53.9063]","[-132.367, -132.367, -151.632, -156.659, -147.369]","[138.776, 140.191, 126.355, 121.468, 126.094]",144.728,127.826,2
195,5,"[29.3585, 166.038, -160.912, 8.61061, 94.4621]","[-114.063, -120.039, -121.097, -125.506, -130.016]","[4.78256e-07, 4.85134e-07, 4.78256e-07, 4.50952e-07, 4.92424e-07]","[154.947, 171.506, 154.9, 74.2065, 171.506]","[57.0304, 57.5558, 57.0304, 54.7501, 123.755]","[-155.298, -147.369, -155.325, -105.805, -147.369]","[122.97, 122.444, 122.97, 125.25, 123.755]",160.728,127.826,2
196,5,"[-72.5965, -34.0763, -7.20861, -131.937, -5.67229]","[-97.0234, -103.533, -109.94, -113.043, -115.963]","[3.13567e-07, 3.2473e-07, 4.19981e-07, 4.43972e-07, 3.13632e-07]","[74.4467, 74.4467, -82.251, 84.6167, 81.2302]","[33.9, 147.414, 51.7055, 54.111, 33.9179]","[-105.553, -105.553, -98.3163, -97.7409, -106.204]","[146.1, 147.414, 128.295, 125.889, 146.082]",176.728,127.826,2
197,5,"[17.7567, -11.9698, 85.2083, -29.3905, -86.821]","[-96.927, -102.553, -119.186, -130.377, -131.592]","[3.10108e-07, 3.21392e-07, 4.19573e-07, 4.57775e-07, 5.77507e-07]","[92.207, 92.207, -90.5818, -55.7362, 175.28]","[32.9371, 148.357, 51.6615, 55.3514, 63.2134]","[-87.793, -87.793, -88.6924, -75.2848, -147.369]","[147.063, 148.357, 128.339, 124.649, 116.787]",192.728,127.826,2
198,5,"[26.1885, -28.9516, -97.2077, 51.5472, 145.283]","[-107.333, -109.346, -111.094, -112.535, -116.792]","[4.39362e-07, 3.15778e-07, 5.76424e-07, 4.52165e-07, 3.26866e-07]","[-99.7392, 112.755, -32.4546, 100.016, 112.755]","[53.6748, 34.4926, 63.1591, 54.8587, 146.832]","[-80.2608, -70.5967, -51.5199, -80.6956, -70.5967]","[126.325, 145.507, 116.841, 125.141, 146.832]",208.728,127.826,2
199,5,"[-17.3697, 150.744, 105.312, -102.224, -56.7255]","[-116.63, -120.364, -131.203, -131.442, -132.384]","[4.34541e-07, 4.47271e-07, 4.74866e-07, 5.37474e-07, 4.747e-07]","[-108.996, 108.838, 129.482, -37.8919, 128.157]","[53.206, 54.4162, 56.7647, 61.0376, 56.7515]","[-71.0039, -71.8741, -83.9683, -48.8142, -84.5521]","[126.794, 125.584, 123.235, 118.962, 123.248]",224.728,127.826,2
200,5,"[44.1859, -36.9741, -131.821, -87.185, -43.605]","[-98.0283, -120.539, -124.165, -125.604, -135.901]","[3.51993e-07, 3.62e-07, 4.57813e-07, 3.62061e-07, 4.50259e-07]","[134.687, 133.21, -114.098, 137.337, -112.907]","[42.3196, 140.287, 126.702, 141.297, 58.397]","[-45.3129, -45.012, -62.0832, -45.8295, -61.7192]","[137.68, 138.852, 126.702, 138.644, 126.414]",240.728,127.826,2
201,5,"[-148.41, 39.7602, -49.7934, 169.61, -12.0325]","[-98.6983, -104.228, -108.946, -113.792, -137.248]","[3.8019e-07, 4.1291e-07, 3.89448e-07, 4.2145e-07, 3.84578e-07]","[142.559, 31.7089, 142.559, 31.7089, 134.686]","[46.7987, 50.9264, 134.633, 130.482, 54.317]","[-37.4411, -31.7089, -37.4411, -31.7089, -29.6228]","[133.201, 129.074, 134.633, 130.482, 138.769]",256.728,127.826,2
