Receive ID,Data Size,Phase Values (deg),Received Power (dBm),time of arrival (sec),doa_phi(),doa_theta(deg),dod_phi(deg),dod_theta(deg),rx_x,rx_y,rx_z
147,5,"[-70.928, -96.9713, -31.3037, 11.1928, 43.6556]","[-99.6354, -105.669, -112.845, -119.535, -137.814]","[4.23455e-07, 4.26869e-07, 4.31787e-07, 4.35136e-07, 4.31959e-07]","[51.6985, 129.927, 51.6985, 129.927, 11.6391]","[52.0757, 52.4319, 129.322, 128.961, 52.9493]","[-128.301, -129.206, -128.301, -129.206, -123.342]","[127.924, 127.568, 129.322, 128.961, 127.051]",128.728,95.8262,2
153,5,"[76.881, -142.542, 41.6567, -44.2188, 31.6149]","[-98.8387, -100.952, -107.235, -108.948, -129.458]","[3.86377e-07, 3.89664e-07, 3.95491e-07, 3.98702e-07, 3.90316e-07]","[113.374, 64.677, 113.374, 64.677, 78.172]","[47.6544, 48.0933, 133.775, 133.334, 48.1792]","[-66.6264, -64.677, -66.6264, -64.677, -63.2163]","[132.346, 131.907, 133.775, 133.334, 131.821]",224.728,95.8262,2
169,5,"[-109.826, -97.1993, 18.5825, 114.521, -50.3752]","[-99.631, -112.741, -118.26, -133.278, -133.943]","[4.23239e-07, 4.31575e-07, 4.41536e-07, 4.25614e-07, 4.42279e-07]","[38.7149, 38.7149, -42.3936, 54.5821, -34.1758]","[52.0529, 129.345, 53.8819, 52.3018, 45.9532]","[-141.285, -141.285, -136.842, -144.971, -136.062]","[127.947, 129.345, 126.118, 127.698, 125.233]",112.728,111.826,2
170,5,"[97.7903, -84.8808, -176.196, -89.4804, 103.886]","[-98.9787, -106.564, -139.244, -140.065, -145.341]","[3.92652e-07, 4.01623e-07, 4.18215e-07, 4.50925e-07, 4.55554e-07]","[45.2363, 45.2363, 107.258, 102.32, -48.473]","[48.4834, 132.942, 51.5142, 54.7477, 126.914]","[-134.764, -134.764, -144.971, -158.054, -123.342]","[131.517, 132.942, 128.486, 125.252, 126.914]",128.728,111.826,2
171,5,"[125.243, 158.149, 12.5259, -96.3095, 51.1286]","[-98.3987, -112.005, -113.6, -120.442, -121.255]","[3.67314e-07, 4.09282e-07, 3.76889e-07, 4.4398e-07, 4.00511e-07]","[53.6457, -59.6836, 53.6457, 143.112, -60.5963]","[44.8821, 131.952, 136.55, 54.1117, 51.3864]","[-126.354, -120.316, -126.354, -144.971, -120.42]","[135.118, 131.952, 136.55, 125.888, 130.743]",144.728,111.826,2
172,5,"[97.3272, -60.4195, -118.106, -124.32, -57.5589]","[-97.9385, -104.359, -114.669, -119.864, -123.716]","[3.48374e-07, 3.58455e-07, 3.92373e-07, 4.94036e-07, 5.01195e-07]","[64.3459, 64.3459, -69.1153, 149.968, 149.968]","[41.6617, 139.757, 134.213, 58.2096, 123.087]","[-115.654, -115.654, -110.885, -150.318, -150.318]","[138.338, 139.757, 134.213, 121.79, 123.087]",160.728,111.826,2
173,5,"[-148.662, 30.6703, -15.9634, -173.046, -70.6864]","[-97.6476, -104.789, -108.416, -108.433, -108.841]","[3.36912e-07, 3.47326e-07, 3.70635e-07, 6.48273e-07, 5.34545e-07]","[77.3453, 77.3453, -80.2806, -6.09185, 153.248]","[39.4211, 141.977, 45.3953, 66.3297, 60.8637]","[-102.655, -102.655, -100.287, -47.0383, -153.599]","[140.579, 141.977, 134.605, 113.67, 119.136]",176.728,111.826,2
174,5,"[148.123, 51.3519, 139.809, -50.394, 61.2303]","[-97.5643, -105.944, -110.23, -117.734, -123.702]","[3.33699e-07, 3.4421e-07, 3.6972e-07, 3.69721e-07, 3.79234e-07]","[91.7883, 91.7883, -91.4222, -91.7368, -91.4222]","[38.7453, 142.645, 45.2553, 45.2554, 136.177]","[-88.2117, -88.2117, -88.5778, -88.6137, -88.5778]","[141.255, 142.645, 134.745, 134.745, 136.177]",192.728,111.826,2
175,5,"[-172.702, 48.9777, 31.45, 93.1187, 160.862]","[-97.7006, -104.355, -108.379, -119.776, -130.857]","[3.38971e-07, 3.49324e-07, 3.75238e-07, 3.84616e-07, 5.52994e-07]","[106.012, 106.012, -102.639, -102.639, -9.87407]","[39.8427, 141.56, 46.0845, 135.348, 61.9238]","[-73.9879, -73.9879, -77.1768, -77.1768, -46.9452]","[140.157, 141.56, 133.915, 135.348, 118.076]",208.728,111.826,2
176,5,"[-84.7812, 122.172, 34.9675, -165.16, -56.489]","[-98.0371, -105.184, -135.577, -136.039, -136.17]","[3.52346e-07, 3.62317e-07, 5.07514e-07, 3.88487e-07, 5.07784e-07]","[118.49, 118.49, -14.5805, -129.572, -15.6205]","[42.3826, 139.04, 59.1481, 47.9373, 59.1662]","[-61.5101, -61.5101, -46.9452, -68.99, -47.2862]","[137.617, 139.04, 120.852, 132.063, 120.834]",224.728,111.826,2
