Receive ID,Data Size,Phase Values (deg),Received Power (dBm),time of arrival (sec),doa_phi(),doa_theta(deg),dod_phi(deg),dod_theta(deg),rx_x,rx_y,rx_z
169,5,"[109.134, 89.0204, -164.619, -149.025, -94.2645]","[-99.8256, -106.882, -117.197, -121.525, -132.286]","[4.32816e-07, 4.52188e-07, 4.40971e-07, 4.59999e-07, 4.34536e-07]","[41.1362, -44.51, 41.1362, -44.51, 54.5821]","[53.035, 54.8607, 128.351, 126.499, 53.2054]","[-138.864, -134.726, -138.864, -134.726, -141.874]","[126.965, 125.139, 128.351, 126.499, 126.795]",112.728,111.826,2
170,5,"[-48.6324, 159.564, -142.117, 110.181, -3.99302]","[-99.2039, -106.962, -138.845, -143.229, -144.502]","[4.02952e-07, 4.11699e-07, 4.27044e-07, 4.57175e-07, 4.28691e-07]","[47.6919, 47.6919, 107.258, 102.32, -101.924]","[49.7673, 131.651, 52.4499, 55.2994, 52.6189]","[-132.308, -132.308, -141.874, -154.19, -130.723]","[130.233, 131.651, 127.55, 124.701, 127.381]",128.728,111.826,2
171,5,"[-143.971, -67.7335, 21.1353, -124.814, 35.9562]","[-98.655, -104.069, -109.76, -112.675, -114.29]","[3.783e-07, 4.53094e-07, 3.87603e-07, 4.13042e-07, 4.21579e-07]","[55.9603, 142.165, 55.9603, -61.4624, -61.3695]","[46.5293, 54.9413, 134.903, 51.1523, 130.467]","[-124.04, -142.165, -124.04, -118.64, -118.631]","[133.471, 125.059, 134.903, 129.081, 130.467]",144.728,111.826,2
172,5,"[72.4495, 176.6, -7.14882, 60.6945, 47.9136]","[-98.2223, -108.465, -112.071, -114.506, -116.936]","[3.59933e-07, 3.69699e-07, 5.02242e-07, 4.05179e-07, 3.96289e-07]","[66.2099, 66.2099, 147.796, -70.3909, -70.4607]","[43.6898, 137.739, 58.7881, 132.476, 49.1736]","[-113.79, -113.79, -148.147, -109.609, -109.617]","[136.31, 137.739, 121.212, 132.476, 131.077]",160.728,111.826,2
173,5,"[-81.5749, -152.357, 106.909, 57.0865, 39.1731]","[-97.9503, -104.431, -111.036, -114.131, -118.779]","[3.48846e-07, 3.58914e-07, 5.42131e-07, 3.84009e-07, 3.93177e-07]","[78.3503, 78.3503, 151.226, -80.9532, -80.9532]","[41.7487, 139.67, 61.3096, 47.3315, 134.099]","[-101.65, -101.65, -151.577, -99.6141, -99.6141]","[138.251, 139.67, 118.69, 132.669, 134.099]",176.728,111.826,2
174,5,"[-108.71, -36.0947, -152.872, 74.687, 10.9387]","[-97.8725, -104.08, -119.156, -121.094, -127.233]","[3.45739e-07, 3.55895e-07, 3.83262e-07, 3.92448e-07, 3.83263e-07]","[91.6323, 91.6323, -91.3204, -91.3204, -91.7368]","[41.1685, 140.246, 47.2285, 134.202, 47.2286]","[-88.3677, -88.3677, -88.6796, -88.6796, -88.7237]","[138.831, 140.246, 132.771, 134.202, 132.771]",192.728,111.826,2
175,5,"[56.7057, -12.0451, -35.003, -75.2358, 80.2813]","[-97.9994, -104.807, -114.354, -117.882, -134.445]","[3.50825e-07, 3.60837e-07, 3.88634e-07, 3.97696e-07, 3.89094e-07]","[104.744, 104.744, -101.806, -101.806, -103.61]","[42.1095, 139.312, 47.9569, 133.471, 40.2152]","[-75.2559, -75.2559, -78.0098, -78.0098, -78.2051]","[137.89, 139.312, 132.043, 133.471, 131.065]",208.728,111.826,2
176,5,"[120.21, 150.749, -120.323, 21.4396, -55.789]","[-98.3142, -111.151, -137.075, -137.654, -139.378]","[3.63759e-07, 3.73425e-07, 5.1985e-07, 5.19516e-07, 4.01897e-07]","[116.466, 116.466, -15.6205, -14.5805, -130.375]","[44.3171, 137.114, 59.9568, 59.9355, 49.6399]","[-63.5341, -63.5341, -49.442, -49.1199, -70.6]","[135.683, 137.114, 120.043, 120.065, 130.36]",224.728,111.826,2
177,5,"[179.535, -99.8791, 105.674, 53.0137, -89.4183]","[-98.7793, -104.478, -107.804, -114.708, -115.008]","[3.8375e-07, 4.15819e-07, 3.92925e-07, 4.24301e-07, 4.82649e-07]","[126.223, -120.922, 126.223, -120.922, 34.9023]","[47.2959, 51.2512, 134.134, 130.155, 124.534]","[-53.7769, -59.0782, -53.7769, -59.0782, -34.9023]","[132.704, 128.749, 134.134, 130.155, 124.534]",240.728,111.826,2
178,5,"[78.3752, 139.727, 177.889, 93.4731, -62.863]","[-99.3497, -108.094, -119.546, -127.398, -128.913]","[4.09766e-07, 4.1837e-07, 5.00072e-07, 5.07147e-07, 4.4286e-07]","[134.044, 134.044, -148.673, -148.673, -121.223]","[50.5686, 130.843, 58.6373, 122.65, 54.0068]","[-45.9558, -45.9558, -52.647, -52.647, -51.4266]","[129.431, 130.843, 121.363, 122.65, 125.993]",256.728,111.826,2
193,5,"[-107.209, -141.788, -34.3916, -135.133, -81.8138]","[-98.5882, -104.694, -111.31, -113.313, -139.097]","[3.75405e-07, 3.93887e-07, 3.84779e-07, 4.02831e-07, 3.95506e-07]","[40.0587, 143.92, 40.0587, 143.92, 131.32]","[46.109, 48.6423, 135.323, 132.783, 35.8846]","[-139.941, -143.92, -139.941, -143.92, -145.029]","[133.891, 131.358, 135.323, 132.783, 129.819]",128.728,127.826,2
194,5,"[137.858, 60.8451, 3.89431, 18.0264, -19.4231]","[-97.9494, -104.425, -107.093, -116.047, -122.365]","[3.48812e-07, 3.58881e-07, 4.41243e-07, 5.00511e-07, 4.49245e-07]","[48.5668, 48.5668, 150.486, 24.0328, 150.486]","[41.7425, 139.676, 53.8541, 58.6679, 127.521]","[-131.433, -131.433, -150.837, -155.967, -150.837]","[138.257, 139.676, 126.146, 121.332, 127.521]",144.728,127.826,2
195,5,"[-142.288, 37.2195, 40.0295, -135.841, -104.697]","[-115.97, -126.126, -126.529, -127.486, -130.767]","[4.87739e-07, 4.94989e-07, 4.55389e-07, 4.80278e-07, 5.05925e-07]","[171.506, 171.506, 74.2065, 154.9, 77.6773]","[57.75, 123.557, 55.1437, 57.1867, 59.0405]","[-146.397, -146.397, -105.473, -154.19, -103.872]","[122.25, 123.557, 124.856, 122.813, 120.959]",160.728,127.826,2
