Receive ID,Data Size,Phase Values (deg),Received Power (dBm),time of arrival (sec),doa_phi(),doa_theta(deg),dod_phi(deg),dod_theta(deg),rx_x,rx_y,rx_z
169,5,"[43.9353, 152.58, 81.4111, -77.1866, -79.107]","[-100.131, -104.435, -113.888, -115.086, -130.573]","[4.48271e-07, 4.69118e-07, 4.5615e-07, 4.76652e-07, 4.49255e-07]","[44.4584, -47.4116, 44.4584, -47.4116, 54.5821]","[54.5076, 56.3035, 126.858, 125.031, 54.597]","[-135.542, -131.824, -135.542, -131.824, -137.68]","[125.492, 123.697, 126.858, 125.031, 125.403]",112.728,111.826,2
170,5,"[-9.5496, -109.555, 56.1081, 25.5292, 113.102]","[-99.5539, -111.09, -138.739, -141.287, -145.017]","[4.19501e-07, 4.2791e-07, 4.41626e-07, 4.46241e-07, 4.63278e-07]","[50.9843, 50.9843, 107.258, -101.924, 97.6692]","[51.6537, 129.748, 53.8904, 54.3214, 55.8204]","[-129.016, -129.016, -137.68, -127.679, -149.037]","[128.346, 129.748, 126.11, 125.679, 124.18]",128.728,111.826,2
171,5,"[93.889, -127.82, 19.3674, 133.708, -125.822]","[-99.0498, -104.24, -106.513, -109.307, -114.858]","[3.95874e-07, 4.67883e-07, 4.04774e-07, 4.32721e-07, 4.75437e-07]","[58.9778, 138.894, 58.9778, -63.5963, 138.894]","[48.895, 56.2025, 132.529, 53.0255, 125.134]","[-121.022, -138.894, -121.022, -116.404, -138.894]","[131.105, 123.797, 132.529, 126.974, 125.134]",144.728,111.826,2
172,5,"[-136.489, 53.4589, -57.259, 37.0906, -132.722]","[-98.6562, -105.029, -107.618, -109.735, -109.917]","[3.78354e-07, 5.16879e-07, 5.15586e-07, 3.87657e-07, 5.1688e-07]","[68.568, 139.032, 144.723, 68.568, 138.876]","[46.5371, 59.7662, 59.6824, 134.895, 59.7662]","[-111.432, -148.943, -145.073, -111.432, -148.842]","[133.463, 120.234, 120.318, 134.895, 120.234]",160.728,111.826,2
173,5,"[117.576, 84.1695, 9.61731, -135.223, -21.9055]","[-98.4106, -113.819, -117.242, -119.827, -130.318]","[3.67815e-07, 3.77377e-07, 4.04871e-07, 5.54504e-07, 5.54507e-07]","[79.5913, 79.5913, -81.8117, 148.333, 148.136]","[44.9604, 136.472, 49.9966, 62.007, 62.0071]","[-100.409, -100.409, -98.7556, -148.683, -148.842]","[135.04, 136.472, 130.003, 117.993, 117.993]",176.728,111.826,2
174,5,"[172.883, 25.1128, 99.6956, -98.2337, -111.534]","[-98.3405, -111.994, -113.694, -122.101, -133.66]","[3.64862e-07, 3.745e-07, 4.04356e-07, 4.04357e-07, 5.8221e-07]","[91.4411, 91.4411, -91.1907, -91.7368, 151.057]","[44.4942, 136.937, 49.9354, 49.9355, 65.1297]","[-88.5589, -88.5589, -88.8093, -88.8613, -150.106]","[135.506, 136.937, 130.065, 130.065, 118.243]",192.728,111.826,2
175,5,"[-68.898, -170.569, 144.112, -53.1121, -57.6834]","[-98.4545, -114.098, -116.637, -137.002, -138.513]","[3.69677e-07, 3.79192e-07, 4.09517e-07, 4.10337e-07, 5.8495e-07]","[103.171, 103.171, -100.738, -102.889, -10.5676]","[45.2487, 136.184, 50.5399, 40.1309, 63.5809]","[-76.8295, -76.8295, -79.078, -79.288, -52.3552]","[134.751, 136.184, 129.46, 128.226, 116.419]",208.728,111.826,2
176,5,"[-144.844, -131.947, -126.234, -14.5501, -90.0334]","[-98.7388, -108.317, -136.007, -137.693, -139.06]","[3.81967e-07, 3.91183e-07, 5.3637e-07, 5.38834e-07, 4.22566e-07]","[113.886, 113.886, -21.576, -15.6205, -130.375]","[47.0485, 134.382, 60.9723, 61.1176, 51.9817]","[-66.1137, -66.1137, -55.0225, -52.3552, -72.4161]","[132.951, 134.382, 119.028, 118.882, 128.018]",224.728,111.826,2
177,5,"[73.851, 15.1492, 76.0166, -134.968, 158.032]","[-99.1626, -106.769, -107.132, -114.96, -117.57]","[4.01044e-07, 4.09832e-07, 4.35121e-07, 4.96493e-07, 4.89274e-07]","[123.092, 123.092, -118.539, 38.0985, 37.8139]","[49.5363, 131.883, 53.2631, 123.442, 58.4483]","[-56.9076, -56.9076, -61.4612, -38.0985, -38.1901]","[130.464, 131.883, 126.737, 123.442, 122.324]",240.728,111.826,2
178,5,"[10.2252, 4.31572, 57.351, 44.1582, -62.3431]","[-99.6875, -114.117, -126.479, -129.742, -136.257]","[4.25998e-07, 4.34281e-07, 4.61173e-07, 4.5574e-07, 5.19568e-07]","[130.714, 130.714, -121.223, 50.4386, -149.28]","[52.3417, 129.052, 55.6427, 55.1744, 59.9388]","[-49.2863, -49.2863, -54.3174, -42.2525, -55.0225]","[127.658, 129.052, 124.357, 124.826, 120.061]",256.728,111.826,2
193,5,"[1.31458, 70.3595, 40.6544, 145.016, 91.455]","[-98.9037, -105.74, -106.819, -115.805, -138.486]","[3.89278e-07, 4.07134e-07, 3.98325e-07, 4.15793e-07, 4.08702e-07]","[44.3172, 139.762, 44.3172, 139.762, 127.123]","[48.0422, 50.2634, 133.386, 131.151, 38.3606]","[-135.683, -139.762, -135.683, -139.762, -140.914]","[131.958, 129.737, 133.386, 131.151, 128.293]",128.728,127.826,2
194,5,"[-166.062, -42.6054, -146.623, 177.531, -0.399587]","[-98.3126, -105.274, -111.1, -117.311, -117.952]","[3.63692e-07, 4.53086e-07, 3.7336e-07, 4.60883e-07, 4.53494e-07]","[52.7599, 146.693, 52.7599, 146.693, 141.803]","[44.3063, 54.9406, 137.125, 126.418, 54.9767]","[-127.24, -147.043, -127.24, -147.043, -148.842]","[135.694, 125.059, 137.125, 126.418, 125.023]",144.728,127.826,2
195,5,"[-143.649, -153.19, 28.0164, -26.2477, 42.7647]","[-111.87, -118.962, -120.586, -124.237, -124.376]","[4.78318e-07, 4.8571e-07, 5.48568e-07, 5.01803e-07, 4.57631e-07]","[149.738, 149.738, 154.718, 171.506, -72.879]","[57.0352, 124.286, 61.6769, 58.7577, 55.339]","[-149.738, -149.738, -140.753, -141.856, -104.987]","[122.965, 124.286, 118.323, 121.242, 124.661]",160.728,127.826,2
196,5,"[82.1929, -167.937, -61.6095, 59.0599, 31.3515]","[-97.5443, -106.329, -106.464, -110.437, -113.29]","[3.32932e-07, 3.43466e-07, 4.46707e-07, 5.47771e-07, 3.32961e-07]","[76.9285, 76.9285, -83.0117, 174.402, 81.2302]","[38.5804, 142.808, 54.3644, 61.632, 38.5866]","[-103.071, -103.071, -97.5555, -142.153, -103.415]","[141.42, 142.808, 125.636, 118.368, 141.413]",176.728,127.826,2
197,5,"[1.33037, 175.015, 124.986, -35.5186, 9.20499]","[-97.4586, -108.547, -114.008, -115.717, -124.195]","[3.29666e-07, 3.40302e-07, 5.95088e-07, 4.46533e-07, 6.42903e-07]","[91.8213, 91.8213, 175.28, -90.5818, -27.293]","[37.8633, 143.516, 64.0648, 54.3484, 66.1197]","[-88.1787, -88.1787, -141.856, -88.8613, -56.1808]","[142.137, 143.516, 115.935, 125.652, 113.88]",192.728,127.826,2
198,5,"[-152.66, 146.042, 68.8118, -177.333, 82.9319]","[-106.025, -111.303, -111.824, -115.017, -117.034]","[4.66608e-07, 4.79811e-07, 6.00454e-07, 3.35022e-07, 4.74182e-07]","[-98.8853, 99.2316, -30.2249, 112.755, -98.8853]","[56.0977, 57.1507, 64.3135, 39.0263, 125.241]","[-81.1147, -81.4801, -53.7495, -73.791, -81.1147]","[123.902, 122.849, 115.686, 140.974, 125.241]",208.728,127.826,2
