Receive ID,Data Size,Phase Values (deg),Received Power (dBm),time of arrival (sec),doa_phi(),doa_theta(deg),dod_phi(deg),dod_theta(deg),rx_x,rx_y,rx_z
147,5,"[-107.687, -2.118, 133.406, -135.068, -91.5406]","[-99.0773, -106.538, -119.232, -121.973, -136.885]","[3.97128e-07, 4.06e-07, 4.09553e-07, 4.0076e-07, 4.03425e-07]","[46.3751, 46.3751, 135.271, 135.271, 11.6391]","[49.0526, 132.37, 131.918, 49.5016, 49.8241]","[-133.625, -133.625, -134.551, -134.551, -128.635]","[130.947, 132.37, 131.918, 130.498, 130.176]",128.728,95.8262,2
153,5,"[-88.1158, 120.668, -62.7431, 41.4051, 172.954]","[-98.1609, -100.745, -107.077, -111.752, -127.767]","[3.57402e-07, 3.60956e-07, 3.67236e-07, 3.70695e-07, 3.58272e-07]","[117.572, 60.2454, 117.572, 60.2454, 131.773]","[43.2634, 43.8594, 138.164, 137.57, 43.4109]","[-62.4283, -60.2454, -62.4283, -60.2454, -64.8002]","[136.737, 136.141, 138.164, 137.57, 136.589]",224.728,95.8262,2
169,5,"[-36.0736, 2.12184, 164.116, 112.452, -129.964]","[-99.2026, -102.864, -106.955, -113.793, -127.375]","[4.02894e-07, 4.18302e-07, 4.11642e-07, 4.26734e-07, 4.18514e-07]","[32.1683, -36.6499, 32.1683, -36.6499, -31.9278]","[49.7604, 51.5236, 131.658, 129.879, 47.6527]","[-147.832, -142.586, -147.832, -142.586, -142.059]","[130.24, 128.476, 131.658, 129.879, 128.003]",112.728,111.826,2
170,5,"[149.272, -161.891, -158.288, 94.8486, -64.0919]","[-98.4772, -113.9, -138.972, -140.863, -144.37]","[3.70644e-07, 3.80135e-07, 4.40212e-07, 4.00338e-07, 4.36085e-07]","[38.3516, 38.3516, 102.32, 107.258, 97.6692]","[45.3966, 136.036, 53.756, 49.45, 53.3575]","[-141.648, -141.648, -168.185, -153.455, -169.298]","[134.603, 136.036, 126.244, 130.55, 126.643]",128.728,111.826,2
171,5,"[141.883, -169.296, 30.5557, -163.807, -8.17709]","[-97.8211, -104.005, -123.637, -124.516, -130.662]","[3.437e-07, 3.53915e-07, 3.81917e-07, 4.57741e-07, 3.72798e-07]","[46.8375, 46.8375, -54.8082, 124.289, -58.4805]","[40.7784, 140.633, 135.759, 55.3484, 51.9918]","[-133.162, -133.162, -125.192, -168.185, -125.687]","[139.222, 140.633, 135.759, 124.652, 135.08]",144.728,111.826,2
172,5,"[-32.1552, -32.1607, 50.1366, 75.1922, 135.448]","[-97.2916, -111.178, -114.741, -128.434, -129.348]","[3.23394e-07, 3.34229e-07, 3.63751e-07, 4.63027e-07, 4.70659e-07]","[58.5424, 58.5424, -65.2959, 154.687, 154.687]","[36.41, 144.948, 138.781, 55.7994, 125.545]","[-121.458, -121.458, -114.704, -154.687, -154.687]","[143.59, 144.948, 138.781, 124.201, 125.545]",160.728,111.826,2
173,5,"[-174.038, 7.25706, -179.202, -109.118, 39.9213]","[-96.9527, -102.745, -106.635, -106.639, -107.789]","[3.11027e-07, 3.22278e-07, 3.40613e-07, 5.18659e-07, 5.18659e-07]","[74.0535, 74.0535, -78.2059, 158.399, 158.484]","[33.1973, 148.102, 40.1726, 59.8807, 59.8807]","[-105.946, -105.946, -102.361, -158.749, -158.681]","[146.803, 148.102, 139.827, 120.119, 120.119]",176.728,111.826,2
174,5,"[-19.6428, 78.499, 6.02558, -62.7636, 42.7379]","[-96.8552, -102.253, -112.79, -120.681, -126.259]","[3.07559e-07, 3.18932e-07, 3.3925e-07, 3.49594e-07, 3.84261e-07]","[92.3085, 92.3085, -91.7368, -91.7368, -36.0733]","[32.1964, 149.081, 39.8991, 141.504, 47.3662]","[-87.6915, -87.6915, -88.2615, -88.2615, -69.6372]","[147.804, 149.081, 140.101, 141.504, 132.634]",192.728,111.826,2
175,5,"[-45.0022, -70.1152, 62.9355, 35.0818, -152.042]","[-97.0156, -103.425, -106.132, -113.596, -116.432]","[3.13285e-07, 3.24458e-07, 3.45131e-07, 3.55304e-07, 3.45134e-07]","[110.121, 110.121, -105.186, -105.186, -105.38]","[33.8232, 147.489, 41.053, 140.361, 40.4425]","[-69.8792, -69.8792, -74.6306, -74.6306, -74.6585]","[146.177, 147.489, 138.947, 140.361, 138.858]",208.728,111.826,2
176,5,"[-9.39598, 133.834, -150.368, 168.395, 4.75707]","[-97.4073, -110.237, -125.102, -129.124, -133.406]","[3.27724e-07, 3.3842e-07, 4.8099e-07, 4.81081e-07, 3.58467e-07]","[124.699, 124.699, -14.5805, -15.6205, -131.37]","[37.4243, 143.949, 57.2414, 57.2483, 43.4438]","[-55.301, -55.301, -40.9121, -41.3023, -64.8002]","[142.576, 143.949, 122.759, 122.752, 136.556]",224.728,111.826,2
177,5,"[-132.034, -28.0862, 117.642, 29.2772, 140.554]","[-97.974, -104.596, -106.576, -112.961, -123.223]","[3.49798e-07, 3.59839e-07, 4.38958e-07, 3.76085e-07, 4.5616e-07]","[135.524, 135.524, -40.3419, -124.552, 26.655]","[41.9232, 139.497, 53.6359, 46.2086, 126.857]","[-44.4761, -44.4761, -43.6325, -51.6652, -26.655]","[138.077, 139.497, 126.364, 133.791, 126.857]",240.728,111.826,2
178,5,"[-43.8499, 101.537, 160.511, -21.8076, 38.7382]","[-98.6521, -109.821, -120.329, -127.183, -129.796]","[3.78173e-07, 3.8748e-07, 5.01352e-07, 5.01352e-07, 4.5932e-07]","[143.359, 143.359, 45.6749, 45.6221, -144.967]","[46.5111, 134.921, 58.7265, 58.7265, 55.4845]","[-36.6407, -36.6407, -40.8877, -40.9121, -46.1416]","[133.489, 134.921, 121.274, 121.274, 124.516]",256.728,111.826,2
193,5,"[-92.2887, 73.5128, 112.052, 44.2334, -39.0747]","[-97.9876, -104.675, -104.705, -120.834, -127.47]","[3.50348e-07, 3.70072e-07, 3.60373e-07, 3.79578e-07, 4.00082e-07]","[28.0684, 155.2, 28.0684, 155.2, 112.149]","[42.0232, 45.3093, 139.398, 136.123, 49.4186]","[-151.932, -155.2, -151.932, -155.2, -168.185]","[137.977, 134.691, 139.398, 136.123, 130.581]",128.728,127.826,2
194,5,"[86.1191, 100.476, 49.1484, 53.1219, 51.626]","[-97.2462, -109.613, -122.655, -123.531, -124.816]","[3.21709e-07, 3.32599e-07, 4.96379e-07, 4.20175e-07, 4.2857e-07]","[35.7021, 35.7021, 16.2891, 160.194, 160.194]","[36.0012, 145.35, 58.3772, 51.7263, 129.675]","[-144.298, -144.298, -165.146, -160.544, -160.544]","[143.999, 145.35, 121.623, 128.274, 129.675]",144.728,127.826,2
195,5,"[123.136, 51.6707, -56.7984, 128.667, -39.9059]","[-107.622, -116.911, -119.994, -120.787, -127.406]","[4.61014e-07, 2.99985e-07, 3.86638e-07, 4.68679e-07, 3.95745e-07]","[162.918, 43.8039, -68.9442, 162.918, -68.9442]","[55.6292, 27.5609, 47.6895, 125.718, 133.74]","[-163.269, -131.599, -110.281, -163.269, -110.281]","[124.371, 149.803, 132.31, 125.718, 133.74]",160.728,127.826,2
196,5,"[109.2, 78.8182, 146.138, 31.5837, 63.0782]","[-96.2398, -103.91, -110.251, -112.467, -119.972]","[2.86539e-07, 2.98714e-07, 3.76608e-07, 4.42373e-07, 3.85952e-07]","[67.0246, 67.0246, -80.5034, -39.6872, -80.5034]","[24.728, 156.343, 46.2848, 53.9609, 135.147]","[-112.975, -112.975, -100.064, -70.1974, -100.064]","[155.272, 156.343, 133.715, 126.039, 135.147]",176.728,127.826,2
197,5,"[48.8651, 79.3514, 53.0057, 178.919, -167.504]","[-96.1248, -101.644, -125.106, -130.794, -134.011]","[2.8277e-07, 2.95101e-07, 3.75728e-07, 4.13188e-07, 3.85094e-07]","[93.4231, 93.4231, -90.5818, -55.7362, -90.5818]","[23.0141, 157.999, 46.1563, 50.9578, 135.276]","[-86.5769, -86.5769, -88.2615, -71.2584, -88.2615]","[156.986, 157.999, 133.844, 129.042, 135.276]",192.728,127.826,2
198,5,"[78.0318, -29.4175, 90.8987, 87.7022, -58.1371]","[-96.3138, -106.598, -111.359, -119.756, -120.711]","[2.88988e-07, 3.01064e-07, 2.89008e-07, 4.03726e-07, 3.94803e-07]","[118.528, 118.528, 112.755, -101.658, -101.658]","[25.7622, 155.342, 25.7706, 132.665, 48.7592]","[-61.4715, -61.4715, -61.045, -78.342, -78.342]","[154.238, 155.342, 154.229, 132.665, 131.241]",208.728,127.826,2
199,5,"[94.5526, -12.1935, -113.297, -107.471, 29.7904]","[-106.127, -107.137, -113.091, -117.045, -118.29]","[3.92397e-07, 5.01582e-07, 4.01374e-07, 4.04058e-07, 5.08635e-07]","[-112.71, -41.1612, -112.71, 112.211, -41.1612]","[48.4505, 58.7424, 132.975, 49.8998, 122.543]","[-67.2896, -42.8132, -67.2896, -68.5006, -42.8132]","[131.549, 121.258, 132.975, 130.1, 122.543]",224.728,127.826,2
200,5,"[43.0048, -75.1277, -4.94282, -115.552, 158.799]","[-97.4203, -109.803, -126.257, -126.313, -130.684]","[3.28216e-07, 3.38897e-07, 3.39022e-07, 4.31662e-07, 3.39275e-07]","[146.506, 146.506, 149.24, 18.5167, 139.896]","[37.5363, 143.839, 140.472, 53.6089, 139.907]","[-33.4942, -33.4942, -34.0056, -18.7468, -31.8149]","[142.464, 143.839, 144.407, 127.302, 144.68]",240.728,127.826,2
201,5,"[-170.933, -62.343, 11.6687, 158.743, -50.4856]","[-98.1828, -106.536, -107.534, -113.295, -123.454]","[3.58304e-07, 3.92866e-07, 3.68113e-07, 4.01832e-07, 4.95187e-07]","[153.377, 22.0234, 153.377, 22.0234, -42.1696]","[43.4164, 48.511, 138.012, 132.915, 58.2922]","[-26.623, -22.0234, -26.623, -22.0234, -40.1235]","[136.584, 131.489, 138.012, 132.915, 121.708]",256.728,127.826,2
216,5,"[-161.577, 105.355, 22.6542, 131.326, 168.204]","[-97.6591, -104.677, -105.929, -115.184, -142.978]","[3.37358e-07, 3.47759e-07, 3.578e-07, 3.67623e-07, 3.59578e-07]","[15.3905, 15.3905, 166.584, 166.584, 159.582]","[39.5133, 141.886, 43.331, 138.097, 27.008]","[-164.609, -164.609, -166.584, -166.584, -167.104]","[140.487, 141.886, 136.669, 138.097, 134.779]",128.728,143.826,2
217,5,"[-79.7022, 7.60415, 90.163, -167.446, 170.127]","[-96.8539, -102.251, -111.349, -121.989, -124.673]","[3.07512e-07, 3.18888e-07, 4.72598e-07, 6.00155e-07, 4.72609e-07]","[20.3532, 20.3532, 8.30313, 108.458, 8.84636]","[32.1827, 149.095, 56.5843, 64.2998, 56.5852]","[-159.647, -159.647, -171.697, 142.462, -172.104]","[147.817, 149.095, 123.416, 115.7, 123.415]",144.728,143.826,2
220,5,"[-47.8305, 3.76484, -4.30013, -102.098, 140.905]","[-95.6099, -108.366, -121.204, -124.178, -130.832]","[2.66507e-07, 2.79556e-07, 6.04073e-07, 4.15879e-07, 6.04075e-07]","[96.6095, 96.6095, -37.9977, -90.3494, -38.1909]","[12.4262, 168.162, 64.4785, 51.2578, 64.4786]","[-83.3905, -83.3905, -45.9768, -88.2615, -46.1416]","[167.574, 168.162, 115.521, 128.742, 115.521]",192.728,143.826,2
223,5,"[131.903, 164.777, -51.7627, 78.2397, -0.815854]","[-97.044, -117.542, -123.333, -128.19, -131.304]","[3.14313e-07, 3.2547e-07, 3.14584e-07, 4.72679e-07, 3.17911e-07]","[161.14, 160.391, 163.624, 6.98009, 145.847]","[34.1019, 148.516, 39.7065, 124.891, 39.2271]","[-18.8602, -18.7093, -19.3494, -9.0924, -6.38176]","[145.898, 146.941, 146.836, 125.555, 148.084]",240.728,143.826,2
