Receive ID,Data Size,Phase Values (deg),Received Power (dBm),time of arrival (sec),doa_phi(),doa_theta(deg),dod_phi(deg),dod_theta(deg),rx_x,rx_y,rx_z
124,5,"[32.1914, 147.346, -123.317, -160.208, 122.157]","[-99.3156, -107.247, -107.763, -117.81, -130.623]","[4.08162e-07, 4.64865e-07, 4.16799e-07, 4.72467e-07, 4.09002e-07]","[48.8525, 37.3901, 48.8525, 37.3901, 43.3112]","[50.3832, 55.9532, 131.03, 125.388, 57.5536]","[-131.147, -141.851, -131.147, -141.851, -129.977]","[129.617, 124.047, 131.03, 125.388, 130.938]",128.728,79.8262,2
130,5,"[36.016, 132.259, -79.0633, -166.074, 104.929]","[-130.902, -140.278, -140.982, -143.97, -146.056]","[3.70765e-07, 3.74802e-07, 3.94008e-07, 3.76349e-07, 3.80253e-07]","[106.507, 80.5705, 136.401, 82.051, 106.507]","[45.4151, 39.8181, 60.6183, 39.4468, 136.017]","[-60.2214, -59.8327, -57.7876, -58.3375, -60.2214]","[134.585, 133.058, 134.747, 132.347, 136.017]",224.728,79.8262,2
131,5,"[-75.73, 124.162, -98.8225, -65.0261, 45.7347]","[-108.038, -118.752, -127.531, -132.608, -133.438]","[4.26048e-07, 4.36169e-07, 4.2604e-07, 4.26233e-07, 4.36166e-07]","[43.0836, -3.09645, 41.874, 46.8494, -3.22819]","[52.3468, 53.3658, 55.7931, 57.6841, 53.3654]","[-44.8464, -49.5901, -45.0875, -44.5418, -49.58]","[127.653, 126.634, 128.227, 128.05, 126.635]",240.728,79.8262,2
147,5,"[-163.108, -141.63, -14.2052, -118.277, 141.762]","[-98.6869, -109.145, -110.954, -129.655, -135.827]","[3.79692e-07, 3.88962e-07, 3.83484e-07, 3.92665e-07, 3.82721e-07]","[41.5523, 41.5523, 140.085, 140.085, 32.5429]","[46.7281, 134.704, 47.2592, 134.171, 62.9612]","[-138.448, -138.448, -139.365, -139.365, -136.544]","[133.272, 134.704, 132.741, 134.171, 135.843]",128.728,95.8262,2
153,5,"[114.834, 78.2238, 143.864, 115.612, 83.189]","[-97.6752, -100.982, -104.538, -107.424, -124.628]","[3.37982e-07, 3.41739e-07, 3.48364e-07, 3.5201e-07, 3.38397e-07]","[121.742, 55.8933, 121.742, 55.8933, 131.773]","[39.6414, 40.3957, 141.759, 141.012, 39.726]","[-58.2585, -55.8933, -58.2585, -55.8933, -60.2214]","[140.359, 139.604, 141.759, 141.012, 140.274]",224.728,95.8262,2
169,5,"[-138.825, 29.8889, 60.3819, -71.434, 91.9346]","[-98.9277, -101.445, -106.713, -109.32, -115.46]","[3.90355e-07, 4.03301e-07, 3.99378e-07, 4.1204e-07, 4.03315e-07]","[26.5387, -31.6647, 26.5387, -31.6647, -30.3881]","[48.1842, 49.8092, 133.243, 131.609, 48.899]","[-153.461, -147.571, -153.461, -147.571, -147.411]","[131.816, 130.191, 133.243, 131.609, 130.074]",112.728,111.826,2
170,5,"[115.575, 67.3297, 148.52, 119.405, 62.1594]","[-98.1507, -106.877, -132.428, -141.547, -142.751]","[3.56982e-07, 3.66827e-07, 4.36499e-07, 3.78335e-07, 3.90397e-07]","[32.1412, 32.1412, 102.32, -101.924, 107.258]","[43.1917, 138.235, 53.3979, 46.5343, 48.1898]","[-147.859, -147.859, -176.351, -145.028, -160.791]","[136.808, 138.235, 126.602, 133.466, 131.81]",128.728,111.826,2
171,5,"[81.7304, 107.542, -96.6346, 83.1749, 128.78]","[-97.4392, -109.171, -132.073, -134.453, -136.41]","[3.28932e-07, 3.39591e-07, 4.53952e-07, 3.54618e-07, 3.63719e-07]","[40.2588, 40.2588, 124.289, -56.9188, -51.1635]","[37.6984, 143.679, 55.0173, 52.4698, 137.702]","[-139.741, -139.741, -176.351, -130.882, -130.005]","[142.302, 143.679, 124.983, 138.597, 138.968]",144.728,111.826,2
172,5,"[24.1018, 146.662, 39.5491, -117.783, 39.2804]","[-96.8581, -102.259, -133.261, -135.41, -137.671]","[3.07663e-07, 3.19033e-07, 4.52301e-07, 3.35566e-07, 4.83654e-07]","[52.3978, 52.3978, 156.986, -43.1408, 138.876]","[32.2273, 149.051, 54.8707, 39.1407, 57.4442]","[-127.602, -127.602, -160.791, -114.201, -176.351]","[147.773, 149.051, 125.129, 140.859, 122.556]",160.728,111.826,2
173,5,"[122.727, -86.7816, -28.7743, 120.01, -4.0104]","[-96.4824, -106.382, -108.294, -116.187, -118.04]","[2.94648e-07, 4.94211e-07, 3.06501e-07, 3.20408e-07, 5.01368e-07]","[70.2289, 161.977, 70.2289, -76.0086, 161.977]","[27.9562, 58.2222, 153.214, 35.6798, 123.074]","[-109.771, -161.977, -109.771, -104.559, -161.977]","[152.044, 121.778, 153.214, 144.32, 123.074]",176.728,111.826,2
174,5,"[27.4771, -133.23, 67.7105, -4.34857, -46.8527]","[-96.374, -108.15, -109.198, -119.178, -120.355]","[2.90996e-07, 3.61908e-07, 3.02992e-07, 3.61913e-07, 3.71622e-07]","[92.9345, -35.4718, 92.9345, -36.0733, -35.4718]","[26.5696, 44.0161, 154.559, 44.0169, 137.414]","[-87.0655, -65.982, -87.0655, -65.7047, -65.982]","[153.43, 135.984, 154.559, 135.983, 137.414]",192.728,111.826,2
