Receive ID,Data Size,Phase Values (deg),Received Power (dBm),time of arrival (sec),doa_phi(),doa_theta(deg),dod_phi(deg),dod_theta(deg),rx_x,rx_y,rx_z
124,5,"[-25.6665, 141.692, 148.74, -77.9853, -109.203]","[-99.0867, -106.553, -107.917, -119.564, -128.11]","[3.9756e-07, 4.06422e-07, 4.55529e-07, 4.63284e-07, 4.06486e-07]","[46.5044, 46.5044, 35.1328, 35.1328, 44.8935]","[49.1065, 132.316, 55.1559, 126.199, 130.545]","[-133.496, -133.496, -144.108, -144.108, -133.123]","[130.893, 132.316, 124.844, 126.199, 132.709]",128.728,79.8262,2
130,5,"[-6.2799, -176.055, 13.4778, 34.0493, 137.538]","[-132.124, -137.658, -141.214, -141.919, -144.06]","[3.59549e-07, 4.50659e-07, 3.83047e-07, 3.69325e-07, 3.64857e-07]","[106.507, 25.3161, 138.756, 106.507, 81.3748]","[43.6257, 47.2617, 59.6891, 137.803, 37.194]","[-56.9701, -38.3387, -55.6115, -56.9701, -56.1799]","[136.374, 124.235, 136.395, 137.803, 134.013]",224.728,79.8262,2
131,5,"[-137.166, 88.2889, -38.7255, -45.3516, 5.67862]","[-106.075, -110.897, -124.797, -127.338, -131.816]","[4.15889e-07, 4.2501e-07, 4.33312e-07, 4.15919e-07, 4.25009e-07]","[40.7303, -3.09645, -3.09645, 39.5302, -3.22819]","[51.2589, 52.2388, 129.157, 54.8426, 52.2387]","[-42.4931, -47.2591, -47.2591, -42.7248, -47.2447]","[128.741, 127.761, 129.157, 129.334, 127.761]",240.728,79.8262,2
147,5,"[133.013, 77.0974, -125.854, 77.5675, 36.3443]","[-98.4851, -107.974, -113.785, -125.298, -135.64]","[3.70979e-07, 3.74857e-07, 3.80462e-07, 3.84244e-07, 3.74071e-07]","[38.5144, 143.104, 38.5144, 143.104, 29.5204]","[45.4477, 46.0283, 135.985, 135.404, 62.193]","[-141.486, -142.384, -141.486, -142.384, -139.557]","[134.552, 133.972, 135.985, 135.404, 137.195]",128.728,95.8262,2
153,5,"[154.91, 111.51, 33.3112, 50.1165, 27.4082]","[-97.4198, -101.327, -109.819, -110.815, -121.542]","[3.28198e-07, 3.32067e-07, 3.3888e-07, 3.42628e-07, 3.28406e-07]","[124.578, 52.9627, 124.578, 52.9627, 131.773]","[37.5324, 38.393, 143.842, 142.993, 37.5795]","[-55.4218, -52.9627, -55.4218, -52.9627, -56.9701]","[142.468, 141.607, 143.842, 142.993, 142.421]",224.728,95.8262,2
169,5,"[41.7992, 81.2381, -12.0683, -33.666, 18.846]","[-98.7962, -107.622, -108.673, -113.127, -138.067]","[3.84494e-07, 3.93651e-07, 4.04864e-07, 3.95974e-07, 3.93296e-07]","[23.1435, 23.1435, -28.6278, -29.6138, 54.5821]","[47.398, 134.032, 132.517, 49.5523, 48.5664]","[-156.857, -156.857, -150.608, -150.74, -165.189]","[132.602, 134.032, 132.517, 131.178, 131.434]",112.728,111.826,2
170,5,"[-85.2832, 159.377, 86.1006, -121.264, -89.5356]","[-97.9931, -104.751, -125.386, -140.078, -142.376]","[3.50569e-07, 3.60588e-07, 4.36119e-07, 3.70928e-07, 4.33032e-07]","[28.2692, 28.2692, 102.32, -101.924, 97.6692]","[42.0633, 139.358, 53.3609, 45.4399, 53.0564]","[-151.731, -151.731, 179.023, -148.595, 177.357]","[137.937, 139.358, 126.639, 134.56, 126.944]",128.728,111.826,2
171,5,"[-138.776, -71.0511, -112.997, -153.123, -169.817]","[-97.2532, -109.878, -134.458, -135.896, -141.137]","[3.21966e-07, 3.32848e-07, 4.53565e-07, 3.45655e-07, 3.84046e-07]","[35.9355, 35.9355, 124.289, -56.0906, -34.0012]","[36.064, 145.289, 54.983, 52.7343, 47.3366]","[-144.064, -144.064, 179.023, -134.386, -112.635]","[143.936, 145.289, 125.017, 140.601, 132.663]",144.728,111.826,2
172,5,"[79.0227, -141.826, 88.6029, 61.1244, 23.7295]","[-96.645, -103.511, -134.181, -136.79, -138.613]","[3.0021e-07, 3.11852e-07, 3.25146e-07, 4.47795e-07, 3.24512e-07]","[48.0226, 48.0226, -43.1408, 156.986, -47.3806]","[29.895, 151.327, 36.8266, 54.4641, 36.6769]","[-131.977, -131.977, -117.062, -165.189, -118.619]","[150.105, 151.327, 143.173, 125.536, 143.323]",160.728,111.826,2
173,5,"[165.729, -138.372, -123.903, -116.457, 78.7567]","[-96.2497, -104.205, -119.388, -120.887, -123.41]","[2.86863e-07, 2.99025e-07, 3.10203e-07, 3.21483e-07, 4.89622e-07]","[67.2304, 67.2304, -74.4197, -74.4197, 163.5]","[24.8684, 156.207, 32.964, 148.33, 57.889]","[-112.77, -112.77, -106.148, -106.148, -165.189]","[155.132, 156.207, 147.036, 148.33, 122.111]",176.728,111.826,2
