Receive ID,Data Size,Phase Values (deg),Received Power (dBm),time of arrival (sec),doa_phi(),doa_theta(deg),dod_phi(deg),dod_theta(deg),rx_x,rx_y,rx_z
77,5,"[111.642, 109.566, 85.2227, 170.46, 82.391]","[-100.186, -113.081, -141.428, -146.808, -151.908]","[4.51149e-07, 4.58979e-07, 4.64452e-07, 4.6955e-07, 4.72061e-07]","[45.0996, 45.0996, 69.089, 37.3309, 69.089]","[54.7678, 126.593, 55.9187, 67.5151, 125.423]","[-134.9, -134.9, -146.441, -121.001, -146.441]","[125.232, 126.593, 124.081, 140.044, 125.423]",112.728,47.8262,2
78,5,"[-87.3982, -151.719, 168.108, 93.828, -149.271]","[-99.6184, -112.451, -142.781, -142.947, -148.289]","[4.22625e-07, 4.30972e-07, 4.32551e-07, 4.57783e-07, 4.43988e-07]","[51.6207, 51.6207, 43.3172, 93.9134, 61.5611]","[51.9879, 129.41, 62.3189, 55.3521, 76.1748]","[-128.379, -128.379, -117.767, -146.441, -135.61]","[128.012, 129.41, 137.35, 124.648, 139.171]",128.728,47.8262,2
79,5,"[-75.9567, -30.2075, -74.4755, -144.602, 4.78538]","[-99.1233, -106.634, -143.768, -146.539, -147.987]","[3.99234e-07, 4.0806e-07, 4.69974e-07, 4.28267e-07, 4.21964e-07]","[59.5669, 59.5669, 117.425, 43.7283, 68.1667]","[49.3143, 132.107, 56.373, 61.1512, 75.4855]","[-120.433, -120.433, -146.441, -86.605, -127.23]","[130.686, 132.107, 123.627, 141.948, 142.885]",144.728,47.8262,2
80,5,"[145.664, 151.666, 99.4993, -85.6547, 50.2993]","[-98.7378, -108.331, -133.626, -141.213, -142.25]","[3.81922e-07, 3.91139e-07, 3.84005e-07, 3.97809e-07, 3.9224e-07]","[69.0459, 69.0459, 71.1759, 52.6526, 70.6601]","[47.0422, 134.389, 53.6382, 55.1676, 129.781]","[-110.954, -110.954, -112.935, -87.0799, -112.466]","[132.958, 134.389, 138.017, 138.608, 138.116]",160.728,47.8262,2
81,5,"[105.016, -66.627, 24.9309, -125.562, -142.154]","[-98.4982, -113.55, -132.077, -133.78, -139.238]","[3.71539e-07, 3.81008e-07, 3.76464e-07, 3.73706e-07, 3.82156e-07]","[79.8839, 79.8839, 67.4686, 80.9983, 80.7324]","[45.5327, 135.9, 48.4234, 52.5036, 131.015]","[-100.116, -100.116, -87.425, -101.177, -100.925]","[134.467, 135.9, 135.865, 139.847, 139.872]",176.728,47.8262,2
82,5,"[-34.5601, 66.7274, 2.24544, 55.8703, 156.198]","[-98.4308, -114.058, -127.503, -134.636, -139.909]","[3.68672e-07, 3.78212e-07, 3.78244e-07, 5.50511e-07, 5.44907e-07]","[91.4958, 91.4958, 90.3754, 32.221, 28.1889]","[45.0936, 136.339, 136.334, 119.803, 61.4692]","[-88.5042, -88.5042, -87.485, -33.9838, -37.4912]","[134.906, 136.339, 136.334, 119.803, 118.531]",192.728,47.8262,2
83,5,"[137.822, -160.75, 177.564, -46.6909, 168.785]","[-116.886, -128.665, -128.68, -132.417, -134.237]","[5.0561e-07, 3.74296e-07, 5.12608e-07, 3.74833e-07, 5.06245e-07]","[36.3583, 103.961, 36.3583, 109.28, 37.4461]","[59.0191, 41.6026, 122.26, 42.5801, 55.9326]","[-37.4912, -77.6711, -37.4912, -81.4902, -36.7119]","[120.981, 130.917, 122.26, 131.391, 118.649]",208.728,47.8262,2
84,5,"[-131.588, 126.298, -37.3172, -124.337, -123.05]","[-128.732, -137.5, -138.834, -140.072, -145.829]","[3.86458e-07, 4.72333e-07, 3.96335e-07, 3.97124e-07, 4.10154e-07]","[115.128, 49.602, 115.879, 109.47, 132.986]","[43.6861, 56.5631, 139.106, 140.182, 60.457]","[-67.5956, -37.4912, -68.1297, -63.84, -92.4927]","[129.427, 123.437, 129.53, 128.76, 140.43]",224.728,47.8262,2
85,5,"[5.37946, 159.169, -120.64, 93.7526, 39.9756]","[-99.2408, -108.179, -127.472, -128.221, -141.391]","[4.04666e-07, 4.04667e-07, 4.13456e-07, 4.13478e-07, 4.50126e-07]","[122.607, 122.66, 121.492, 122.166, 71.0384]","[49.9723, 50.1379, 132.255, 132.72, 54.6757]","[-57.393, -57.4403, -56.3644, -56.9981, -37.4912]","[130.028, 130.174, 130.668, 130.257, 125.324]",240.728,47.8262,2
86,5,"[-85.1276, -33.1198, 83.3589, 8.00888, -108.657]","[-99.7578, -115.873, -135.0, -140.544, -143.26]","[4.29458e-07, 4.37675e-07, 4.31564e-07, 4.46353e-07, 4.39035e-07]","[130.172, 130.172, 133.899, 99.3052, 133.218]","[52.697, 128.693, 57.1909, 54.3318, 125.246]","[-49.828, -49.828, -54.4146, -37.4912, -53.6872]","[127.303, 128.693, 132.038, 125.668, 132.526]",256.728,47.8262,2
