Receive ID,Data Size,Phase Values (deg),Received Power (dBm),time of arrival (sec),doa_phi(),doa_theta(deg),dod_phi(deg),dod_theta(deg),rx_x,rx_y,rx_z
169,5,"[-179.856, 68.1008, -21.4033, -42.5616, -117.861]","[-100.089, -104.554, -114.575, -115.44, -130.824]","[4.46139e-07, 4.66798e-07, 4.54054e-07, 4.74369e-07, 4.47206e-07]","[44.0359, -47.0426, 44.0359, -47.0426, 54.5821]","[54.3121, 56.1134, 127.056, 125.225, 54.4102]","[-135.964, -132.193, -135.964, -132.193, -138.209]","[125.688, 123.887, 127.056, 125.225, 125.59]",112.728,111.826,2
170,5,"[-6.56981, -39.8475, -102.13, 130.707, -66.9582]","[-99.5065, -110.224, -138.702, -141.614, -145.302]","[4.17223e-07, 4.25677e-07, 4.39595e-07, 4.43836e-07, 4.61694e-07]","[50.5704, 50.5704, 107.258, -101.924, 97.6692]","[51.4058, 129.998, 53.6971, 54.0982, 55.6869]","[-129.43, -129.43, -138.209, -128.062, -149.748]","[128.594, 129.998, 126.303, 125.902, 124.313]",128.728,111.826,2
171,5,"[-102.878, 148.295, -167.382, -147.15, -62.9275]","[-98.9966, -104.192, -106.535, -108.401, -114.944]","[3.9346e-07, 4.6584e-07, 4.02413e-07, 4.30043e-07, 4.73426e-07]","[58.6036, 139.312, 58.6036, -63.3182, 139.312]","[48.5875, 56.0342, 132.838, 52.7564, 125.306]","[-121.396, -139.312, -121.396, -116.682, -139.312]","[131.412, 123.966, 132.838, 127.244, 125.306]",144.728,111.826,2
172,5,"[29.4868, 36.4479, 22.5385, 168.576, -22.6377]","[-98.598, -107.996, -110.64, -111.063, -111.558]","[3.75829e-07, 5.13738e-07, 5.15216e-07, 3.85192e-07, 5.30344e-07]","[68.2798, 145.12, 138.876, 68.2798, -138.55]","[46.1711, 59.5618, 59.6583, 135.261, 60.6104]","[-111.72, -145.47, -149.524, -111.72, -138.55]","[133.829, 120.438, 120.342, 135.261, 119.39]",160.728,111.826,2
173,5,"[29.2094, -60.5138, -174.443, 9.18107, -61.7581]","[-98.349, -112.26, -117.737, -120.404, -130.167]","[3.65218e-07, 3.74846e-07, 5.52788e-07, 4.02038e-07, 4.10804e-07]","[79.4413, 79.4413, 148.709, -81.7062, -81.7062]","[44.5509, 136.88, 61.9124, 49.657, 131.762]","[-100.559, -100.559, -149.059, -98.8611, -98.8611]","[135.449, 136.88, 118.088, 130.343, 131.762]",176.728,111.826,2
174,5,"[-144.907, -7.50022, -68.5437, 94.6509, 88.0803]","[-98.2779, -110.017, -115.448, -123.765, -133.499]","[3.62245e-07, 3.7195e-07, 4.01493e-07, 4.01494e-07, 5.80567e-07]","[91.4641, 91.4641, -91.2066, -91.7368, 151.414]","[44.0712, 137.359, 49.591, 49.5911, 65.0549]","[-88.5359, -88.5359, -88.7934, -88.8445, -150.47]","[135.929, 137.359, 130.409, 130.409, 118.331]",192.728,111.826,2
175,5,"[104.27, -43.2408, 157.031, 8.86141, -70.7123]","[-98.3936, -113.489, -119.539, -131.817, -136.718]","[3.67095e-07, 3.76675e-07, 4.06682e-07, 4.1535e-07, 4.0745e-07]","[103.361, 103.361, -100.87, -100.87, -102.983]","[44.8478, 136.584, 50.2104, 131.204, 40.1416]","[-76.6388, -76.6388, -78.9465, -78.9465, -79.1555]","[135.152, 136.584, 129.79, 131.204, 128.586]",208.728,111.826,2
176,5,"[-159.986, -173.066, -63.335, -163.124, 103.569]","[-98.6818, -109.238, -136.349, -137.64, -139.032]","[3.79469e-07, 3.88745e-07, 5.33694e-07, 5.36246e-07, 4.19759e-07]","[114.203, 114.203, -21.576, -15.6205, -130.375]","[46.6964, 134.735, 60.8127, 60.9649, 51.6815]","[-65.7972, -65.7972, -54.7114, -51.9874, -72.1931]","[133.304, 134.735, 119.187, 119.035, 128.318]",224.728,111.826,2
177,5,"[-1.9253, -160.722, -36.6807, 37.0125, 155.613]","[-99.1109, -106.571, -106.602, -114.868, -117.669]","[3.98667e-07, 4.32491e-07, 4.07506e-07, 4.94577e-07, 4.8733e-07]","[123.482, -118.837, 123.482, 37.6874, 37.4041]","[49.2442, 53.0026, 132.177, 123.588, 58.3074]","[-56.518, -61.163, -56.518, -37.6874, -37.7787]","[130.756, 126.997, 132.177, 123.588, 122.469]",240.728,111.826,2
178,5,"[101.515, 179.369, 75.2821, 32.6199, -175.086]","[-99.6417, -112.994, -126.855, -130.036, -137.109]","[4.23762e-07, 4.32088e-07, 4.58671e-07, 4.53686e-07, 4.66374e-07]","[131.134, 131.134, -121.223, 50.4386, -121.223]","[52.108, 129.289, 55.4287, 54.9937, 125.922]","[-48.8663, -48.8663, -53.9537, -41.7701, -53.9537]","[127.892, 129.289, 124.571, 125.006, 125.922]",256.728,111.826,2
193,5,"[-34.4445, -157.378, 75.0608, 22.9704, -179.877]","[-98.8603, -105.531, -107.074, -115.192, -138.559]","[3.87339e-07, 4.0528e-07, 3.9643e-07, 4.13978e-07, 4.06855e-07]","[43.7822, 140.289, 43.7822, 140.289, 127.64]","[47.7839, 50.0452, 133.645, 131.371, 38.0318]","[-136.218, -140.289, -136.218, -140.289, -141.437]","[132.216, 129.955, 133.645, 131.371, 128.499]",128.728,127.826,2
194,5,"[-39.6779, -72.4268, -8.22952, -35.5689, 137.678]","[-98.2629, -105.446, -109.571, -117.844, -119.594]","[3.61617e-07, 4.51424e-07, 3.71339e-07, 4.59248e-07, 4.51917e-07]","[52.2432, 147.181, 52.2432, 147.181, 141.803]","[43.9684, 54.7924, 137.461, 126.568, 54.8365]","[-127.757, -147.532, -127.757, -147.532, -149.524]","[136.032, 125.208, 137.461, 126.568, 125.164]",144.728,127.826,2
195,5,"[3.43549, -163.589, -141.666, 147.546, -112.152]","[-112.856, -119.473, -121.147, -122.355, -123.975]","[4.7674e-07, 4.84155e-07, 5.46484e-07, 4.99832e-07, 4.54656e-07]","[150.203, 150.203, 154.372, 171.506, -72.879]","[56.9121, 124.411, 61.5591, 58.6206, 55.0793]","[-150.203, -150.203, -141.099, -142.431, -105.178]","[123.088, 124.411, 118.441, 121.379, 124.921]",160.728,127.826,2
