Receive ID,Data Size,Phase Values (deg),Received Power (dBm),time of arrival (sec),doa_phi(),doa_theta(deg),dod_phi(deg),dod_theta(deg),rx_x,rx_y,rx_z
124,5,"[149.507, 169.682, -130.547, -95.6369, -82.0639]","[-99.0642, -106.523, -108.01, -119.813, -127.853]","[3.96532e-07, 4.05418e-07, 4.54627e-07, 4.62398e-07, 4.05482e-07]","[46.2577, 46.2577, 34.8996, 34.8996, 44.6462]","[48.9779, 132.445, 55.0768, 126.279, 130.666]","[-133.742, -133.742, -144.342, -144.342, -133.37]","[131.022, 132.445, 124.923, 126.279, 132.84]",128.728,79.8262,2
130,5,"[148.375, -100.607, 58.7134, 2.17473, 168.731]","[-132.232, -137.493, -141.268, -141.451, -144.071]","[3.5847e-07, 4.49702e-07, 3.81984e-07, 3.68275e-07, 3.63741e-07]","[106.507, 25.2391, 139.001, 106.507, 81.3009]","[43.4444, 47.3429, 59.5957, 137.984, 36.9612]","[-56.6101, -38.0919, -55.3797, -56.6101, -55.9499]","[136.556, 124.339, 136.562, 137.984, 134.183]",224.728,79.8262,2
131,5,"[111.399, -84.2932, 14.3476, 177.938, -167.713]","[-105.944, -109.888, -123.272, -127.333, -131.708]","[4.14906e-07, 4.23926e-07, 4.32249e-07, 4.1494e-07, 4.23926e-07]","[40.4847, -3.09645, -3.09645, 39.2866, -3.22819]","[51.1499, 52.1253, 129.271, 54.7476, 52.1252]","[-42.2475, -47.014, -47.014, -42.4781, -46.9991]","[128.85, 127.875, 129.271, 129.445, 127.875]",240.728,79.8262,2
147,5,"[113.107, 2.19875, 84.9582, -126.087, -20.623]","[-98.4656, -107.794, -114.028, -125.405, -135.63]","[3.70149e-07, 3.74035e-07, 3.79652e-07, 3.83442e-07, 3.73246e-07]","[38.1955, 143.421, 38.1955, 143.421, 29.2388]","[45.3211, 45.9068, 136.111, 135.526, 62.1245]","[-141.805, -142.7, -141.805, -142.7, -139.881]","[134.679, 134.093, 136.111, 135.526, 137.331]",128.728,95.8262,2
153,5,"[96.1883, -18.9635, 147.248, 93.9403, 85.1374]","[-97.395, -101.373, -110.628, -111.489, -121.137]","[3.27263e-07, 3.31143e-07, 3.37974e-07, 3.41733e-07, 3.27452e-07]","[124.886, 52.6459, 124.886, 52.6459, 131.773]","[37.3187, 38.1907, 144.053, 143.193, 37.3622]","[-55.1136, -52.6459, -55.1136, -52.6459, -56.6101]","[142.681, 141.809, 144.053, 143.193, 142.638]",224.728,95.8262,2
169,5,"[-54.6837, -97.6013, 53.2283, 100.23, 168.747]","[-98.7839, -107.753, -108.659, -114.324, -138.142]","[3.83953e-07, 3.93123e-07, 4.04187e-07, 3.95286e-07, 3.9294e-07]","[22.7937, 22.7937, -28.3135, -29.5401, 54.5821]","[47.3238, 134.106, 132.605, 49.6153, 48.5206]","[-157.206, -157.206, -150.923, -151.088, -165.64]","[132.676, 134.106, 132.605, 131.286, 131.479]",112.728,111.826,2
170,5,"[154.39, -69.0988, -101.355, 56.0269, 6.65816]","[-97.9784, -104.63, -124.371, -139.962, -142.045]","[3.49976e-07, 3.60012e-07, 4.36148e-07, 3.70234e-07, 4.44242e-07]","[27.8652, 27.8652, 102.32, -101.924, 102.32]","[41.9557, 139.465, 53.3637, 45.334, 128.018]","[-152.135, -152.135, 178.561, -148.968, 178.561]","[138.044, 139.465, 126.636, 134.666, 128.018]",128.728,111.826,2
171,5,"[78.9271, 12.3034, 55.1926, -60.3865, 146.615]","[-97.2357, -109.207, -134.722, -136.014, -140.958]","[3.21321e-07, 3.32224e-07, 4.53595e-07, 3.44807e-07, 3.82775e-07]","[35.4745, 35.4745, 124.289, -56.0101, -34.0012]","[35.9059, 145.444, 54.9857, 52.7604, 47.161]","[-144.525, -144.525, 178.561, -134.765, -112.864]","[144.094, 145.444, 125.014, 140.801, 132.839]",144.728,111.826,2
172,5,"[-123.855, -153.935, 74.3381, 47.1898, -107.4]","[-96.6249, -103.863, -134.045, -137.042, -137.296]","[2.99519e-07, 3.11187e-07, 3.24148e-07, 4.47408e-07, 3.23532e-07]","[47.5388, 47.5388, -43.1408, 156.986, -47.3806]","[29.6643, 151.552, 36.5904, 54.4287, 36.4432]","[-132.461, -132.461, -117.383, -165.64, -118.949]","[150.336, 151.552, 143.41, 125.571, 143.557]",160.728,111.826,2
173,5,"[167.474, 30.9657, 87.5292, -130.917, 165.376]","[-96.2278, -103.574, -117.795, -120.192, -125.262]","[2.86141e-07, 2.98332e-07, 3.09227e-07, 3.20541e-07, 4.89219e-07]","[66.8822, 66.8822, -74.2419, -74.2419, 163.5]","[24.5545, 156.511, 32.684, 148.604, 57.8594]","[-113.118, -113.118, -106.325, -106.325, -165.64]","[155.446, 156.511, 147.316, 148.604, 122.141]",176.728,111.826,2
