Receive ID,Data Size,Phase Values (deg),Received Power (dBm),time of arrival (sec),doa_phi(),doa_theta(deg),dod_phi(deg),dod_theta(deg),rx_x,rx_y,rx_z
147,5,"[58.4527, -147.464, 20.9615, -102.261, 117.383]","[-99.564, -106.324, -111.29, -118.269, -137.61]","[4.19991e-07, 4.23432e-07, 4.2839e-07, 4.31764e-07, 4.28225e-07]","[51.0938, 130.536, 51.0938, 130.536, 11.6391]","[51.7065, 52.0732, 129.695, 129.324, 52.5713]","[-128.906, -129.815, -128.906, -129.815, -123.933]","[128.293, 127.927, 129.695, 129.324, 127.429]",128.728,95.8262,2
153,5,"[164.549, 93.2896, -87.4872, -11.6272, -11.7273]","[-98.7529, -100.9, -108.126, -109.524, -129.494]","[3.82586e-07, 3.85905e-07, 3.91787e-07, 3.95029e-07, 3.86601e-07]","[113.832, 64.1912, 113.832, 64.1912, 78.172]","[47.1347, 47.5904, 134.296, 133.839, 47.6846]","[-66.1684, -64.1912, -66.1684, -64.1912, -62.6496]","[132.865, 132.41, 134.296, 133.839, 132.315]",224.728,95.8262,2
169,5,"[87.2718, 112.883, 106.8, 105.848, -40.516]","[-99.5743, -111.497, -129.46, -131.627, -133.323]","[4.20487e-07, 4.28876e-07, 4.38447e-07, 4.46499e-07, 4.3911e-07]","[37.9545, 37.9545, -41.7284, -41.7284, -33.8866]","[51.7598, 129.641, 53.5867, 127.792, 46.1641]","[-142.046, -142.046, -137.508, -137.508, -136.748]","[128.24, 129.641, 126.413, 127.792, 125.575]",112.728,111.826,2
170,5,"[-114.646, -14.8381, 173.83, -20.2834, -129.141]","[-98.9128, -106.776, -139.396, -139.986, -145.879]","[3.89684e-07, 3.98722e-07, 4.15716e-07, 4.49247e-07, 4.51814e-07]","[44.4551, 44.4551, 107.258, 102.32, -48.473]","[48.096, 133.332, 51.2398, 54.5962, 127.271]","[-135.545, -135.545, -145.95, -159.257, -123.933]","[131.904, 133.332, 128.76, 125.404, 127.271]",128.728,111.826,2
171,5,"[160.424, -105.732, 37.9819, -29.821, 100.795]","[-98.3233, -111.445, -111.948, -123.033, -123.806]","[3.64142e-07, 3.73798e-07, 4.0569e-07, 3.96856e-07, 4.41393e-07]","[52.8973, 52.8973, -59.1421, -60.3337, 143.112]","[44.3787, 137.052, 132.41, 51.4589, 53.8683]","[-127.103, -127.103, -120.858, -120.996, -145.95]","[135.621, 137.052, 132.41, 131.258, 126.132]",144.728,111.826,2
172,5,"[170.151, 109.653, 48.2764, 21.2268, 45.3816]","[-97.8546, -104.039, -115.888, -118.485, -127.281]","[3.45029e-07, 3.55205e-07, 3.88626e-07, 5.30989e-07, 3.79395e-07]","[63.7321, 63.7321, -68.701, -127.945, -69.6113]","[41.0336, 140.38, 134.753, 60.6495, 49.3262]","[-116.268, -116.268, -111.299, -159.257, -111.405]","[138.966, 140.38, 134.753, 119.35, 133.615]",160.728,111.826,2
173,5,"[-61.7914, 152.463, -165.347, -65.7962, -2.05385]","[-97.5579, -106.062, -107.542, -108.394, -115.987]","[3.33454e-07, 3.43973e-07, 3.66714e-07, 5.32377e-07, 6.44523e-07]","[77.0093, 77.0093, -80.0601, 153.87, -6.39141]","[38.6927, 142.697, 44.788, 60.7336, 66.1835]","[-102.991, -102.991, -100.507, -154.22, -46.6031]","[141.307, 142.697, 135.212, 119.266, 113.817]",176.728,111.826,2
174,5,"[82.062, 5.11564, -29.3441, 141.869, -18.2389]","[-97.4729, -108.111, -108.988, -116.335, -118.774]","[3.3021e-07, 3.40828e-07, 3.65748e-07, 3.65748e-07, 5.96413e-07]","[91.8408, 91.8408, -91.4557, -91.7368, -7.45148]","[37.9844, 143.397, 44.6352, 44.6352, 64.1267]","[-88.1592, -88.1592, -88.5443, -88.5772, -46.2562]","[142.016, 143.397, 135.365, 135.365, 115.873]",192.728,111.826,2
175,5,"[115.176, 23.636, -66.817, 100.422, 70.8667]","[-97.6121, -105.202, -107.465, -121.659, -129.056]","[3.35538e-07, 3.45993e-07, 3.7131e-07, 3.80785e-07, 5.49397e-07]","[106.435, 106.435, -102.912, -102.912, -9.87407]","[39.1348, 142.26, 45.498, 135.935, 61.7235]","[-73.5653, -73.5653, -76.9045, -76.9045, -46.2562]","[140.865, 142.26, 134.502, 135.935, 118.276]",208.728,111.826,2
176,5,"[60.0817, 26.1429, 28.4696, 102.708, 66.6268]","[-97.9552, -104.463, -134.845, -135.249, -135.763]","[3.49046e-07, 3.59108e-07, 5.04016e-07, 3.84613e-07, 5.04265e-07]","[119.153, 119.153, -14.5805, -129.572, -15.6205]","[41.7856, 139.634, 58.9102, 47.4144, 58.9273]","[-60.8468, -60.8468, -46.2562, -68.5212, -46.6031]","[138.214, 139.634, 121.09, 132.586, 121.073]",224.728,111.826,2
