Receive ID,Data Size,Phase Values (deg),Received Power (dBm),time of arrival (sec),doa_phi(),doa_theta(deg),dod_phi(deg),dod_theta(deg),rx_x,rx_y,rx_z
147,5,"[139.927, -78.2379, -9.6582, -98.9933, -126.674]","[-99.3057, -107.676, -110.503, -116.408, -137.067]","[4.07701e-07, 4.16348e-07, 4.11242e-07, 4.19816e-07, 4.1493e-07]","[48.7333, 48.7333, 132.908, 132.908, 11.6391]","[50.3296, 131.084, 50.7375, 130.673, 51.1526]","[-131.267, -131.267, -132.187, -132.187, -126.264]","[129.67, 131.084, 129.262, 130.673, 128.847]",128.728,95.8262,2
153,5,"[169.784, 29.2124, -24.3298, 13.0637, 97.8966]","[-98.4406, -100.771, -114.106, -115.418, -129.09]","[3.69085e-07, 3.72526e-07, 3.78615e-07, 3.8197e-07, 3.70227e-07]","[115.664, 62.2529, 115.664, 62.2529, 131.773]","[45.1575, 45.6814, 136.275, 135.751, 45.3331]","[-64.3357, -62.2529, -64.3357, -62.2529, -66.817]","[134.843, 134.319, 136.275, 135.751, 134.667]",224.728,95.8262,2
169,5,"[-39.8775, 102.196, 173.128, -65.7251, -169.223]","[-99.3736, -105.712, -108.352, -119.909, -130.655]","[4.10895e-07, 4.27561e-07, 4.19476e-07, 4.35814e-07, 4.27964e-07]","[35.0265, -39.1628, 35.0265, -39.1628, -32.8439]","[50.698, 52.5031, 130.713, 128.889, 46.9433]","[-144.973, -140.073, -144.973, -140.073, -139.414]","[129.302, 127.497, 130.713, 128.889, 126.841]",112.728,111.826,2
170,5,"[85.3205, 49.1118, 16.7423, 16.6408, -81.7802]","[-98.6784, -109.301, -140.073, -140.546, -143.795]","[3.7932e-07, 3.88599e-07, 4.07184e-07, 4.43907e-07, 4.38483e-07]","[41.402, 41.402, 107.258, 102.32, -48.473]","[46.6752, 134.757, 50.2692, 54.1048, 128.608]","[-138.598, -138.598, -149.737, -163.832, -126.264]","[133.325, 134.757, 129.731, 125.895, 128.608]",128.728,111.826,2
171,5,"[137.009, 107.815, -59.8623, -45.917, -14.9008]","[-98.054, -105.381, -107.46, -114.547, -118.301]","[3.53034e-07, 3.62986e-07, 4.61508e-07, 3.92925e-07, 4.69164e-07]","[49.9143, 49.9143, 124.289, -56.9987, 124.289]","[42.5048, 138.919, 55.6711, 134.134, 125.675]","[-130.086, -130.086, -163.832, -123.001, -163.832]","[137.495, 138.919, 124.329, 134.134, 125.675]",144.728,111.826,2
172,5,"[-89.2566, 92.5536, 29.1817, 158.292, -101.92]","[-97.5537, -106.143, -119.306, -119.687, -122.466]","[3.33292e-07, 3.43815e-07, 4.70012e-07, 3.75286e-07, 4.77532e-07]","[61.2284, 61.2284, 152.206, -67.0373, 152.206]","[38.6578, 142.732, 56.3761, 136.809, 124.958]","[-118.772, -118.772, -152.206, -112.963, -152.206]","[141.342, 142.732, 123.624, 136.809, 124.958]",160.728,111.826,2
173,5,"[-143.857, 86.7203, -14.54, 145.082, 18.0286]","[-97.2352, -106.051, -107.244, -109.185, -113.653]","[3.213e-07, 3.52735e-07, 5.24868e-07, 3.32204e-07, 3.62695e-07]","[75.6103, -79.1638, 156.203, 75.6103, -79.1638]","[35.9007, 42.4518, 60.2731, 145.449, 138.972]","[-104.39, -101.403, -156.553, -104.39, -101.403]","[144.099, 137.548, 119.727, 145.449, 138.972]",176.728,111.826,2
174,5,"[42.0031, -29.2768, 87.4743, -96.3004, 168.965]","[-97.1437, -106.034, -106.699, -113.434, -113.704]","[3.17938e-07, 3.28953e-07, 3.51567e-07, 3.51567e-07, 3.61559e-07]","[92.0606, 92.0606, -91.592, -91.7368, -91.592]","[35.0551, 146.28, 42.2432, 42.2433, 139.179]","[-87.9394, -87.9394, -88.408, -88.4267, -88.408]","[144.945, 146.28, 137.757, 137.757, 139.179]",192.728,111.826,2
175,5,"[164.009, 54.6894, -179.667, 75.026, 0.458192]","[-97.2938, -105.814, -111.235, -114.927, -115.188]","[3.23475e-07, 3.57295e-07, 3.34307e-07, 3.67132e-07, 5.36635e-07]","[108.187, -104.014, 108.187, -104.014, -9.87407]","[36.4294, 43.2452, 144.929, 138.182, 60.988]","[-71.8134, -75.8018, -71.8134, -75.8018, -43.5752]","[143.571, 136.755, 144.929, 138.182, 119.012]",208.728,111.826,2
176,5,"[178.501, 107.805, 76.8333, -101.886, -128.659]","[-97.6621, -104.65, -131.301, -133.402, -134.005]","[3.37472e-07, 3.4787e-07, 4.9162e-07, 4.9179e-07, 3.70429e-07]","[121.843, 121.843, -14.5805, -15.6205, -131.37]","[39.5368, 141.863, 58.035, 58.0474, 45.3639]","[-58.1569, -58.1569, -43.5752, -43.9443, -66.817]","[140.463, 141.863, 121.965, 121.953, 134.636]",224.728,111.826,2
