Receive ID,Data Size,Phase Values (deg),Received Power (dBm),time of arrival (sec),doa_phi(),doa_theta(deg),dod_phi(deg),dod_theta(deg),rx_x,rx_y,rx_z
193,5,"[-33.8863, 112.037, 71.0068, 20.8051, 18.1746]","[-99.1942, -106.912, -108.129, -123.467, -138.072]","[4.02505e-07, 4.11262e-07, 4.19803e-07, 4.28206e-07, 4.21325e-07]","[47.5678, 47.5678, 136.528, 136.528, 124.042]","[49.7135, 131.705, 51.6862, 129.715, 40.4744]","[-132.432, -132.432, -136.528, -136.528, -137.698]","[130.287, 131.705, 128.314, 129.715, 126.95]",128.728,127.826,2
194,5,"[148.629, -95.6753, -122.583, 68.9783, -88.3832]","[-98.6437, -104.528, -109.997, -114.77, -114.995]","[3.7781e-07, 4.64485e-07, 3.87126e-07, 4.64539e-07, 4.72093e-07]","[55.8403, 143.649, 55.8403, 141.999, 143.649]","[46.4589, 55.9215, 134.973, 55.926, 125.42]","[-124.16, -143.999, -124.16, -144.666, -143.999]","[133.541, 124.078, 134.973, 124.074, 125.42]",144.728,127.826,2
195,5,"[149.983, -29.5208, -31.6332, 152.477, 61.4983]","[-118.748, -122.98, -126.907, -131.783, -133.267]","[4.89161e-07, 5.07566e-07, 4.77251e-07, 5.15275e-07, 4.98041e-07]","[147.192, 76.4186, -72.879, 171.506, 74.2065]","[57.8551, 122.62, 56.9521, 59.6622, 58.4948]","[-146.628, -103.581, -103.852, -138.329, -102.927]","[122.145, 122.62, 123.048, 120.338, 121.505]",160.728,127.826,2
196,5,"[-47.6533, 138.226, 49.9094, 1.70299, -77.8015]","[-97.9363, -104.346, -105.996, -111.277, -116.877]","[3.48285e-07, 3.58369e-07, 4.66576e-07, 3.483e-07, 4.74151e-07]","[78.2827, 78.2827, -83.4794, 81.2302, -83.4794]","[41.6453, 139.773, 56.0951, 41.6479, 125.244]","[-101.717, -101.717, -97.0879, -101.927, -97.0879]","[138.355, 139.773, 123.905, 138.352, 125.244]",176.728,127.826,2
197,5,"[55.3258, 19.0302, 35.5593, 174.601, 44.6399]","[-97.8579, -104.046, -113.119, -114.96, -125.648]","[3.45158e-07, 3.5533e-07, 6.61625e-07, 4.66554e-07, 4.74129e-07]","[91.6141, 91.6141, -26.3292, -90.5818, -90.5818]","[41.0582, 140.356, 66.8356, 56.0932, 125.246]","[-88.3859, -88.3859, -57.6452, -88.9601, -88.9601]","[138.942, 140.356, 113.164, 123.907, 125.246]",192.728,127.826,2
198,5,"[72.9546, -164.416, -134.035, 172.715, -151.058]","[-106.166, -111.943, -112.145, -116.506, -117.954]","[4.86793e-07, 5.00243e-07, 6.18374e-07, 4.94058e-07, 3.50296e-07]","[-98.3547, 98.7413, -28.7486, -98.3547, 112.755]","[57.6798, 58.6493, 65.1095, 123.628, 42.0137]","[-81.6453, -81.9705, -55.2258, -81.6453, -75.529]","[122.32, 121.351, 114.89, 123.628, 137.986]",208.728,127.826,2
199,5,"[9.02023, -47.9378, 39.4671, 112.656, -52.1153]","[-111.106, -113.576, -122.65, -124.592, -129.94]","[4.93558e-07, 4.80037e-07, 5.00724e-07, 4.87403e-07, 5.24222e-07]","[106.352, -106.433, 106.352, -106.433, 129.482]","[58.1753, 57.1682, 123.122, 124.15, 60.2328]","[-74.3598, -73.744, -74.3598, -73.744, -85.0883]","[121.825, 122.832, 123.122, 124.15, 119.767]",224.728,127.826,2
200,5,"[-126.593, 15.637, 174.287, 30.6786, 159.965]","[-98.7666, -108.005, -117.021, -120.767, -123.28]","[3.83186e-07, 4.93476e-07, 4.93477e-07, 5.00644e-07, 3.83385e-07]","[126.313, -110.363, -110.429, -110.363, 130.218]","[47.218, 58.1694, 57.9123, 123.129, 50.6344]","[-53.6868, -65.8183, -65.8348, -65.8183, -54.3827]","[132.782, 121.831, 121.766, 123.129, 133.341]",240.728,127.826,2
201,5,"[-17.8865, -158.39, -29.4449, 8.2564, -11.8452]","[-99.3382, -104.19, -107.978, -121.593, -131.029]","[4.09225e-07, 4.39777e-07, 4.1784e-07, 4.47805e-07, 4.17916e-07]","[134.143, 39.7375, 134.143, 39.7375, 133.248]","[50.5063, 53.7145, 130.906, 127.662, 129.832]","[-45.8574, -39.7375, -45.8574, -39.7375, -45.1803]","[129.494, 126.286, 130.906, 127.662, 131.692]",256.728,127.826,2
216,5,"[27.4458, -166.352, 44.8174, 152.277, 25.1727]","[-98.58, -104.669, -111.521, -113.287, -134.364]","[3.75051e-07, 3.93557e-07, 3.84433e-07, 4.02508e-07, 3.77406e-07]","[39.9024, 144.07, 39.9024, 144.07, 35.1303]","[46.057, 48.6, 135.375, 132.825, 53.3794]","[-140.098, -144.07, -140.098, -144.07, -136.558]","[133.943, 131.4, 135.375, 132.825, 138.319]",128.728,143.826,2
217,5,"[-175.865, 34.1649, 111.2, -66.9884, 70.4751]","[-97.9395, -104.365, -118.458, -124.809, -125.24]","[3.48416e-07, 3.58496e-07, 3.58508e-07, 3.48753e-07, 3.48788e-07]","[48.4046, 48.4046, 49.0554, 51.7069, 51.2066]","[41.6695, 139.749, 139.116, 45.3607, 44.7602]","[-131.595, -131.595, -131.85, -132.821, -133.218]","[138.331, 139.749, 139.991, 139.556, 139.936]",144.728,143.826,2
220,5,"[83.1086, -72.1717, 84.0478, -87.5925, 111.227]","[-96.9996, -103.222, -119.045, -128.305, -131.084]","[3.12709e-07, 3.23902e-07, 5.11729e-07, 3.33479e-07, 3.43725e-07]","[92.1111, 92.1111, -90.3494, 51.7782, 53.3996]","[33.6655, 147.643, 59.4295, 41.1154, 141.354]","[-87.8889, -87.8889, -88.9601, -59.9762, -58.9408]","[146.334, 147.643, 120.57, 142.975, 143.803]",192.728,143.826,2
