Receive ID,Data Size,Phase Values (deg),Received Power (dBm),time of arrival (sec),doa_phi(),doa_theta(deg),dod_phi(deg),dod_theta(deg),rx_x,rx_y,rx_z
169,5,"[-163.729, -19.4111, -124.323, 109.381, -20.0152]","[-100.069, -104.628, -114.941, -115.654, -130.946]","[4.45081e-07, 4.65646e-07, 4.53015e-07, 4.73235e-07, 4.46191e-07]","[43.8224, -46.8561, 43.8224, -46.8561, 54.5821]","[54.2142, 56.018, 127.155, 125.322, 54.3168]","[-136.178, -132.38, -136.178, -132.38, -138.477]","[125.786, 123.982, 127.155, 125.322, 125.683]",112.728,111.826,2
170,5,"[123.085, -57.1822, -64.1764, -43.6639, -63.9023]","[-99.4829, -109.833, -138.691, -141.789, -145.452]","[4.16092e-07, 4.24568e-07, 4.38589e-07, 4.4264e-07, 4.60916e-07]","[50.3607, 50.3607, 107.258, -101.924, 97.6692]","[51.2814, 130.124, 53.6004, 53.9861, 55.6208]","[-129.639, -129.639, -138.477, -128.257, -150.108]","[128.719, 130.124, 126.4, 126.014, 124.379]",128.728,111.826,2
171,5,"[107.703, -125.364, -132.179, -146.693, -83.0141]","[-98.9701, -104.171, -106.583, -108.005, -115.004]","[3.92261e-07, 4.64827e-07, 4.01241e-07, 4.2871e-07, 4.72429e-07]","[58.4135, 139.524, 58.4135, -63.1771, 139.524]","[48.4329, 55.95, 132.993, 52.6209, 125.391]","[-121.587, -139.524, -121.587, -116.823, -139.524]","[131.567, 124.05, 132.993, 127.379, 125.391]",144.728,111.826,2
172,5,"[-117.396, -147.193, -174.817, 147.702, -79.1589]","[-98.5689, -108.203, -111.81, -111.939, -113.149]","[3.74574e-07, 5.12821e-07, 3.83967e-07, 5.29262e-07, 5.14397e-07]","[68.1328, 145.32, 68.1328, -138.724, 138.876]","[45.9865, 59.5016, 135.446, 60.5444, 59.6049]","[-111.867, -145.67, -111.867, -138.724, -149.868]","[134.013, 120.498, 135.446, 119.456, 120.395]",160.728,111.826,2
173,5,"[116.154, 174.401, -63.1388, 151.752, -117.07]","[-98.3182, -111.28, -116.879, -122.631, -127.927]","[3.63927e-07, 3.73588e-07, 5.51937e-07, 4.00627e-07, 4.09424e-07]","[79.3646, 79.3646, 148.898, -81.6525, -81.6525]","[44.344, 137.087, 61.8653, 49.4854, 131.935]","[-100.635, -100.635, -149.249, -98.9148, -98.9148]","[135.656, 137.087, 118.135, 130.515, 131.935]",176.728,111.826,2
174,5,"[7.6294, -75.4209, 171.61, -24.5564, -39.7478]","[-98.2466, -109.111, -116.524, -124.792, -133.425]","[3.60943e-07, 3.70683e-07, 4.00068e-07, 4.00069e-07, 5.79754e-07]","[91.4759, 91.4759, -91.2147, -91.7368, 151.593]","[43.8574, 137.572, 49.4169, 49.417, 65.0176]","[-88.5241, -88.5241, -88.7853, -88.836, -150.653]","[136.143, 137.572, 130.583, 130.583, 118.374]",192.728,111.826,2
175,5,"[141.711, 148.356, -53.0864, -35.4187, -117.837]","[-98.3631, -112.689, -121.535, -129.182, -136.571]","[3.65811e-07, 3.75425e-07, 4.0527e-07, 4.13968e-07, 4.06013e-07]","[103.458, 103.458, -100.937, -100.937, -103.03]","[44.6453, 136.786, 50.044, 131.372, 40.147]","[-76.5415, -76.5415, -78.8796, -78.8796, -79.088]","[135.355, 136.786, 129.956, 131.372, 128.768]",208.728,111.826,2
176,5,"[-37.8489, 116.051, 107.064, -67.1055, -98.4368]","[-98.6533, -109.794, -133.498, -136.517, -137.611]","[3.78228e-07, 3.87533e-07, 5.32168e-07, 5.32361e-07, 5.34958e-07]","[114.364, 114.364, -24.327, -21.576, -15.6205]","[46.519, 134.913, 57.4121, 60.7326, 60.8883]","[-65.6361, -65.6361, -55.1157, -54.554, -51.8012]","[133.481, 134.913, 118.763, 119.267, 119.112]",224.728,111.826,2
177,5,"[88.7417, 40.5595, -114.368, 71.8189, -77.003]","[-99.0851, -106.322, -106.55, -114.834, -117.723]","[3.97486e-07, 4.31183e-07, 4.06351e-07, 4.93627e-07, 4.86366e-07]","[123.68, -118.988, 123.68, 37.4802, 37.1975]","[49.0974, 52.8715, 132.325, 123.662, 58.237]","[-56.3202, -61.0118, -56.3202, -37.4802, -37.5712]","[130.903, 127.129, 132.325, 123.662, 122.541]",240.728,111.826,2
178,5,"[95.041, 34.1572, -139.599, 148.76, 44.8731]","[-99.6189, -112.464, -127.036, -130.182, -137.518]","[4.22652e-07, 4.30999e-07, 4.57426e-07, 4.52668e-07, 4.62231e-07]","[131.346, 131.346, -121.223, 50.4386, -129.43]","[51.9908, 129.407, 55.3212, 54.9034, 126.294]","[-48.6536, -48.6536, -53.7695, -41.5261, -54.1124]","[128.009, 129.407, 124.679, 125.097, 126.294]",256.728,111.826,2
