Receive ID,Data Size,Phase Values (deg),Received Power (dBm),time of arrival (sec),doa_phi(),doa_theta(deg),dod_phi(deg),dod_theta(deg),rx_x,rx_y,rx_z
124,5,"[18.544, 104.856, -85.2347, 113.977, -148.743]","[-99.0195, -106.514, -108.212, -120.357, -127.398]","[3.94497e-07, 4.03427e-07, 4.52842e-07, 4.60643e-07, 4.03491e-07]","[45.7575, 45.7575, 34.4291, 34.4291, 44.1451]","[48.7202, 132.704, 54.9189, 126.44, 130.909]","[-134.243, -134.243, -144.812, -144.812, -133.869]","[131.28, 132.704, 125.081, 126.44, 133.103]",128.728,79.8262,2
130,5,"[-60.5954, -75.6672, 140.29, 26.999, -61.4505]","[-132.443, -137.158, -140.709, -141.393, -143.231]","[3.56336e-07, 4.47809e-07, 3.66197e-07, 3.79877e-07, 3.78238e-07]","[106.507, 25.0861, 106.507, 139.497, 135.705]","[43.0808, 47.5052, 138.346, 59.4087, 53.5593]","[-55.8692, -37.5925, -55.8692, -54.9079, -53.6533]","[136.919, 124.548, 138.346, 136.899, 135.811]",224.728,79.8262,2
131,5,"[128.534, 176.636, 5.88608, 144.107, 90.6209]","[-105.706, -107.54, -119.972, -127.329, -131.924]","[4.12958e-07, 4.21777e-07, 4.30141e-07, 4.13e-07, 4.21776e-07]","[39.9877, -3.09645, -3.09645, 38.7941, -3.22819]","[50.9319, 51.8978, 129.501, 54.5577, 51.8977]","[-41.7505, -46.5171, -46.5171, -41.9788, -46.5013]","[129.068, 128.102, 129.501, 129.667, 128.102]",240.728,79.8262,2
147,5,"[-75.851, 64.1798, 0.310761, 42.2665, 77.0408]","[-98.4271, -107.476, -114.027, -125.686, -135.617]","[3.68512e-07, 3.72414e-07, 3.78056e-07, 3.81861e-07, 3.7162e-07]","[37.5491, 144.061, 37.5491, 144.061, 28.6709]","[45.0688, 45.6646, 136.363, 135.768, 61.9883]","[-142.451, -143.341, -142.451, -143.341, -140.537]","[134.931, 134.335, 136.363, 135.768, 137.603]",128.728,95.8262,2
153,5,"[-179.065, -77.0621, -135.227, 28.5796, 30.912]","[-97.3458, -101.47, -111.718, -113.057, -120.262]","[3.25417e-07, 3.29318e-07, 3.36187e-07, 3.39965e-07, 3.25572e-07]","[125.517, 51.9981, 125.517, 51.9981, 131.773]","[36.8902, 37.7853, 144.475, 143.593, 36.9265]","[-54.4828, -51.9981, -54.4828, -51.9981, -55.8692]","[143.11, 142.215, 144.475, 143.593, 143.073]",224.728,95.8262,2
169,5,"[-51.35, 104.305, 36.2898, -157.813, -89.3993]","[-98.76, -108.035, -108.658, -116.45, -136.902]","[3.82897e-07, 3.92091e-07, 4.02856e-07, 3.93936e-07, 4.03007e-07]","[22.0889, 22.0889, -27.679, -29.3952, -23.5011]","[47.1779, 134.253, 132.779, 49.7399, 134.921]","[-157.911, -157.911, -151.557, -151.791, -150.838]","[132.822, 134.253, 132.779, 131.499, 132.379]",112.728,111.826,2
170,5,"[97.3192, 21.4579, 7.71163, 126.601, -119.119]","[-97.9496, -104.426, -122.021, -139.691, -139.744]","[3.48818e-07, 3.58887e-07, 4.36243e-07, 4.44335e-07, 3.68872e-07]","[27.048, 27.048, 102.32, 102.32, -101.924]","[41.7437, 139.675, 53.3729, 128.008, 45.1245]","[-152.952, -152.952, 177.635, 177.635, -149.723]","[138.256, 139.675, 126.627, 128.008, 134.875]",128.728,111.826,2
171,5,"[-34.0168, -7.1242, 150.658, -53.636, -52.8894]","[-97.2016, -107.914, -135.297, -136.238, -140.632]","[3.20061e-07, 3.31005e-07, 4.53691e-07, 3.4314e-07, 3.80251e-07]","[34.5363, 34.5363, 124.289, -55.8507, -34.0012]","[35.5931, 145.752, 54.9942, 52.8123, 46.8073]","[-145.464, -145.464, 177.635, -135.539, -113.335]","[144.407, 145.752, 125.006, 141.202, 133.193]",144.728,111.826,2
172,5,"[-7.76764, -10.3393, -118.712, -172.104, 149.485]","[-96.5856, -104.733, -133.765, -135.066, -137.517]","[2.98168e-07, 3.09887e-07, 3.22178e-07, 3.21598e-07, 4.46669e-07]","[46.5437, 46.5437, -43.1408, -47.3806, 156.986]","[29.2052, 151.999, 36.1159, 35.9739, 54.3609]","[-133.456, -133.456, -118.047, -119.629, -166.547]","[150.795, 151.999, 143.884, 144.026, 125.639]",160.728,111.826,2
173,5,"[-33.5011, 170.005, -11.6713, 39.5348, 102.637]","[-96.1847, -102.583, -115.608, -119.269, -128.127]","[2.84727e-07, 2.96977e-07, 3.07299e-07, 3.18682e-07, 4.88451e-07]","[66.1547, 66.1547, -73.8745, -73.8745, 163.5]","[23.9243, 157.12, 32.1194, 149.157, 57.8027]","[-113.845, -113.845, -106.693, -106.693, -166.547]","[156.076, 157.12, 147.881, 149.157, 122.197]",176.728,111.826,2
174,5,"[-68.8913, -179.317, -106.354, -160.82, 108.027]","[-96.0688, -101.125, -109.207, -116.318, -116.651]","[2.80955e-07, 2.93362e-07, 3.46961e-07, 3.57082e-07, 3.47005e-07]","[93.6346, 93.6346, -32.9829, -32.9829, -30.924]","[22.1264, 158.855, 41.3987, 140.018, 41.407]","[-86.3654, -86.3654, -63.4932, -63.4932, -64.427]","[157.874, 158.855, 138.601, 140.018, 138.593]",192.728,111.826,2
175,5,"[-63.9747, 89.597, -126.438, 136.655, -10.7329]","[-96.2608, -104.562, -118.233, -124.702, -125.772]","[2.87232e-07, 2.99379e-07, 3.21669e-07, 3.22835e-07, 3.2555e-07]","[119.642, 119.642, -108.537, -110.378, -77.6539]","[25.0267, 156.054, 35.9914, 147.941, 36.9215]","[-60.3584, -60.3584, -71.4633, -69.4364, -64.427]","[154.973, 156.054, 144.009, 147.944, 143.078]",208.728,111.826,2
176,5,"[65.0646, 145.371, -24.8, 101.564, 113.536]","[-96.7235, -102.598, -128.614, -133.317, -136.707]","[3.02934e-07, 3.14475e-07, 3.25742e-07, 4.52397e-07, 4.52592e-07]","[137.058, 137.058, -131.37, -15.6205, -14.5805]","[30.7794, 150.465, 36.9664, 54.8793, 54.8967]","[-42.9417, -42.9417, -55.8692, -31.574, -31.119]","[149.221, 150.465, 143.034, 125.121, 125.103]",224.728,111.826,2
177,5,"[106.37, -176.825, 74.1369, 46.2911, 48.4878]","[-97.3802, -102.848, -108.723, -111.061, -112.546]","[3.26706e-07, 3.46552e-07, 3.56571e-07, 3.37435e-07, 4.09585e-07]","[147.671, -133.609, -136.871, 147.671, -48.0006]","[37.1904, 41.3221, 140.116, 144.18, 50.5479]","[-32.3289, -42.5729, -43.129, -32.3289, -35.9738]","[142.81, 138.678, 140.116, 144.18, 129.452]",240.728,111.826,2
178,5,"[43.2588, -12.7744, 31.1008, -44.0634, 168.138]","[-98.1496, -106.856, -117.991, -135.181, -136.49]","[3.56938e-07, 3.66784e-07, 4.26479e-07, 3.78919e-07, 3.84602e-07]","[154.383, 154.383, 16.4885, -121.223, -149.28]","[43.1841, 138.243, 52.3915, 46.6179, 135.35]","[-25.6167, -25.6167, -18.5345, -33.1759, -36.4058]","[136.816, 138.243, 127.609, 133.382, 135.35]",256.728,111.826,2
193,5,"[-151.755, -48.8006, 143.889, 113.458, -138.677]","[-97.6376, -104.894, -106.049, -114.905, -123.562]","[3.36523e-07, 3.46949e-07, 3.57003e-07, 3.66847e-07, 3.96348e-07]","[14.1695, 14.1695, 167.66, 167.66, 112.149]","[39.3406, 142.057, 43.1953, 138.232, 48.9547]","[-165.831, -165.831, -167.66, -167.66, 177.635]","[140.659, 142.057, 136.805, 138.232, 131.045]",128.728,127.826,2
194,5,"[-24.7289, -148.101, 126.182, -63.9122, -43.2946]","[-96.8285, -102.226, -121.319, -126.937, -135.96]","[3.06615e-07, 3.18022e-07, 4.04053e-07, 3.95137e-07, 4.08994e-07]","[18.7939, 18.7939, 169.884, 169.884, 165.927]","[31.9153, 149.356, 132.623, 48.8016, 50.4797]","[-161.206, -161.206, -169.884, -169.884, -172.03]","[148.085, 149.356, 132.623, 131.198, 129.52]",144.728,127.826,2
195,5,"[-126.697, 154.191, -156.196, 60.6157, -64.2731]","[-96.1529, -102.028, -113.964, -120.501, -123.61]","[2.83686e-07, 2.95979e-07, 4.50665e-07, 2.96016e-07, 2.84198e-07]","[27.5587, 27.5587, 171.506, 31.117, 42.0882]","[23.4458, 157.582, 54.7243, 156.774, 28.324]","[-152.441, -152.441, -172.03, -153.636, -155.738]","[156.554, 157.582, 125.276, 157.825, 157.281]",160.728,127.826,2
196,5,"[-159.078, 41.5165, 111.461, -111.685, 171.176]","[-95.7077, -105.971, -106.456, -117.179, -124.845]","[2.69525e-07, 2.82434e-07, 4.94786e-07, 5.01935e-07, 4.94855e-07]","[48.2076, 48.2076, 172.677, 172.677, 173.93]","[15.0628, 165.641, 58.2635, 123.032, 58.2684]","[-131.792, -131.792, -173.027, -173.027, -172.03]","[164.937, 165.641, 121.736, 123.032, 121.732]",176.728,127.826,2
197,5,"[124.499, -107.354, -11.7163, 52.4523, 30.8544]","[-95.5782, -107.082, -121.864, -130.737, -131.268]","[2.65536e-07, 2.78631e-07, 3.36249e-07, 3.46682e-07, 3.72877e-07]","[97.3202, 97.3202, -90.5818, -90.5818, -55.7362]","[11.4365, 169.108, 39.2834, 142.113, 45.7342]","[-82.6798, -82.6798, -87.4532, -87.4532, -64.427]","[168.564, 169.108, 140.717, 142.113, 134.266]",192.728,127.826,2
198,5,"[-16.3873, -118.483, -45.6924, -100.141, 147.539]","[-95.7926, -102.92, -105.725, -113.707, -113.894]","[2.72169e-07, 2.84959e-07, 3.54201e-07, 3.64897e-07, 3.6412e-07]","[139.01, 139.01, -104.486, 104.279, -104.486]","[17.009, 163.776, 42.7103, 44.4998, 138.714]","[-40.9897, -40.9897, -75.5143, -76.433, -75.5143]","[162.991, 163.776, 137.29, 135.5, 138.714]",208.728,127.826,2
199,5,"[-163.899, -114.768, 12.0868, -178.808, -48.2398]","[-96.3049, -106.015, -106.219, -109.52, -109.808]","[2.88692e-07, 4.70268e-07, 3.0078e-07, 3.77804e-07, 4.8073e-07]","[155.29, -47.4225, 155.29, 115.169, 49.7226]","[25.6402, 56.3968, 155.46, 46.4579, 57.2214]","[-24.7105, -36.552, -24.7105, -65.543, -34.9636]","[154.36, 123.603, 155.46, 133.542, 122.779]",224.728,127.826,2
200,5,"[68.2756, 101.895, -95.3084, 71.2683, -51.1008]","[-97.0228, -103.525, -121.671, -127.73, -132.508]","[3.13545e-07, 3.24709e-07, 4.20656e-07, 4.29032e-07, 4.42591e-07]","[162.623, 162.623, 9.00418, 9.09236, -57.2109]","[33.8941, 147.419, 52.4871, 129.624, 53.9815]","[-17.3773, -17.3773, -9.12085, -9.09236, -31.574]","[146.106, 147.419, 128.45, 129.624, 126.019]",240.728,127.826,2
201,5,"[78.0023, -0.710034, 107.605, -54.968, -59.7991]","[-97.8522, -104.035, -111.202, -118.447, -140.027]","[3.44932e-07, 3.55111e-07, 3.80725e-07, 3.8997e-07, 4.66497e-07]","[166.662, 166.662, 10.8322, 10.8322, -40.371]","[41.0151, 140.398, 46.8742, 134.557, 56.0885]","[-13.3381, -13.3381, -10.8322, -10.8322, -31.119]","[138.985, 140.398, 133.126, 134.557, 123.912]",256.728,127.826,2
