Receive ID,Data Size,Phase Values (deg),Received Power (dBm),time of arrival (sec),doa_phi(),doa_theta(deg),dod_phi(deg),dod_theta(deg),rx_x,rx_y,rx_z
100,5,"[84.6695, -147.279, -51.2685, -112.39, 28.5477]","[-99.7708, -116.173, -133.964, -150.679, -151.268]","[4.30098e-07, 4.38303e-07, 4.32751e-07, 4.55204e-07, 4.40907e-07]","[40.5576, 40.5576, 55.1885, 31.9817, 55.1885]","[52.762, 128.627, 53.0285, 69.1467, 128.357]","[-139.442, -139.442, -143.755, -123.807, -143.755]","[127.238, 128.627, 126.972, 144.499, 128.357]",112.728,63.8262,2
101,5,"[-102.462, 61.7862, 120.637, -58.5424, -96.2443]","[-99.1415, -106.691, -139.765, -140.803, -144.918]","[4.00071e-07, 4.0888e-07, 4.21892e-07, 4.07197e-07, 4.14813e-07]","[47.1179, 47.1179, 97.0961, 56.9044, 37.2447]","[49.4173, 132.003, 51.9101, 67.651, 63.6664]","[-132.882, -132.882, -143.755, -136.637, -120.316]","[130.583, 132.003, 128.09, 135.611, 141.975]",128.728,63.8262,2
102,5,"[26.6378, 78.8244, -121.274, -21.5484, 20.8213]","[-98.5851, -111.388, -134.229, -134.755, -141.105]","[3.75274e-07, 3.8465e-07, 4.40984e-07, 3.77857e-07, 3.83017e-07]","[55.4376, 55.4376, 133.359, 48.7097, 64.2706]","[46.0897, 135.343, 53.8295, 51.9887, 66.2982]","[-124.562, -124.562, -143.755, -118.676, -128.209]","[133.91, 135.343, 126.17, 137.992, 139.55]",144.728,63.8262,2
103,5,"[-153.892, -84.9234, 124.157, 90.5562, 5.01048]","[-106.064, -115.439, -124.767, -125.684, -130.633]","[4.75547e-07, 4.82981e-07, 3.57085e-07, 3.57201e-07, 4.75824e-07]","[146.481, 146.481, 69.6049, 64.0041, 145.361]","[56.8184, 124.507, 41.6004, 39.7369, 54.3857]","[-145.722, -145.722, -116.32, -113.26, -146.328]","[123.182, 124.507, 135.862, 134.893, 121.802]",160.728,63.8262,2
104,5,"[-63.458, -27.9825, 91.345, 34.232, 138.115]","[-125.37, -135.608, -138.414, -140.109, -143.03]","[3.46059e-07, 3.5733e-07, 5.14737e-07, 3.56881e-07, 3.66359e-07]","[77.2032, 54.9019, 151.235, 76.5143, 56.2869]","[37.5327, 48.7221, 62.4842, 145.819, 133.805]","[-101.33, -92.5654, -148.814, -100.979, -92.6713]","[136.794, 141.102, 122.503, 136.83, 142.228]",176.728,63.8262,2
105,5,"[-79.6724, 114.071, -14.6707, -178.372, -2.29573]","[-97.7924, -104.018, -108.482, -114.612, -118.745]","[3.42568e-07, 3.52815e-07, 3.4258e-07, 3.52827e-07, 3.43187e-07]","[91.7464, 91.7464, 90.6576, 90.6576, 98.4075]","[40.5583, 140.851, 40.5607, 140.849, 40.98]","[-88.2536, -88.2536, -87.744, -87.744, -92.4242]","[139.442, 140.851, 139.439, 140.849, 139.509]",192.728,63.8262,2
106,5,"[-122.434, 63.8834, -140.722, 34.873, -8.29511]","[-108.661, -117.478, -134.745, -138.469, -139.735]","[4.87706e-07, 4.94957e-07, 4.88346e-07, 3.5968e-07, 3.57439e-07]","[31.6313, 31.6313, 32.9797, 127.603, 113.261]","[57.7476, 123.559, 54.5621, 51.3805, 24.7604]","[-33.3941, -33.3941, -32.4383, -92.2054, -77.4761]","[122.252, 123.559, 119.84, 141.724, 128.321]",208.728,63.8262,2
107,5,"[111.287, 75.728, 148.578, -10.1075, 88.3267]","[-104.12, -117.262, -134.815, -138.582, -140.517]","[4.50788e-07, 4.58623e-07, 4.51416e-07, 3.64829e-07, 3.70035e-07]","[35.9941, 35.9941, 30.0627, 104.195, 129.098]","[54.7354, 126.626, 54.7917, 38.8835, 28.8272]","[-37.7569, -37.7569, -40.0656, -54.9231, -67.3232]","[125.265, 126.626, 125.208, 131.648, 126.828]",224.728,63.8262,2
108,5,"[173.552, 115.639, -160.987, 60.6493, -74.5785]","[-108.064, -133.727, -135.716, -147.766, -151.887]","[3.81026e-07, 3.90361e-07, 4.1916e-07, 4.27575e-07, 4.36133e-07]","[126.68, 125.591, 55.1035, 55.1035, 71.6525]","[46.7655, 135.484, 51.6167, 129.785, 53.3622]","[-52.9742, -51.9719, -40.0656, -40.0656, -28.5186]","[132.951, 133.588, 128.383, 129.785, 126.638]",240.728,63.8262,2
109,5,"[155.487, -123.538, -63.8298, -68.1307, 132.12]","[-99.2962, -107.594, -134.698, -136.543, -139.679]","[4.07254e-07, 4.1591e-07, 4.0942e-07, 4.12476e-07, 4.13001e-07]","[134.702, 134.702, 138.402, 108.399, 125.744]","[50.2774, 131.137, 55.1164, 50.8776, 65.9636]","[-45.2979, -45.2979, -49.9374, -40.0656, -41.8215]","[129.723, 131.137, 134.815, 129.122, 134.283]",256.728,63.8262,2
124,5,"[-50.1747, -105.25, 7.37714, 66.9108, 151.992]","[-98.5325, -112.606, -112.76, -126.786, -128.346]","[3.73008e-07, 4.34116e-07, 3.8244e-07, 3.82508e-07, 4.42247e-07]","[39.3035, 28.6139, 39.3035, 37.7255, 28.6139]","[45.7537, 53.164, 135.679, 133.684, 128.22]","[-140.696, -150.627, -140.696, -140.328, -150.627]","[134.246, 126.836, 135.679, 136.122, 128.22]",128.728,79.8262,2
130,5,"[-78.1465, 167.876, 136.205, -134.36, 39.1572]","[-132.383, -136.731, -137.983, -144.858, -145.023]","[4.28029e-07, 3.34468e-07, 3.35029e-07, 3.44956e-07, 3.46433e-07]","[23.4419, 106.507, 108.195, 106.507, 107.236]","[49.3165, 38.9092, 31.9934, 142.483, 149.366]","[-31.2612, -44.8319, -47.1979, -44.8319, -45.9315]","[126.931, 141.091, 136.334, 142.483, 136.988]",224.728,79.8262,2
131,5,"[167.751, -125.252, 89.3351, -80.4009, 91.0762]","[-104.407, -113.076, -121.153, -127.987, -128.685]","[3.92449e-07, 4.01384e-07, 3.98924e-07, 3.92587e-07, 4.07758e-07]","[33.6881, 34.8355, -3.09645, 32.614, -3.09645]","[48.4572, 132.974, 49.2761, 52.4145, 132.145]","[-35.4509, -35.2566, -40.0947, -35.6412, -40.0947]","[131.543, 132.974, 130.724, 132.185, 132.145]",240.728,79.8262,2
147,5,"[-81.996, 64.6956, -6.86954, 159.331, 37.2594]","[-98.0288, -105.095, -106.056, -116.272, -136.035]","[3.52013e-07, 3.61992e-07, 3.56089e-07, 3.65958e-07, 3.55236e-07]","[29.2657, 29.2657, 152.235, 152.235, 21.6864]","[42.3231, 139.099, 43.0384, 138.388, 60.5309]","[-150.734, -150.734, -151.514, -151.514, -149.024]","[137.677, 139.099, 136.962, 138.388, 140.568]",128.728,95.8262,2
153,5,"[-158.932, -20.1665, 1.80916, -97.5451, 134.795]","[-103.425, -109.542, -113.21, -118.459, -126.588]","[3.1083e-07, 3.22089e-07, 3.06716e-07, 3.1812e-07, 3.10971e-07]","[42.9865, 42.9865, 131.773, 131.773, 37.5954]","[33.1419, 148.156, 31.9457, 149.326, 33.1817]","[-42.9865, -42.9865, -44.8319, -44.8319, -44.8319]","[146.858, 148.156, 148.054, 149.326, 146.818]",224.728,95.8262,2
169,5,"[152.555, -111.356, 116.451, -51.0271, -113.257]","[-98.5382, -112.614, -126.219, -127.245, -127.297]","[3.73254e-07, 3.8268e-07, 3.84893e-07, 3.8103e-07, 3.89874e-07]","[13.5047, 13.5047, -30.6774, -27.976, -22.337]","[45.7905, 135.642, 47.4527, 50.9943, 133.57]","[-166.495, -166.495, -158.43, -160.647, -159.89]","[134.209, 135.642, 132.547, 133.688, 134.766]",112.728,111.826,2
170,5,"[26.596, 101.667, -51.913, 5.3875, 175.695]","[-97.6813, -104.49, -126.8, -138.269, -139.213]","[3.38218e-07, 3.48593e-07, 4.4078e-07, 3.55853e-07, 4.38933e-07]","[16.8137, 16.8137, 102.32, -101.924, 97.6692]","[39.6896, 141.712, 53.8101, 42.9977, 53.6335]","[-163.186, -163.186, 167.195, -159.24, 165.174]","[140.31, 141.712, 126.19, 137.002, 126.366]",128.728,111.826,2
171,5,"[79.0721, 34.0818, 46.3396, 4.56886, -43.8608]","[-96.8814, -102.324, -137.313, -138.187, -144.145]","[3.08488e-07, 3.19829e-07, 4.5832e-07, 3.26798e-07, 4.53141e-07]","[22.1641, 22.1641, 124.289, -54.2065, 119.852]","[32.4695, 148.814, 55.3984, 53.3646, 54.9455]","[-157.836, -157.836, 167.195, -146.246, 165.174]","[147.531, 148.814, 124.602, 145.634, 125.055]",144.728,111.826,2
172,5,"[-13.7638, 98.2312, -87.2182, -56.5649, -145.381]","[-96.2151, -103.251, -124.272, -129.302, -133.164]","[2.85724e-07, 2.97933e-07, 3.13646e-07, 3.01197e-07, 3.13793e-07]","[32.0001, 32.0001, -47.3806, -39.8919, -43.1408]","[24.371, 156.688, 150.734, 30.2198, 150.686]","[-148.0, -148.0, -130.111, -128.433, -128.433]","[155.629, 156.688, 150.734, 149.78, 150.686]",160.728,111.826,2
173,5,"[-116.398, -0.819637, 165.684, 81.1124, -163.141]","[-95.7771, -103.343, -117.203, -129.31, -140.469]","[2.71685e-07, 2.84496e-07, 2.87724e-07, 2.99851e-07, 4.83267e-07]","[53.283, 53.283, -68.1141, -68.1141, 163.5]","[16.6717, 164.099, 25.2358, 155.852, 57.4149]","[-126.717, -126.717, -112.453, -112.453, -177.373]","[163.328, 164.099, 154.764, 155.852, 122.585]",176.728,111.826,2
