Receive ID,Data Size,Phase Values (deg),Received Power (dBm),time of arrival (sec),doa_phi(),doa_theta(deg),dod_phi(deg),dod_theta(deg),rx_x,rx_y,rx_z
124,5,"[-143.685, -90.1438, -132.966, -147.826, 35.743]","[-99.4559, -107.041, -109.418, -117.329, -130.635]","[4.148e-07, 4.70736e-07, 4.23302e-07, 4.78245e-07, 4.15626e-07]","[50.1632, 38.6808, 50.1632, 38.6808, 44.6392]","[51.1381, 56.4347, 130.269, 124.898, 58.131]","[-129.837, -140.56, -129.837, -140.56, -128.676]","[128.862, 123.565, 130.269, 124.898, 130.15]",128.728,79.8262,2
130,5,"[-55.6147, -80.707, 156.847, 37.7876, 174.216]","[-130.056, -140.24, -141.129, -141.189, -143.925]","[3.77835e-07, 3.82001e-07, 4.00862e-07, 3.87149e-07, 3.83518e-07]","[106.507, 80.9914, 135.07, 106.507, 82.4086]","[46.4623, 41.0986, 61.1694, 134.97, 40.7341]","[-61.9071, -60.9791, -58.9793, -61.9071, -59.5178]","[133.538, 132.058, 133.784, 134.97, 131.379]",224.728,79.8262,2
131,5,"[46.6186, 18.6265, 164.034, 87.7329, -59.5893]","[-110.18, -121.811, -127.791, -132.986, -134.288]","[4.32419e-07, 4.4313e-07, 4.32389e-07, 4.32545e-07, 4.43125e-07]","[44.4097, -3.09645, 43.202, 47.4195, -3.22819]","[52.9954, 54.0321, 56.3617, 57.4446, 54.0317]","[-46.1725, -50.8902, -46.4179, -45.9374, -50.8823]","[127.005, 125.968, 127.567, 127.329, 125.968]",240.728,79.8262,2
147,5,"[96.0056, -107.698, -126.152, 109.15, 59.8156]","[-98.8136, -107.451, -114.786, -139.579, -145.11]","[3.85263e-07, 3.94402e-07, 3.89003e-07, 3.98056e-07, 3.99454e-07]","[43.2481, 43.2481, 138.396, 138.396, 11.6391]","[47.5032, 133.927, 48.0058, 133.422, 133.233]","[-136.752, -136.752, -137.675, -137.675, -131.846]","[132.497, 133.927, 131.994, 133.422, 133.233]",128.728,95.8262,2
153,5,"[80.9565, 125.532, -133.917, -118.162, -158.02]","[-97.8339, -100.855, -104.012, -107.37, -125.865]","[3.4421e-07, 3.47899e-07, 3.54409e-07, 3.57993e-07, 3.44768e-07]","[120.231, 57.4636, 120.231, 57.4636, 131.773]","[40.8766, 41.5737, 140.536, 139.844, 40.9836]","[-59.7687, -57.4636, -59.7687, -57.4636, -61.9071]","[139.123, 138.426, 140.536, 139.844, 139.016]",224.728,95.8262,2
169,5,"[128.334, -165.053, 179.924, 27.0069, -17.1104]","[-99.0142, -101.736, -106.517, -110.217, -121.032]","[3.94258e-07, 4.08052e-07, 4.03193e-07, 4.16692e-07, 4.08108e-07]","[28.4847, -33.3943, 28.4847, -33.3943, -30.8828]","[48.6897, 50.3705, 132.735, 131.043, 48.491]","[-151.515, -145.842, -151.515, -145.842, -145.538]","[131.31, 129.629, 132.735, 131.043, 129.391]",112.728,111.826,2
170,5,"[-135.09, -167.125, -53.2512, -22.2738, 96.8649]","[-98.2539, -109.313, -135.181, -142.066, -142.737]","[3.61243e-07, 3.70975e-07, 4.37307e-07, 3.93355e-07, 3.83172e-07]","[34.3181, 34.3181, 102.32, 107.258, -101.924]","[43.9068, 137.523, 53.4766, 48.574, 47.216]","[-145.682, -145.682, -173.595, -158.257, -143.026]","[136.093, 137.523, 126.523, 131.426, 132.784]",128.728,111.826,2
171,5,"[49.4691, -77.5214, -71.3956, 102.174, -43.5348]","[-97.5604, -106.016, -124.397, -129.567, -130.369]","[3.33548e-07, 3.44064e-07, 3.69532e-07, 3.69533e-07, 4.54777e-07]","[42.6141, 42.6141, -51.823, -51.6959, 124.289]","[38.7128, 142.677, 137.768, 137.914, 55.09]","[-137.386, -137.386, -128.177, -128.157, -173.595]","[141.287, 142.677, 137.768, 137.744, 124.91]",144.728,111.826,2
172,5,"[138.631, -43.7877, 179.087, -63.6151, -13.4524]","[-96.9962, -103.182, -122.155, -128.108, -131.209]","[3.1259e-07, 3.23787e-07, 3.50731e-07, 4.55542e-07, 3.50731e-07]","[54.6649, 54.6649, -62.8494, 156.986, -62.7431]","[33.6326, 147.676, 141.271, 55.1571, 141.437]","[-125.335, -125.335, -117.151, -158.257, -117.134]","[146.367, 147.676, 141.271, 124.843, 141.245]",160.728,111.826,2
173,5,"[-45.2407, -10.1856, 24.7669, -171.144, 34.8664]","[-96.6327, -103.721, -106.618, -110.767, -118.756]","[2.99785e-07, 3.11443e-07, 4.97305e-07, 3.26895e-07, 5.04419e-07]","[71.6873, 71.6873, 160.531, -76.8221, 160.531]","[29.7533, 151.465, 58.4428, 37.234, 122.849]","[-108.313, -108.313, -160.531, -103.745, -160.531]","[150.247, 151.465, 121.557, 142.766, 122.849]",176.728,111.826,2
