Receive ID,Data Size,Phase Values (deg),Received Power (dBm),time of arrival (sec),doa_phi(),doa_theta(deg),dod_phi(deg),dod_theta(deg),rx_x,rx_y,rx_z
169,5,"[19.0664, 174.499, 135.023, -63.2751, -101.221]","[-99.7079, -110.782, -114.632, -131.253, -132.89]","[4.26997e-07, 4.45733e-07, 4.35261e-07, 4.53655e-07, 4.29092e-07]","[39.7041, -43.2586, 39.7041, -43.2586, 54.5821]","[52.445, 54.2745, 128.948, 127.094, 52.6598]","[-140.296, -135.978, -140.296, -135.978, -143.702]","[127.555, 125.725, 128.948, 127.094, 127.34]",112.728,111.826,2
170,5,"[160.506, -155.628, -151.511, -27.4484, 111.46]","[-99.0679, -106.527, -139.062, -141.106, -144.994]","[3.96697e-07, 4.05579e-07, 4.21656e-07, 4.53306e-07, 4.60608e-07]","[46.2453, 46.2453, 107.258, 102.32, -48.473]","[48.9986, 132.425, 51.885, 54.9601, 126.443]","[-133.755, -133.755, -143.702, -156.481, -122.583]","[131.001, 132.425, 128.115, 125.04, 126.443]",128.728,111.826,2
171,5,"[-147.236, -17.94, 55.8484, -101.942, 23.6406]","[-98.5004, -112.518, -113.505, -113.953, -118.291]","[3.71634e-07, 4.14143e-07, 3.811e-07, 4.4754e-07, 4.0546e-07]","[54.6036, -60.3792, 54.6036, 143.112, -60.9446]","[45.547, 131.351, 135.886, 54.4408, 51.2913]","[-125.396, -119.621, -125.396, -143.702, -119.683]","[134.453, 131.351, 135.886, 125.559, 130.067]",144.728,111.826,2
172,5,"[135.717, 86.5903, 176.05, -65.4828, -59.4849]","[-98.0513, -105.348, -113.973, -115.772, -122.32]","[3.52924e-07, 3.62878e-07, 3.97439e-07, 4.97249e-07, 5.04363e-07]","[65.1235, 65.1235, -69.6442, 149.087, 149.087]","[42.4852, 138.938, 133.506, 58.4389, 122.853]","[-114.877, -114.877, -110.356, -149.438, -149.438]","[137.515, 138.938, 133.506, 121.561, 122.853]",160.728,111.826,2
173,5,"[-5.61823, 5.53608, 137.605, -133.405, 37.2779]","[-97.7681, -104.062, -109.566, -110.044, -120.266]","[3.41612e-07, 3.51887e-07, 5.37514e-07, 3.75929e-07, 3.8529e-07]","[77.7673, 77.7673, 152.431, -80.5606, -80.5606]","[40.3706, 141.037, 61.0399, 46.1858, 135.247]","[-102.233, -102.233, -152.781, -100.007, -100.007]","[139.629, 141.037, 118.96, 133.814, 135.247]",176.728,111.826,2
174,5,"[16.2464, 134.958, -60.943, 106.85, -21.894]","[-97.687, -104.447, -112.578, -120.291, -122.123]","[3.38442e-07, 3.4881e-07, 3.75083e-07, 3.75084e-07, 3.84465e-07]","[91.7227, 91.7227, -91.3798, -91.7368, -91.3798]","[39.7352, 141.666, 46.0617, 46.0617, 135.371]","[-88.2773, -88.2773, -88.6202, -88.6597, -88.6202]","[140.265, 141.666, 133.938, 133.938, 135.371]",192.728,111.826,2
175,5,"[-179.2, -142.036, -147.27, 21.5592, -71.5715]","[-97.8195, -104.004, -110.074, -117.923, -132.769]","[3.43639e-07, 3.53855e-07, 3.80542e-07, 3.89792e-07, 5.57863e-07]","[105.48, 105.48, -102.293, -102.293, -9.87407]","[40.7665, 140.645, 46.8485, 134.583, 62.1902]","[-74.5196, -74.5196, -77.5232, -77.5232, -47.8371]","[139.234, 140.645, 133.151, 134.583, 117.81]",208.728,111.826,2
176,5,"[-24.3744, -98.0755, -78.2053, 22.2904, 117.339]","[-98.1472, -106.81, -136.463, -136.603, -137.332]","[3.56837e-07, 3.66686e-07, 5.12254e-07, 5.1255e-07, 3.9372e-07]","[117.647, 117.647, -14.5805, -15.6205, -129.572]","[43.1669, 138.26, 59.4642, 59.4837, 48.6209]","[-62.3528, -62.3528, -47.8371, -48.1704, -69.5857]","[136.833, 138.26, 120.536, 120.516, 131.379]",224.728,111.826,2
177,5,"[157.415, -159.883, 150.604, 83.3778, 25.404]","[-98.6296, -104.113, -110.309, -112.827, -115.531]","[3.77198e-07, 4.08385e-07, 3.86528e-07, 4.17018e-07, 4.77463e-07]","[127.622, -121.978, 127.622, -121.978, 33.5493]","[46.3704, 50.4092, 135.062, 131.004, 124.963]","[-52.3779, -58.0223, -52.3779, -58.0223, -33.5493]","[133.63, 129.591, 135.062, 131.004, 124.963]",240.728,111.826,2
178,5,"[-179.571, 124.113, -158.494, 136.243, 28.8222]","[-99.2187, -107.045, -115.293, -124.204, -129.732]","[4.03639e-07, 4.12371e-07, 4.92515e-07, 4.99697e-07, 4.35846e-07]","[135.5, 135.5, -147.735, -147.735, -121.223]","[49.8497, 131.568, 58.1, 123.199, 53.3342]","[-44.5002, -44.5002, -51.7093, -51.7093, -50.1573]","[130.15, 131.568, 121.9, 123.199, 126.666]",256.728,111.826,2
193,5,"[153.758, -3.29314, 8.39748, 150.586, 87.7993]","[-98.4694, -104.512, -113.429, -113.992, -137.584]","[3.7031e-07, 3.89032e-07, 3.98084e-07, 3.79809e-07, 4.12451e-07]","[38.1882, 145.72, 145.72, 38.1882, 112.149]","[45.3456, 48.0097, 133.418, 136.087, 50.8748]","[-141.812, -145.72, -145.72, -141.812, -156.481]","[134.654, 131.99, 133.418, 136.087, 129.125]",128.728,127.826,2
194,5,"[54.144, 31.8291, -90.6369, -90.4488, -111.567]","[-97.8116, -104.005, -108.272, -114.552, -118.268]","[3.43325e-07, 3.5355e-07, 4.36923e-07, 4.96692e-07, 4.39373e-07]","[46.6652, 46.6652, 152.089, 22.6421, 165.927]","[40.7057, 140.705, 53.4393, 58.3994, 53.6758]","[-133.335, -133.335, -152.439, -157.358, -148.363]","[139.294, 140.705, 126.561, 121.601, 126.324]",144.728,127.826,2
195,5,"[69.8589, -1.27984, 154.135, 89.6026, -123.821]","[-112.755, -122.906, -124.392, -128.856, -129.884]","[4.76304e-07, 4.82604e-07, 4.46544e-07, 4.76322e-07, 3.24012e-07]","[155.681, 171.506, 74.2065, 154.9, 46.2341]","[56.878, 57.3646, 54.3494, 56.8794, 26.5766]","[-156.031, -148.363, -106.152, -156.481, -120.241]","[123.122, 122.635, 125.651, 123.121, 142.087]",160.728,127.826,2
196,5,"[-149.448, -70.9855, 138.325, -93.9961, -139.819]","[-96.9401, -102.646, -111.261, -113.741, -116.41]","[3.10579e-07, 3.21846e-07, 4.15626e-07, 4.39468e-07, 3.10653e-07]","[73.9401, 73.9401, -82.109, 84.4958, 81.2302]","[33.0707, 148.226, 51.2299, 53.6849, 33.0918]","[-106.06, -106.06, -98.4583, -97.8618, -106.783]","[146.929, 148.226, 128.77, 126.315, 146.908]",176.728,127.826,2
197,5,"[147.229, 135.158, 139.707, 73.1955, -14.6229]","[-96.8419, -102.234, -120.271, -130.414, -132.663]","[3.07088e-07, 3.18479e-07, 4.15177e-07, 4.53315e-07, 5.74829e-07]","[92.2868, 92.2868, -90.5818, -55.7362, 175.28]","[32.0568, 149.218, 51.18, 54.9609, 63.0786]","[-87.7132, -87.7132, -88.6597, -74.9701, -148.363]","[147.943, 149.218, 128.82, 125.039, 116.921]",192.728,127.826,2
198,5,"[81.5661, 117.116, 36.9071, -131.08, -14.1363]","[-107.863, -108.107, -110.942, -113.113, -114.29]","[4.3491e-07, 3.12812e-07, 5.72514e-07, 4.47639e-07, 3.24001e-07]","[-99.8974, 112.755, -32.8488, 100.161, 112.755]","[53.2423, 33.6936, 62.9609, 54.4499, 147.616]","[-80.1026, -69.9438, -51.1256, -80.5509, -69.9438]","[126.758, 146.306, 117.039, 125.55, 147.616]",208.728,127.826,2
199,5,"[110.497, 147.491, -35.1849, 114.925, -17.6284]","[-121.667, -123.308, -128.754, -131.378, -132.633]","[4.303e-07, 4.4294e-07, 5.33798e-07, 4.70198e-07, 4.70028e-07]","[-109.304, 109.119, -37.8919, 129.482, 128.157]","[52.7824, 54.0143, 60.819, 56.3911, 56.3773]","[-70.6961, -71.5927, -48.1704, -83.8329, -84.4244]","[127.218, 125.986, 119.181, 123.609, 123.623]",224.728,127.826,2
200,5,"[-44.845, 106.716, -21.0243, 3.89647, 61.4907]","[-97.9626, -120.557, -122.733, -123.905, -131.02]","[3.4934e-07, 3.59422e-07, 3.5944e-07, 4.53848e-07, 3.50567e-07]","[135.662, 134.172, 137.616, -114.517, 144.549]","[41.8395, 140.793, 141.152, 127.076, 53.2218]","[-44.3383, -44.0354, -44.7297, -61.665, -45.8086]","[138.16, 139.323, 139.248, 127.076, 139.616]",240.728,127.826,2
201,5,"[-90.5509, -100.505, -13.3379, 88.8493, -118.367]","[-98.642, -104.34, -110.034, -113.324, -137.949]","[3.77736e-07, 4.10653e-07, 3.87053e-07, 4.19239e-07, 3.82817e-07]","[143.495, 30.8446, 143.495, 30.8446, 134.877]","[46.4482, 50.6704, 134.984, 130.741, 54.4082]","[-36.5049, -30.8446, -36.5049, -30.8446, -27.7114]","[133.552, 129.33, 134.984, 130.741, 139.438]",256.728,127.826,2
216,5,"[-112.928, 51.4262, -77.5034, -137.729, 48.9174]","[-97.9822, -104.66, -104.689, -120.875, -141.046]","[3.50129e-07, 3.6016e-07, 3.69874e-07, 3.79384e-07, 3.71597e-07]","[27.867, 27.867, 155.383, 155.383, 144.427]","[41.9834, 139.437, 45.2788, 136.154, 30.4249]","[-152.133, -152.133, -155.383, -155.383, -156.259]","[138.017, 139.437, 134.721, 136.154, 132.967]",128.728,143.826,2
217,5,"[-63.491, -102.264, -31.3748, 32.7095, 11.7412]","[-97.2393, -109.347, -117.288, -122.678, -135.289]","[3.21454e-07, 3.32353e-07, 4.07023e-07, 4.15685e-07, 4.71663e-07]","[35.4677, 35.4677, 159.561, 159.561, 169.708]","[35.9386, 145.412, 50.2505, 131.164, 56.5093]","[-144.532, -144.532, -159.512, -159.512, -148.363]","[144.061, 145.412, 129.75, 131.164, 123.491]",144.728,143.826,2
220,5,"[123.836, 59.62, -173.262, 90.4024, -132.796]","[-96.1141, -101.521, -118.965, -129.834, -130.939]","[2.82425e-07, 2.9477e-07, 4.57995e-07, 6.39336e-07, 4.65709e-07]","[93.3999, 93.3999, -90.3494, -34.4083, -90.3494]","[22.8488, 158.159, 55.3704, 65.9781, 125.981]","[-86.6001, -86.6001, -88.6597, -49.5661, -88.6597]","[157.151, 158.159, 124.63, 114.022, 125.981]",192.728,143.826,2
223,5,"[115.822, -71.4264, 116.67, 83.3343, 122.467]","[-97.4112, -110.108, -117.587, -118.201, -126.754]","[3.27871e-07, 3.38563e-07, 3.27948e-07, 3.38564e-07, 4.36456e-07]","[146.702, 146.702, 144.772, 146.452, 17.9143]","[37.4579, 143.916, 38.4574, 143.798, 54.6303]","[-33.2985, -33.2985, -32.0202, -33.1207, -18.3074]","[142.542, 143.916, 143.164, 143.999, 127.012]",240.728,143.826,2
224,5,"[168.129, -66.7196, 102.543, 138.239, 135.781]","[-98.1748, -107.362, -114.89, -129.874, -133.369]","[3.57974e-07, 3.67792e-07, 3.67792e-07, 4.32676e-07, 4.32678e-07]","[153.55, 153.55, 153.429, 15.023, 15.2204]","[43.3606, 138.067, 138.014, 53.021, 52.3012]","[-26.4496, -26.4496, -26.3631, -19.3323, -19.2657]","[136.639, 138.067, 138.105, 126.979, 126.76]",256.728,143.826,2
238,5,"[52.2666, 20.5565, 31.7694, -72.6909, -39.8409]","[-98.5192, -113.089, -131.193, -139.192, -141.899]","[3.72436e-07, 3.81883e-07, 3.85626e-07, 3.94695e-07, 3.90803e-07]","[12.1533, 12.1533, -36.4976, -36.1522, 71.1095]","[45.668, 135.765, 47.5526, 133.886, 48.243]","[-167.847, -167.847, -159.512, -159.483, -176.957]","[134.332, 135.765, 132.447, 133.886, 131.757]",112.728,159.826,2
239,5,"[48.6232, -61.695, 51.1309, 25.9364, 104.242]","[-97.6569, -104.698, -113.664, -134.066, -141.423]","[3.3727e-07, 3.47673e-07, 4.47098e-07, 3.3985e-07, 3.74838e-07]","[15.1567, 15.1567, -106.196, 12.9966, -120.223]","[39.4952, 141.904, 54.4003, 48.406, 46.0255]","[-164.843, -164.843, -148.363, -163.077, -159.483]","[140.505, 141.904, 125.6, 145.925, 133.974]",128.728,159.826,2
240,5,"[12.4806, -26.9511, 58.2013, 4.45828, -50.326]","[-125.595, -137.151, -137.279, -138.567, -138.573]","[3.07936e-07, 4.69053e-07, 5.28844e-07, 5.30496e-07, 3.19949e-07]","[23.0685, -132.105, 110.329, 113.352, 24.704]","[27.3671, 56.2981, 60.5188, 60.6196, 155.621]","[-161.069, -148.363, 149.388, 151.545, -161.703]","[145.65, 123.702, 119.481, 119.38, 145.741]",144.728,159.826,2
242,5,"[-12.0013, 66.5642, 142.181, 101.227, -140.628]","[-95.7338, -104.842, -126.94, -134.708, -137.056]","[2.70335e-07, 2.83208e-07, 2.71165e-07, 2.84e-07, 5.54849e-07]","[50.1065, 50.1065, 88.2182, 88.2182, -59.7584]","[15.6885, 165.042, 16.3014, 164.454, 62.0259]","[-129.893, -129.893, -136.585, -136.585, -74.9701]","[164.312, 165.042, 163.699, 164.454, 117.974]",176.728,159.826,2
