Receive ID,Data Size,Phase Values (deg),Received Power (dBm),time of arrival (sec),doa_phi(),doa_theta(deg),dod_phi(deg),dod_theta(deg),rx_x,rx_y,rx_z
193,5,"[58.8806, 41.1329, -82.8251, 170.486, 91.9227]","[-99.0585, -106.518, -106.746, -118.955, -138.249]","[3.96269e-07, 4.0516e-07, 4.13825e-07, 4.22347e-07, 4.15369e-07]","[46.115, 46.115, 137.98, 137.98, 125.406]","[48.9447, 132.479, 51.0293, 130.379, 39.5047]","[-133.885, -133.885, -137.98, -137.98, -139.143]","[131.055, 132.479, 128.971, 130.379, 127.57]",128.728,127.826,2
194,5,"[29.3214, -115.129, -2.39112, 158.905, 38.897]","[-98.4894, -104.801, -108.088, -113.713, -115.832]","[3.71162e-07, 4.59099e-07, 4.59276e-07, 3.8064e-07, 4.66794e-07]","[54.476, 145.026, 141.803, 54.476, 145.026]","[45.4755, 55.4655, 55.4807, 135.957, 125.884]","[-125.524, -145.376, -146.533, -125.524, -145.376]","[134.525, 124.535, 124.519, 135.957, 125.884]",144.728,127.826,2
195,5,"[-78.9558, 22.7566, -102.808, -8.75932, -59.5408]","[-109.312, -122.459, -124.332, -125.789, -128.975]","[4.84032e-07, 4.98392e-07, 4.84059e-07, 4.68137e-07, 5.08919e-07]","[148.148, 76.058, 147.192, -72.879, 171.506]","[57.4728, 123.298, 57.4748, 56.2233, 59.2425]","[-148.148, -103.942, -148.684, -104.354, -139.911]","[122.527, 123.298, 122.525, 123.777, 120.758]",160.728,127.826,2
196,5,"[-82.9118, -176.031, 72.3908, -74.2308, -163.151]","[-97.7542, -104.101, -106.094, -112.175, -118.37]","[3.41068e-07, 3.51359e-07, 4.57352e-07, 3.41089e-07, 3.51379e-07]","[77.694, 77.694, -83.271, 81.2302, 81.2302]","[40.2631, 141.144, 55.3148, 40.2671, 141.14]","[-102.306, -102.306, -97.2962, -102.57, -102.57]","[139.737, 141.144, 124.685, 139.733, 141.14]",176.728,127.826,2
197,5,"[71.5057, 80.1315, -176.879, -80.3608, 85.9395]","[-97.6725, -104.56, -113.144, -115.2, -120.101]","[3.37878e-07, 3.48263e-07, 6.52935e-07, 4.57261e-07, 6.02564e-07]","[91.7039, 91.7039, -26.9071, -90.5818, 175.28]","[39.62, 141.78, 66.5089, 55.3069, 64.41]","[-88.2961, -88.2961, -57.0674, -88.9165, -139.911]","[140.38, 141.78, 113.491, 124.693, 115.59]",192.728,127.826,2
198,5,"[-76.2903, 47.0826, -178.446, -175.08, -60.0879]","[-106.024, -111.522, -112.018, -116.319, -116.678]","[4.77429e-07, 4.90768e-07, 6.10047e-07, 4.84834e-07, 3.43115e-07]","[-98.5917, 98.9605, -29.4168, -98.5917, 112.755]","[56.9659, 57.9729, 64.7461, 124.356, 40.6649]","[-81.4083, -81.7512, -54.5576, -81.4083, -74.7741]","[123.034, 122.027, 115.254, 124.356, 139.335]",208.728,127.826,2
199,5,"[115.279, -34.1443, -88.4032, 87.3596, -156.619]","[-106.883, -111.576, -115.732, -118.488, -123.015]","[4.71014e-07, 4.844e-07, 4.71016e-07, 4.78519e-07, 4.917e-07]","[-106.756, 106.78, -106.433, -106.756, 106.78]","[56.4571, 57.5005, 56.4572, 124.875, 123.811]","[-73.2436, -73.9316, -73.156, -73.2436, -73.9316]","[123.543, 122.5, 123.543, 124.875, 123.811]",224.728,127.826,2
200,5,"[104.348, -67.6711, -101.859, 19.3825, -147.376]","[-98.617, -119.236, -122.718, -123.182, -129.809]","[3.76651e-07, 4.84819e-07, 4.92109e-07, 3.76851e-07, 3.86016e-07]","[127.719, -110.888, -111.012, 131.652, 126.382]","[46.291, 57.998, 123.779, 49.8022, 136.108]","[-52.2809, -65.1376, -65.17, -52.9841, -52.006]","[133.709, 122.589, 123.779, 134.284, 134.936]",240.728,127.826,2
201,5,"[-21.888, -91.5076, -151.067, 149.44, -12.9381]","[-99.2074, -104.043, -106.981, -122.129, -129.986]","[4.03114e-07, 4.34099e-07, 4.11858e-07, 4.42231e-07, 4.03912e-07]","[135.604, 38.3083, 135.604, 38.3083, 132.68]","[49.7868, 53.1623, 131.631, 128.222, 53.3914]","[-44.396, -38.3083, -44.396, -38.3083, -42.1239]","[130.213, 126.838, 131.631, 128.222, 132.727]",256.728,127.826,2
216,5,"[146.439, -166.365, 159.374, 91.5306, -142.291]","[-98.4616, -104.496, -113.445, -114.059, -137.869]","[3.69977e-07, 3.88723e-07, 3.97783e-07, 3.79485e-07, 3.75043e-07]","[38.0242, 145.875, 145.875, 38.0242, 30.5359]","[45.2948, 47.9688, 133.459, 136.138, 58.0584]","[-141.976, -145.875, -145.875, -141.976, -137.471]","[134.705, 132.031, 133.459, 136.138, 140.25]",128.728,143.826,2
