Receive ID,Data Size,Phase Values (deg),Received Power (dBm),time of arrival (sec),doa_phi(),doa_theta(deg),dod_phi(deg),dod_theta(deg),rx_x,rx_y,rx_z
77,5,"[-77.1286, 66.1474, 162.262, 137.771, 31.6215]","[-99.8984, -117.539, -143.367, -147.232, -155.443]","[4.36456e-07, 4.44544e-07, 4.53273e-07, 4.5561e-07, 4.61066e-07]","[42.0733, 42.0733, 69.089, 34.4424, 69.089]","[53.3938, 127.987, 54.9572, 66.805, 126.401]","[-137.927, -137.927, -151.574, -123.648, -151.574]","[126.606, 127.987, 125.043, 142.25, 126.401]",112.728,47.8262,2
78,5,"[-131.378, -97.4308, 19.9514, 111.386, -64.3824]","[-99.2888, -107.533, -145.097, -151.44, -152.793]","[4.06909e-07, 4.15573e-07, 4.46683e-07, 4.32891e-07, 1.06503e-06]","[48.6406, 48.6406, 93.9134, 60.8105, 78.3597]","[50.2371, 131.178, 54.3622, 76.2731, 81.0106]","[-131.359, -131.359, -151.574, -141.246, 101.598]","[129.763, 131.178, 125.638, 142.072, 112.172]",128.728,47.8262,2
79,5,"[-65.1555, 39.7232, -15.7869, 38.8497, -4.63539]","[-98.7525, -108.132, -146.481, -148.45, -150.244]","[3.82566e-07, 3.91768e-07, 4.12635e-07, 4.58733e-07, 4.10301e-07]","[56.8571, 56.8571, 40.7287, 117.425, 67.5538]","[47.1319, 134.299, 59.9504, 55.434, 75.5479]","[-123.143, -123.143, -86.3347, -151.574, -132.843]","[132.868, 134.299, 144.82, 124.566, 146.467]",144.728,47.8262,2
80,5,"[-164.706, -16.8345, -75.6249, -150.004, 91.6637]","[-98.3312, -111.696, -137.151, -142.986, -144.665]","[3.6447e-07, 3.74117e-07, 3.68865e-07, 3.80985e-07, 6.19447e-07]","[66.9473, 66.9473, 70.4313, 49.7274, 23.11]","[44.4314, 137.0, 53.7642, 53.3902, 69.7392]","[-113.053, -113.053, -116.976, -86.8384, -27.3478]","[135.569, 137.0, 143.244, 141.572, 121.143]",160.728,47.8262,2
81,5,"[-174.462, -105.346, -122.58, 173.672, -109.656]","[-98.0675, -105.551, -137.656, -138.957, -139.897]","[3.53582e-07, 3.63519e-07, 3.5815e-07, 5.74329e-07, 6.70143e-07]","[78.7914, 78.7914, 80.6336, 25.7178, 19.9405]","[42.6016, 138.822, 52.5331, 66.2974, 69.6147]","[-101.209, -101.209, -103.377, -29.3527, -25.1846]","[137.398, 138.822, 145.662, 120.684, 115.598]",176.728,47.8262,2
82,5,"[-130.459, 115.472, -86.6036, -35.9382, 122.783]","[-97.9933, -104.753, -127.015, -131.075, -133.433]","[3.50576e-07, 3.60595e-07, 3.51145e-07, 6.29587e-07, 3.6084e-07]","[91.6748, 91.6748, 88.58, 22.289, 89.6309]","[42.0645, 139.356, 44.6504, 115.759, 137.77]","[-88.3252, -88.3252, -85.085, -26.5371, -86.0941]","[137.935, 139.356, 140.311, 115.759, 140.94]",192.728,47.8262,2
83,5,"[-62.9411, 138.262, 32.276, -117.364, 67.982]","[-118.43, -131.725, -134.36, -135.042, -138.189]","[3.55725e-07, 3.65915e-07, 5.80185e-07, 3.66233e-07, 4.9278e-07]","[104.734, 105.187, 27.4186, 109.147, 36.3583]","[41.6957, 141.185, 63.3468, 140.522, 58.1191]","[-75.8818, -76.2514, -26.5371, -79.6197, -32.525]","[135.964, 136.007, 116.653, 136.419, 121.881]",208.728,47.8262,2
84,5,"[103.827, 131.472, -67.8367, 167.256, 50.4558]","[-117.96, -132.756, -141.295, -151.545, -154.12]","[3.68533e-07, 3.78365e-07, 4.59861e-07, 4.67544e-07, 4.80541e-07]","[116.351, 117.095, 49.602, 49.602, 61.2916]","[43.9712, 138.815, 55.5308, 125.818, 57.2069]","[-64.5989, -65.2207, -32.525, -32.525, -18.8314]","[134.009, 134.15, 124.469, 125.818, 122.793]",224.728,47.8262,2
85,5,"[44.7163, -66.0949, 80.0455, -143.875, 124.158]","[-98.8812, -106.941, -116.451, -122.603, -143.011]","[3.88271e-07, 3.97341e-07, 3.97344e-07, 3.88432e-07, 4.37945e-07]","[125.43, 125.43, 125.493, 125.91, 71.0384]","[47.9085, 133.52, 133.316, 49.5769, 53.5383]","[-54.5705, -54.5705, -54.633, -55.0441, -32.525]","[132.091, 133.52, 133.72, 133.652, 126.462]",240.728,47.8262,2
86,5,"[24.7714, -62.9037, 104.097, 150.367, -38.3901]","[-99.4402, -109.192, -141.636, -145.968, -146.239]","[4.14052e-07, 4.22569e-07, 4.34227e-07, 4.23993e-07, 4.31081e-07]","[133.193, 133.193, 99.3052, 136.272, 123.12]","[51.0546, 130.353, 53.1749, 126.68, 70.526]","[-46.8068, -46.8068, -32.525, -50.7641, -38.3035]","[128.945, 130.353, 126.825, 134.443, 139.554]",256.728,47.8262,2
100,5,"[46.5012, 168.298, -0.609689, 69.7632, 120.29]","[-99.3592, -108.194, -136.061, -146.047, -148.799]","[4.10215e-07, 4.1881e-07, 4.15243e-07, 4.23736e-07, 4.3028e-07]","[34.8936, 34.8936, 55.1885, 55.1885, 27.9926]","[50.6202, 130.791, 51.1874, 130.219, 65.2889]","[-145.106, -145.106, -151.574, -151.574, -130.986]","[129.38, 130.791, 128.813, 130.219, 146.593]",112.728,63.8262,2
101,5,"[-93.5744, 122.223, 142.205, 124.199, 84.0316]","[-98.6625, -109.609, -141.39, -142.684, -142.724]","[3.78626e-07, 3.87921e-07, 4.04665e-07, 3.89557e-07, 3.89507e-07]","[41.2701, 41.2701, 97.0961, 33.3144, 55.3643]","[46.576, 134.856, 49.9722, 58.8673, 68.0216]","[-138.73, -138.73, -151.574, -127.281, -145.027]","[133.424, 134.856, 130.028, 144.571, 139.538]",128.728,63.8262,2
102,5,"[0.830292, -154.6, 32.6027, 103.661, -3.56915]","[-98.0367, -105.18, -134.583, -139.929, -141.353]","[3.52333e-07, 3.62304e-07, 3.55183e-07, 4.23279e-07, 3.64185e-07]","[49.7973, 49.7973, 42.7809, 133.359, 43.9988]","[42.3803, 139.043, 49.1418, 52.0571, 133.911]","[-130.203, -130.203, -123.735, -151.574, -124.632]","[137.62, 139.043, 142.31, 127.943, 142.915]",144.728,63.8262,2
103,5,"[93.8059, 117.698, -99.088, -128.794, -139.574]","[-97.5356, -115.098, -119.432, -129.56, -137.729]","[3.32597e-07, 3.43142e-07, 3.32703e-07, 4.57533e-07, 4.65254e-07]","[61.1533, 61.0483, 62.2727, 150.453, 150.453]","[38.5079, 143.022, 40.1748, 55.3304, 126.022]","[-118.847, -118.774, -119.607, -151.574, -151.574]","[141.492, 142.781, 142.553, 124.67, 126.022]",160.728,63.8262,2
104,5,"[-114.453, 23.2925, -27.0368, 8.09693, -150.574]","[-97.217, -115.457, -119.68, -131.397, -135.631]","[3.20629e-07, 3.31555e-07, 3.20747e-07, 3.2641e-07, 4.98048e-07]","[75.6146, 75.5777, 76.2761, 59.0516, 155.941]","[35.7346, 145.708, 37.641, 40.1438, 61.4982]","[-104.385, -104.36, -104.843, -86.1364, -153.691]","[144.265, 145.546, 145.486, 145.97, 123.752]",176.728,63.8262,2
105,5,"[152.035, -56.6414, 142.35, -61.0526, 145.588]","[-97.1265, -105.566, -109.478, -117.796, -123.46]","[3.1731e-07, 3.28346e-07, 3.17333e-07, 3.28368e-07, 5.17906e-07]","[92.1673, 92.1673, 90.6576, 90.6576, 23.462]","[34.8931, 146.439, 34.8991, 146.433, 121.891]","[-87.8327, -87.8327, -86.8626, -86.8626, -25.2248]","[145.107, 146.439, 145.101, 146.433, 121.891]",192.728,63.8262,2
106,5,"[-122.585, 101.765, -162.494, 44.3084, 172.695]","[-122.048, -123.406, -135.652, -136.136, -136.686]","[4.6998e-07, 4.775e-07, 5.62658e-07, 3.27653e-07, 4.70628e-07]","[26.5756, 26.5756, 16.5086, 115.362, 27.7846]","[56.3734, 124.96, 60.5794, 25.1115, 53.0578]","[-28.3384, -28.3384, -25.0343, -74.5806, -27.485]","[123.627, 124.96, 116.103, 135.801, 121.113]",208.728,63.8262,2
107,5,"[-26.4798, 103.684, -61.8144, 69.0087, 67.9077]","[-104.974, -115.743, -121.737, -132.505, -135.09]","[4.31695e-07, 4.317e-07, 4.39871e-07, 4.39875e-07, 3.40816e-07]","[30.5521, 30.0627, 30.5521, 30.0627, 115.904]","[52.923, 52.9234, 128.464, 128.464, 29.7257]","[-32.3149, -32.525, -32.3149, -32.525, -54.983]","[127.077, 127.077, 128.464, 128.464, 133.662]",224.728,63.8262,2
108,5,"[-152.228, 130.591, -75.4782, 128.679, -60.9901]","[-106.867, -126.889, -137.29, -145.052, -151.747]","[3.58521e-07, 3.6842e-07, 4.00311e-07, 4.09114e-07, 4.22964e-07]","[132.492, 131.362, 55.1035, 55.1035, 71.6525]","[43.3217, 139.029, 49.4467, 131.974, 52.0238]","[-47.2312, -46.1997, -32.525, -32.525, -18.8314]","[136.432, 136.967, 130.553, 131.974, 127.976]",240.728,63.8262,2
109,5,"[-88.5482, -136.684, 169.649, 98.3429, 105.631]","[-98.8367, -107.25, -134.499, -136.954, -141.847]","[3.86291e-07, 3.95407e-07, 3.88606e-07, 3.93839e-07, 3.95505e-07]","[140.548, 140.548, 144.145, 108.399, 127.447]","[47.6428, 133.787, 52.9729, 48.6361, 66.4306]","[-39.4521, -39.4521, -44.1113, -32.525, -33.5468]","[132.357, 133.787, 137.991, 131.364, 138.035]",256.728,63.8262,2
124,5,"[133.637, -61.6492, 121.034, -67.9572, -55.9601]","[-98.1303, -106.504, -129.834, -131.665, -133.99]","[3.56146e-07, 3.66013e-07, 3.57113e-07, 3.61033e-07, 3.66085e-07]","[31.7696, 31.7696, 27.0143, 111.907, 30.3325]","[43.0482, 138.378, 52.103, 43.8723, 136.185]","[-148.23, -148.23, -147.156, -150.192, -147.892]","[136.952, 138.378, 138.634, 136.128, 138.866]",128.728,79.8262,2
130,5,"[164.167, -93.4651, 166.585, -140.461, -38.6517]","[-116.436, -137.214, -139.194, -141.6, -149.568]","[4.12938e-07, 3.16175e-07, 4.21656e-07, 3.19515e-07, 3.28227e-07]","[22.1377, 113.668, 18.2635, 106.507, 112.486]","[50.8445, 26.0957, 132.206, 35.4562, 155.172]","[-24.0999, -39.281, -24.9634, -28.1349, -38.0501]","[129.055, 140.077, 130.066, 144.544, 140.551]",224.728,79.8262,2
131,5,"[-68.2814, 174.641, 91.2107, -107.971, 32.3871]","[-104.449, -117.161, -126.551, -134.453, -135.003]","[3.76428e-07, 3.85777e-07, 3.35145e-07, 3.37009e-07, 4.98501e-07]","[26.5802, 26.5802, 150.191, 124.432, 162.384]","[46.2586, 135.174, 34.933, 28.3866, 123.289]","[-28.343, -28.343, -39.0845, -34.6919, -18.8314]","[133.741, 135.174, 140.02, 138.5, 123.289]",240.728,79.8262,2
147,5,"[-68.7389, 112.24, -113.317, 160.761, -167.62]","[-97.7428, -104.141, -106.305, -114.105, -117.72]","[3.40622e-07, 3.50926e-07, 3.44826e-07, 3.55008e-07, 4.9432e-07]","[19.849, 19.849, 161.45, 161.45, 95.6625]","[40.1743, 141.232, 40.9948, 140.418, 58.2301]","[-160.151, -160.151, -160.729, -160.729, 156.013]","[139.826, 141.232, 139.005, 140.418, 121.77]",128.728,95.8262,2
153,5,"[-98.2166, 8.83737, -84.4805, -154.996, -33.9954]","[-127.47, -127.828, -131.555, -131.595, -139.283]","[3.14979e-07, 2.9438e-07, 3.1495e-07, 2.98156e-07, 3.14857e-07]","[78.9586, 131.773, 78.172, 37.5954, 80.1343]","[150.304, 27.8578, 150.313, 29.201, 150.343]","[-21.5805, -28.1349, -21.4546, -28.1349, -21.4546]","[150.304, 152.142, 150.313, 150.799, 150.343]",224.728,95.8262,2
169,5,"[64.7074, 146.18, 158.943, 55.0724, -68.3336]","[-98.4279, -114.034, -130.375, -134.52, -135.832]","[3.68546e-07, 3.78089e-07, 3.73553e-07, 3.76236e-07, 3.82256e-07]","[4.66539, 4.66539, -27.1395, -30.6774, -21.6567]","[45.074, 136.358, 51.7635, 46.2306, 132.745]","[-175.335, -175.335, -170.312, -168.48, -169.903]","[134.926, 136.358, 135.1, 133.769, 136.321]",112.728,111.826,2
170,5,"[-172.806, -43.9499, -111.494, -122.087, 140.256]","[-97.5468, -106.279, -126.831, -130.177, -137.659]","[3.33027e-07, 3.43558e-07, 4.50086e-07, 4.50787e-07, 4.57934e-07]","[5.86294, 5.86294, 97.6692, 102.32, 97.6692]","[38.6008, 142.788, 54.6722, 54.7353, 126.69]","[-174.137, -174.137, 155.785, 157.937, 155.785]","[141.399, 142.788, 125.328, 125.265, 126.69]",128.728,111.826,2
171,5,"[-147.215, -99.1629, 178.123, 95.7054, -34.8125]","[-96.7197, -102.628, -139.371, -139.535, -143.829]","[3.028e-07, 3.14346e-07, 4.68519e-07, 3.16617e-07, 4.64472e-07]","[7.88236, 7.88236, 124.289, -53.104, 119.852]","[30.7369, 150.507, 56.2546, 53.7522, 55.9204]","[-172.118, -172.118, 157.937, -160.071, 155.785]","[149.263, 150.507, 123.745, 149.002, 124.08]",144.728,111.826,2
172,5,"[143.678, 12.1855, 38.8045, -78.6327, -133.878]","[-96.0264, -100.919, -113.215, -116.432, -123.78]","[2.79589e-07, 2.92054e-07, 3.00033e-07, 2.87928e-07, 2.87967e-07]","[11.9929, 11.9929, -36.1217, -37.6173, -39.8919]","[21.4274, 159.529, 155.774, 25.8455, 25.3381]","[-168.007, -168.007, -144.446, -145.207, -146.223]","[158.573, 159.529, 155.774, 154.941, 154.662]",160.728,111.826,2
173,5,"[-115.272, -75.2655, 67.4913, 150.717, -161.018]","[-95.5685, -106.593, -118.853, -128.274, -129.662]","[2.6524e-07, 2.78348e-07, 2.86795e-07, 2.74111e-07, 2.86799e-07]","[24.5225, 24.5225, -57.5994, -59.1613, -56.8889]","[11.1156, 169.414, 162.56, 19.1246, 162.899]","[-155.478, -155.478, -122.968, -123.793, -122.578]","[168.884, 169.414, 162.56, 162.138, 162.366]",176.728,111.826,2
