Receive ID,Data Size,Phase Values (deg),Received Power (dBm),time of arrival (sec),doa_phi(),doa_theta(deg),dod_phi(deg),dod_theta(deg),rx_x,rx_y,rx_z
169,5,"[35.6244, -57.8593, -25.3548, -53.6256, 178.873]","[-99.9257, -105.516, -117.333, -118.08, -131.753]","[4.37828e-07, 4.57709e-07, 4.45891e-07, 4.65428e-07, 4.39271e-07]","[42.2837, -45.5123, 42.2837, -45.5123, 54.5821]","[53.527, 55.3457, 127.852, 126.006, 53.666]","[-137.716, -133.724, -137.716, -133.724, -140.418]","[126.473, 124.654, 127.852, 126.006, 126.334]",112.728,111.826,2
170,5,"[36.4382, -96.5451, 73.3125, -5.96716, -164.413]","[-99.3191, -107.795, -138.727, -143.244, -144.526]","[4.08328e-07, 4.16962e-07, 4.31734e-07, 4.34413e-07, 4.60662e-07]","[48.839, 48.839, 107.258, -101.924, 102.32]","[50.4025, 131.011, 52.9268, 53.1933, 55.5992]","[-131.161, -131.161, -140.418, -129.664, -152.347]","[129.598, 131.011, 127.073, 126.807, 124.401]",128.728,111.826,2
171,5,"[-120.475, -147.62, -176.756, -153.373, -28.8534]","[-98.7854, -104.078, -105.993, -107.736, -115.244]","[3.84019e-07, 4.57885e-07, 4.19495e-07, 3.93187e-07, 4.19497e-07]","[57.0224, 141.04, -62.1492, 57.0224, -61.889]","[47.3328, 55.3609, 51.653, 134.097, 51.04]","[-122.978, -141.04, -117.851, -122.978, -117.824]","[132.667, 124.639, 128.347, 134.097, 128.283]",144.728,111.826,2
172,5,"[51.7297, 127.881, 71.2544, 78.5683, -57.5788]","[-98.3661, -110.078, -111.715, -112.775, -116.296]","[3.65936e-07, 5.06555e-07, 4.03007e-07, 3.75546e-07, 4.11753e-07]","[67.0488, 146.748, -70.9738, 67.0488, -70.9738]","[44.6651, 59.0832, 49.774, 136.766, 131.644]","[-112.951, -147.098, -109.026, -112.951, -109.026]","[135.335, 120.917, 130.226, 136.766, 131.644]",160.728,111.826,2
173,5,"[139.475, 107.43, 147.419, -149.704, -78.8953]","[-98.1031, -106.057, -112.801, -120.262, -121.373]","[3.55034e-07, 3.64931e-07, 5.46126e-07, 3.99873e-07, 3.90862e-07]","[78.7955, 78.7955, 150.243, -81.2575, -81.2575]","[42.8558, 138.57, 61.5387, 133.176, 48.2507]","[-101.205, -101.205, -150.593, -99.3098, -99.3098]","[137.144, 138.57, 118.461, 133.176, 131.749]",176.728,111.826,2
174,5,"[135.418, -83.9546, 104.421, -92.6446, 18.1853]","[-98.028, -105.086, -123.688, -131.874, -134.69]","[3.51979e-07, 3.6196e-07, 3.99221e-07, 3.99222e-07, 6.19126e-07]","[91.5635, 91.5635, -91.2744, -91.7368, -7.45148]","[42.3171, 139.105, 133.264, 133.264, 65.1418]","[-88.4365, -88.4365, -88.7256, -88.7728, -50.1407]","[137.683, 139.105, 133.264, 133.264, 114.858]",192.728,111.826,2
175,5,"[173.642, 123.825, 21.0464, 135.77, -112.167]","[-98.1505, -106.873, -120.181, -122.209, -135.421]","[3.56973e-07, 3.66818e-07, 4.04403e-07, 3.95495e-07, 3.96068e-07]","[104.181, 104.181, -101.428, -101.428, -103.365]","[43.1902, 138.237, 132.577, 48.847, 40.186]","[-75.8195, -75.8195, -78.3878, -78.3878, -78.5902]","[136.81, 138.237, 132.577, 131.153, 130.082]",208.728,111.826,2
176,5,"[-153.008, 107.343, -76.1981, -101.153, -128.565]","[-98.4548, -114.096, -137.349, -138.564, -139.085]","[3.6969e-07, 3.79205e-07, 5.26066e-07, 5.25701e-07, 4.08685e-07]","[115.551, 115.551, -15.6205, -14.5805, -130.375]","[45.2507, 136.182, 60.3476, 60.3249, 50.4439]","[-64.4494, -64.4494, -50.4538, -50.1407, -71.244]","[134.749, 136.182, 119.652, 119.675, 129.556]",224.728,111.826,2
177,5,"[94.1504, -46.7739, 147.888, 61.5615, -162.335]","[-98.9058, -105.034, -106.808, -114.8, -117.362]","[3.89374e-07, 4.22143e-07, 3.98419e-07, 4.87127e-07, 4.305e-07]","[125.124, -120.089, 125.124, 35.997, -120.089]","[48.055, 51.9368, 133.373, 124.172, 129.462]","[-54.8759, -59.9114, -54.8759, -35.997, -59.9114]","[131.945, 128.063, 133.373, 124.172, 129.462]",240.728,111.826,2
178,5,"[130.976, 172.57, 32.9683, -151.169, 77.2414]","[-99.4608, -109.491, -128.182, -131.176, -133.686]","[4.15035e-07, 4.23533e-07, 4.48845e-07, 4.45713e-07, 5.06474e-07]","[132.887, 132.887, -121.223, 50.4386, -149.28]","[51.1643, 130.242, 54.5598, 54.2727, 59.0778]","[-47.1133, -47.1133, -52.4332, -39.7661, -53.4177]","[128.836, 130.242, 125.44, 125.727, 120.922]",256.728,111.826,2
