Receive ID,Data Size,Phase Values (deg),Received Power (dBm),time of arrival (sec),doa_phi(),doa_theta(deg),dod_phi(deg),dod_theta(deg),rx_x,rx_y,rx_z
147,5,"[109.006, -44.852, -161.434, -178.528, -36.2915]","[-99.2595, -107.309, -111.786, -116.592, -137.004]","[4.05539e-07, 4.14231e-07, 4.09098e-07, 4.17716e-07, 4.12583e-07]","[48.2786, 48.2786, 133.364, 133.364, 11.6391]","[50.0758, 131.34, 50.4917, 130.921, 50.8896]","[-131.721, -131.721, -132.643, -132.643, -126.718]","[129.924, 131.34, 129.508, 130.921, 129.11]",128.728,95.8262,2
153,5,"[134.37, -151.521, -75.8988, -175.644, 60.3811]","[-98.3842, -100.758, -113.268, -116.447, -128.833]","[3.66701e-07, 3.70164e-07, 3.76292e-07, 3.79667e-07, 3.67789e-07]","[116.026, 61.8715, 116.026, 61.8715, 131.773]","[44.7859, 45.3234, 136.646, 136.109, 44.9563]","[-63.974, -61.8715, -63.974, -61.8715, -66.4383]","[135.214, 134.677, 136.646, 136.109, 135.044]",224.728,95.8262,2
169,5,"[-106.774, -168.986, -116.48, 150.341, -172.678]","[-99.3385, -104.825, -107.981, -118.375, -130.081]","[4.09239e-07, 4.25659e-07, 4.17854e-07, 4.33948e-07, 4.2602e-07]","[34.4701, -38.6744, 34.4701, -38.6744, -32.658]","[50.5079, 52.3064, 130.905, 129.088, 47.0854]","[-145.53, -140.562, -145.53, -140.562, -139.925]","[129.492, 127.694, 130.905, 129.088, 127.073]",112.728,111.826,2
170,5,"[-170.423, -125.963, -8.38177, -9.47553, 111.954]","[-98.6372, -110.14, -140.217, -140.375, -145.099]","[3.77526e-07, 3.86848e-07, 4.05743e-07, 4.43077e-07, 4.38724e-07]","[40.8136, 40.8136, 107.258, 102.32, 97.6692]","[46.4179, 135.014, 50.0999, 54.0272, 53.6135]","[-139.186, -139.186, -150.459, -164.689, -165.634]","[133.582, 135.014, 129.9, 125.973, 126.387]",128.728,111.826,2
171,5,"[24.5152, 7.1689, -5.74024, 126.901, -50.9773]","[-98.0064, -104.871, -113.387, -115.675, -124.301]","[3.51107e-07, 3.61112e-07, 4.60663e-07, 3.90676e-07, 4.68333e-07]","[49.3284, 49.3284, 124.289, -56.5802, 124.289]","[42.1606, 139.261, 55.5993, 134.455, 125.748]","[-130.672, -130.672, -164.689, -123.42, -164.689]","[137.839, 139.261, 124.401, 134.455, 125.748]",144.728,111.826,2
172,5,"[175.141, -52.2563, -56.8899, 54.7222, 132.709]","[-97.5003, -107.349, -118.126, -122.076, -123.469]","[3.31251e-07, 3.41837e-07, 3.72932e-07, 4.68563e-07, 4.76106e-07]","[60.7254, 60.7254, -66.708, 152.694, 152.694]","[38.2144, 143.17, 137.195, 56.2582, 125.078]","[-119.275, -119.275, -113.292, -152.694, -152.694]","[141.786, 143.17, 137.195, 123.742, 125.078]",160.728,111.826,2
173,5,"[-110.207, -95.6283, 88.6375, 60.4594, 107.751]","[-97.1777, -106.019, -107.083, -107.096, -113.285]","[3.19184e-07, 3.50264e-07, 3.30157e-07, 5.23578e-07, 3.60292e-07]","[75.3234, -78.9843, 75.3234, 156.637, -78.9843]","[35.3725, 42.008, 145.968, 60.1925, 139.413]","[-104.677, -101.583, -104.677, -156.987, -101.583]","[144.627, 137.992, 145.968, 119.807, 139.413]",176.728,111.826,2
174,5,"[-145.96, 32.2333, 152.104, -30.7683, 135.703]","[-97.0851, -104.601, -106.569, -113.184, -113.354]","[3.158e-07, 3.26887e-07, 3.49058e-07, 3.49058e-07, 3.5912e-07]","[92.106, 92.106, -91.6193, -91.7368, -91.6193]","[34.4984, 146.827, 41.7877, 41.7877, 139.631]","[-87.894, -87.894, -88.3807, -88.396, -88.3807]","[145.502, 146.827, 138.212, 138.212, 139.631]",192.728,111.826,2
175,5,"[89.9126, -78.1808, 162.887, 34.5669, -135.215]","[-97.2372, -105.742, -106.446, -109.264, -114.059]","[3.21375e-07, 3.54817e-07, 5.34391e-07, 3.32276e-07, 3.6472e-07]","[108.544, -104.235, -10.0011, 108.544, -104.235]","[35.9191, 42.8179, 60.8545, 145.431, 138.607]","[-71.4556, -75.5816, -43.129, -71.4556, -75.5816]","[144.081, 137.182, 119.146, 145.431, 138.607]",208.728,111.826,2
176,5,"[-110.563, 142.807, 143.187, 60.9006, -154.87]","[-97.6101, -105.228, -130.415, -132.765, -133.801]","[3.35462e-07, 3.45919e-07, 4.89444e-07, 4.89598e-07, 3.67989e-07]","[122.38, 122.38, -14.5805, -15.6205, -131.37]","[39.1188, 142.276, 57.8759, 57.8872, 44.9876]","[-57.6196, -57.6196, -43.0603, -43.4337, -66.4383]","[140.881, 142.276, 122.124, 122.113, 135.012]",224.728,111.826,2
177,5,"[11.518, 150.287, -24.1704, 76.371, 156.341]","[-98.1524, -106.23, -106.91, -118.358, -118.37]","[3.57054e-07, 4.47452e-07, 3.66896e-07, 3.84959e-07, 3.8478e-07]","[133.009, -38.6294, 133.009, -124.241, -124.552]","[43.2039, 54.4327, 138.223, 47.4618, 47.4373]","[-46.9906, -45.3451, -46.9906, -53.7796, -53.7796]","[136.796, 125.567, 138.223, 132.538, 132.563]",240.728,111.826,2
